id,kind,phase,family,candidate_id,seed,order,sequence_id,stage,domain,dependencies,parent_checkpoint,resolved,status,updates
C__B3_PARENT_LCTX_DENSEG_C02__S161__O2__STAGE2,target_stage,C,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C02,161,2,C__B3_PARENT_LCTX_DENSEG_C02__S161__O2,2,RIM_ONE_r3,"[""C__B3_PARENT_LCTX_DENSEG_C02__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B3_PARENT_LCTX_DENSEG_C02__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B3_PARENT_LCTX_DENSEG_C03__S161__O1__STAGE1,target_stage,C,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C03,161,1,C__B3_PARENT_LCTX_DENSEG_C03__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B3_PARENT_LCTX_DENSEG_C03__S161__O1__STAGE2,target_stage,C,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C03,161,1,C__B3_PARENT_LCTX_DENSEG_C03__S161__O1,2,Drishti_GS,"[""C__B3_PARENT_LCTX_DENSEG_C03__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B3_PARENT_LCTX_DENSEG_C03__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B3_PARENT_LCTX_DENSEG_C03__S161__O2__STAGE1,target_stage,C,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C03,161,2,C__B3_PARENT_LCTX_DENSEG_C03__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B3_PARENT_LCTX_DENSEG_C03__S161__O2__STAGE2,target_stage,C,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C03,161,2,C__B3_PARENT_LCTX_DENSEG_C03__S161__O2,2,RIM_ONE_r3,"[""C__B3_PARENT_LCTX_DENSEG_C03__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B3_PARENT_LCTX_DENSEG_C03__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B3_PARENT_LCTX_DENSEG_C04__S161__O1__STAGE1,target_stage,C,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C04,161,1,C__B3_PARENT_LCTX_DENSEG_C04__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B3_PARENT_LCTX_DENSEG_C04__S161__O1__STAGE2,target_stage,C,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C04,161,1,C__B3_PARENT_LCTX_DENSEG_C04__S161__O1,2,Drishti_GS,"[""C__B3_PARENT_LCTX_DENSEG_C04__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B3_PARENT_LCTX_DENSEG_C04__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B3_PARENT_LCTX_DENSEG_C04__S161__O2__STAGE1,target_stage,C,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C04,161,2,C__B3_PARENT_LCTX_DENSEG_C04__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B3_PARENT_LCTX_DENSEG_C04__S161__O2__STAGE2,target_stage,C,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C04,161,2,C__B3_PARENT_LCTX_DENSEG_C04__S161__O2,2,RIM_ONE_r3,"[""C__B3_PARENT_LCTX_DENSEG_C04__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B3_PARENT_LCTX_DENSEG_C04__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B3_PARENT_LCTX_DENSEG_C05__S161__O1__STAGE1,target_stage,C,B3_PARENT_LCTX_DENSEG,B3_PARENT_LCTX_DENSEG_C05,161,1,C__B3_PARENT_LCTX_DENSEG_C05__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
