variant,eval_step,perturbation_l2_ratio,sensitivity_p10,sensitivity_p50,sensitivity_p90,noise_scale_p10,noise_scale_p50,noise_scale_p90,sensitivity_cosine,a5_a4_noise_scale_l1,classifier_angular_drift,gradient_cosine_ssl_stable
A2,700,1.664010763168335,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.23930999636650085,0.2316993772983551
A2,750,1.7363941669464111,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.24182850122451782,0.3405802547931671
A2,800,1.9295204877853394,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.24415229260921478,0.021731717512011528
A2,850,1.5762876272201538,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.24572411179542542,-0.0012557136360555887
A2,900,1.99464750289917,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.24724498391151428,-0.1269422322511673
A2,950,1.679159164428711,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.24753598868846893,-0.2962917387485504
A2,1000,2.223749876022339,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.2475549876689911,-0.3099888861179352
A3,50,0.47135356068611145,6.295608272921527e-06,0.0005609298241324723,0.007913877256214619,1.4031904356670566e-05,0.00036870851181447506,0.03164278343319893,0.0,0.0,0.03100166842341423,0.02441493794322014
A3,100,0.8628661036491394,8.678497351866099e-07,7.937900227261707e-05,0.0009547950467094779,6.107081389927771e-06,0.00012402448919601738,0.012194851413369179,0.0,0.0,0.027471721172332764,0.22231243550777435
A3,150,0.060308847576379776,2.944401330751134e-06,0.0005919744726270437,0.0038892936427146196,1.5399731637444347e-05,0.0001575667702127248,0.03330681845545769,0.0,0.0,0.027984237298369408,0.017458170652389526
A3,200,0.2278759628534317,4.706084837380331e-06,0.00020992512872908264,0.003806106746196747,1.1054053175030276e-05,0.00032224509050138295,0.01654367707669735,0.0,0.0,0.027967866510152817,-0.08034632354974747
A3,250,0.1732592135667801,1.3193483709983411e-06,0.00016879732720553875,0.002935457741841674,2.7228766157350037e-06,9.52788395807147e-05,0.022946394979953766,0.0,0.0,0.029875047504901886,0.27369654178619385
A3,300,0.47470852732658386,4.432702098711161e-06,0.0002376964403083548,0.00867101363837719,1.003587954073737e-06,5.343237717170268e-05,0.0028881048783659935,0.0,0.0,0.031863484531641006,0.009360305964946747
A3,350,0.43842965364456177,2.0211446098983288e-06,5.23561830050312e-05,0.001930738682858646,2.3361089915852062e-05,0.0012260063085705042,0.03174228221178055,0.0,0.0,0.034338124096393585,0.3357475996017456
A3,400,0.23594161868095398,6.068679567761137e-07,2.660950121935457e-05,0.00031367107294499874,8.389994036406279e-05,0.0013389002997428179,0.06176212802529335,0.0,0.0,0.03683745861053467,-0.34544163942337036
A3,450,0.8393558263778687,4.6816691678941424e-07,1.3501035937224515e-05,0.001244819606654346,2.1513491446967237e-05,0.0036937003023922443,0.10486222058534622,0.0,0.0,0.0394895039498806,0.16038990020751953
A3,500,0.4153549075126648,2.713705953283352e-07,1.1362373697920702e-05,0.0005126463947817683,1.2242750017321669e-05,0.0010755667462944984,0.04403921589255333,0.0,0.0,0.041359879076480865,-0.01096103060990572
A3,550,0.631816029548645,1.8283716372025083e-06,0.00013585403212346137,0.002302353736013174,7.97454413259402e-06,0.00017300373292528093,0.023836739361286163,0.0,0.0,0.04366343468427658,-0.055547818541526794
A3,600,0.7428544759750366,2.878867235267535e-06,0.00011694265413098037,0.003990723751485348,1.749047783050628e-06,8.913465717341751e-05,0.009444769471883774,0.0,0.0,0.04509880393743515,-0.20696353912353516
A3,650,0.4073510766029358,2.2790949572026875e-08,9.007123367155145e-07,2.8865695639979094e-05,0.00025173925678245723,0.011263234540820122,0.3158920705318451,0.0,0.0,0.04628164321184158,0.25428158044815063
A3,700,0.28730762004852295,5.396179290073633e-07,3.181621650583111e-05,0.0006652342854067683,8.257800800492987e-06,0.00041212624637410045,0.027540285140275955,0.0,0.0,0.04752323776483536,-0.11006760597229004
A3,750,0.07338038831949234,5.468571089295438e-07,1.564796912134625e-05,0.0005645257188007236,2.1366096916608512e-05,0.0019307770999148488,0.057179179042577744,0.0,0.0,0.048135414719581604,0.42171210050582886
A3,800,0.5427320599555969,6.482217429493176e-08,2.110321474901866e-05,0.0005388971767388284,5.872730525879888e-06,0.00048230105312541127,0.2524345815181732,0.0,0.0,0.04876001924276352,-0.06130865216255188
A3,850,0.37397345900535583,6.439918109890641e-08,7.473543519154191e-06,0.00022603734396398067,1.8857059330912307e-05,0.0014943740097805858,0.15221041440963745,0.0,0.0,0.04904535412788391,0.13051281869411469
A3,900,0.414354532957077,3.290378742804023e-07,3.872343950206414e-05,0.00019119585340376943,8.693463314557448e-05,0.000575417245272547,0.06769904494285583,0.0,0.0,0.04940619692206383,-0.04936091601848602
A3,950,0.6794585585594177,6.10904393738565e-08,1.3705058563573402e-06,9.864439198281616e-05,6.432367081288248e-05,0.009829106740653515,0.20915652811527252,0.0,0.0,0.049497898668050766,-0.4624880850315094
A3,1000,0.8702453970909119,6.7685910210002476e-09,6.643357437496888e-07,3.078528243349865e-05,0.00018928470672108233,0.015021044760942459,0.6103858947753906,0.0,0.0,0.04950910061597824,-0.046106260269880295
A4,50,0.47201454639434814,6.236469289433444e-06,0.0006026006303727627,0.00812362227588892,1.531779889774043e-05,0.00039116706466302276,0.03572559356689453,0.0,0.0,0.03094238042831421,-0.06481058150529861
A4,100,0.24050171673297882,1.5825301034055883e-06,8.846521814120933e-05,0.002191373147070408,3.4575875815789914e-06,0.00016754269017837942,0.009666227735579014,0.0,0.0,0.02755681239068508,0.42167675495147705
A4,150,0.05813528597354889,3.2438529160572216e-06,0.0015928770881146193,0.020424097776412964,1.9402468751650304e-06,4.4569096644409e-05,0.022518862038850784,0.0,0.0,0.0278616975992918,0.3112923800945282
A4,200,0.1927046924829483,4.4345433707349e-06,0.0003757308004423976,0.007968478836119175,3.493754320516018e-06,0.00011669958621496335,0.010199619457125664,0.0,0.0,0.02849714457988739,0.2854950726032257
A4,250,0.15495184063911438,1.6033673091442324e-06,0.00024976462009362876,0.006134739611297846,4.1399594010727014e-06,0.00019198341760784388,0.03131170943379402,0.0,0.0,0.03116261586546898,0.43385809659957886
A4,300,0.48206669092178345,2.5245637971238466e-06,0.00019459745089989156,0.00858148094266653,5.822997536597541e-06,0.000448925158707425,0.03930026665329933,0.0,0.0,0.0326048880815506,-0.0165083147585392
A4,350,0.43341898918151855,4.740086296806112e-06,0.00022360600996762514,0.0027976862620562315,3.162256325595081e-05,0.0005401508533395827,0.04500201344490051,0.0,0.0,0.03630839288234711,0.41164958477020264
A4,400,0.6877900958061218,4.719693606602959e-06,0.0003473457181826234,0.004546063952147961,2.269112883368507e-05,0.0004396671720314771,0.03636641800403595,0.0,0.0,0.03903527557849884,0.28060922026634216
A4,450,0.2768423855304718,1.3303169907885604e-05,0.000607930647674948,0.01990330033004284,9.592077958586742e-07,5.610494554275647e-05,0.002656156662851572,0.0,0.0,0.041203808039426804,-0.06536036729812622
A4,500,0.5711888670921326,4.269451437721727e-06,0.00040778738912194967,0.002757458249107003,2.697709533094894e-05,0.00024099246365949512,0.02490868605673313,0.0,0.0,0.043169595301151276,0.3361179232597351
A4,550,0.6962612271308899,9.486672070124769e-07,4.363322295830585e-05,0.000446950871264562,1.4526159247907344e-05,0.0003192693111486733,0.016137024387717247,0.0,0.0,0.04466642066836357,0.0035252608358860016
A4,600,0.7465865612030029,5.934100045124069e-06,0.0001831600529840216,0.0017801666399464011,1.0412438314233441e-05,0.00013876688899472356,0.004428695887327194,0.0,0.0,0.04606560990214348,-0.3906620144844055
A4,650,0.40181398391723633,1.7042293620761484e-06,9.885960025712848e-05,0.0013620309764519334,7.112190814950736e-06,0.00015477498527616262,0.010204420424997807,0.0,0.0,0.04696111008524895,-0.144011989235878
A4,700,0.5478385090827942,5.1851632321131547e-08,4.229014302836731e-05,0.0035519511438906193,1.5373813084806898e-06,0.00024443279835395515,0.1768280267715454,0.0,0.0,0.047786228358745575,-0.18226979672908783
A4,750,0.32219433784484863,4.6570931999667664e-08,6.243355073820567e-06,6.529360689455643e-05,0.00011164244642714038,0.00177311385050416,0.20374354720115662,0.0,0.0,0.04849207401275635,0.6219740509986877
A4,800,0.7063374519348145,7.699934911897799e-08,1.7957280533664743e-06,0.00019941492064390332,2.7265028620604426e-05,0.005677028559148312,0.12266352772712708,0.0,0.0,0.048816561698913574,-0.08562523871660233
A4,850,0.49094778299331665,5.920937340420096e-08,3.377568646101281e-06,8.11014324426651e-05,5.1514129154384136e-05,0.003183498978614807,0.15675745904445648,0.0,0.0,0.049313537776470184,-0.06042936444282532
A4,900,0.7727036476135254,2.0252342025628423e-08,2.26256361202104e-06,6.939974264241755e-05,0.00010232677595922723,0.005976101383566856,0.45405882596969604,0.0,0.0,0.049573864787817,-0.07393720746040344
A4,950,0.7906895875930786,4.939544240301075e-08,8.806078994894051e-07,1.537965908937622e-05,0.000522892689332366,0.012531450018286705,0.23756763339042664,0.0,0.0,0.049654629081487656,-0.7344432473182678
A4,1000,0.5196313858032227,2.8323563938670304e-08,1.3130186289345147e-06,1.5104473277460784e-05,0.00032552957418374717,0.007899783551692963,0.28818586468696594,0.0,0.0,0.049670785665512085,0.2217949628829956
A5,50,0.48705071210861206,0.004336981568485498,0.3751668632030487,3.339956283569336,0.0001602055854164064,0.0005114505183883011,0.03427018225193024,0.47047388553619385,0.011801790446043015,0.030888110399246216,0.007963006384670734
A5,100,0.2956019937992096,0.0069872005842626095,0.26244813203811646,2.9980781078338623,0.002157030161470175,0.008518061600625515,0.2630031108856201,0.8305848836898804,0.09189429134130478,0.02786797098815441,0.4124371409416199
A5,150,0.2053525149822235,0.006456746254116297,0.2996019721031189,2.7705836296081543,0.0002208646183134988,0.0007628077873960137,0.03506482392549515,0.9243392944335938,0.02286291867494583,0.027473829686641693,0.45461151003837585
A5,200,0.34500521421432495,0.01013385783880949,0.5923313498497009,2.3402886390686035,0.003885689191520214,0.007800245191901922,0.3123210668563843,0.2100081443786621,0.09912549704313278,0.02834254316985607,0.04489791765809059
A5,250,0.41425445675849915,0.010467501357197762,0.2334989309310913,3.1359026432037354,0.0021207076497375965,0.009608199819922447,0.1812545508146286,0.7958743572235107,0.09342841804027557,0.030283555388450623,0.22197285294532776
A5,300,0.18062171339988708,0.008926114067435265,0.24860002100467682,3.2433133125305176,0.0013335277326405048,0.005801694467663765,0.13649705052375793,0.7113350033760071,0.05563391000032425,0.0320545956492424,-0.039669718593358994
A5,350,0.2364489734172821,0.006686651613563299,0.2736869752407074,3.7494428157806396,0.002260392066091299,0.00908985547721386,0.30285221338272095,0.545947790145874,0.10657280683517456,0.03613032400608063,0.18057215213775635
A5,400,0.14802543818950653,0.007649160921573639,0.3256087899208069,3.0635344982147217,0.0005295321461744606,0.0018292551394551992,0.06548762321472168,0.3572983145713806,0.041874878108501434,0.039125729352235794,0.3581278324127197
A5,450,0.31264984607696533,0.016561992466449738,0.23001694679260254,3.36065411567688,0.0014616047265008092,0.006667083129286766,0.07870617508888245,0.611620306968689,0.0727514699101448,0.041740190237760544,0.2767871916294098
A5,500,0.5549282431602478,0.01623161882162094,0.3525691032409668,3.094924211502075,0.0016695307567715645,0.005418615415692329,0.0970764085650444,0.4750305116176605,0.07126635313034058,0.04358040913939476,0.3504101037979126
A5,550,0.6442019939422607,0.011159123852849007,0.3199479281902313,2.4575254917144775,0.002766054356470704,0.008754895068705082,0.20043446123600006,0.21688571572303772,0.07584647834300995,0.04613400995731354,-0.027307044714689255
A5,600,0.8083255290985107,0.014140087179839611,0.19346699118614197,3.230449914932251,0.00018652388826012611,0.0009847292676568031,0.012130198068916798,0.6078740358352661,0.05466197058558464,0.047836318612098694,0.1035739928483963
A5,650,0.42995381355285645,0.0040310584008693695,0.25952476263046265,3.4009852409362793,0.0007331840461120009,0.003080445108935237,0.1646079421043396,0.3076745569705963,0.041631896048784256,0.0490378737449646,0.28969231247901917
A5,700,0.2586544156074524,0.036970190703868866,0.4299999475479126,1.9654673337936401,0.0009437300032004714,0.002204437740147114,0.019148247316479683,0.45154884457588196,0.017139704897999763,0.049792006611824036,-0.01678835041821003
A5,750,0.30717116594314575,0.0170524250715971,0.22390583157539368,3.2655389308929443,0.0001879737974377349,0.0008789486018940806,0.011572865769267082,0.48768162727355957,0.014569703489542007,0.05045142397284508,0.6218543648719788
A5,800,0.49574601650238037,0.009524472057819366,0.24296271800994873,2.4937386512756348,0.0007029137341305614,0.0027362655382603407,0.05817365273833275,0.8507959842681885,0.0420999750494957,0.050760768353939056,0.03856862708926201
A5,850,0.18205955624580383,0.03027947060763836,0.5117267370223999,2.3210413455963135,0.0006358461105264723,0.00141169223934412,0.017316648736596107,0.46003514528274536,0.05440722405910492,0.05100199580192566,0.032680828124284744
A5,900,0.46822360157966614,0.008237941190600395,0.5437950491905212,2.756472110748291,0.0019078663317486644,0.0043501537293195724,0.20294737815856934,0.47650665044784546,0.09724332392215729,0.051250021904706955,-0.23681415617465973
A5,950,0.5034055113792419,0.011751300655305386,0.3793347477912903,2.5321998596191406,0.000438592309365049,0.0012100287713110447,0.029798567295074463,0.712462306022644,0.050435908138751984,0.05131148919463158,-0.24726897478103638
A5,1000,0.03857354447245598,0.004037320613861084,0.37640857696533203,2.9124975204467773,5.9073088777950034e-05,0.0001782054314389825,0.01282770000398159,0.531191885471344,0.04313977062702179,0.05131763219833374,0.042549390345811844
