optimization_seed,data_split_seed,arm,stage,domain,domain_index,macro_fg_dice,rim_dice,cup_dice,background_dice,mean_iou,cases,evaluable_cases,evaluable_macro_fg_dice,empty_support_evidence
0,0,D,1,REFUGE,0,0.7319660944745289,0.706352627013005,0.7575795619360527,,,,,,
0,0,D,1,RIM_ONE_r3,1,0.7287345622309532,0.7548082754704478,0.7026608489914585,,,,,,
0,0,D,2,REFUGE,0,0.8137978010818149,0.8278230164156717,0.7997725857479581,,,,,,
0,0,D,2,RIM_ONE_r3,1,0.6713834893368815,0.6866749683490749,0.6560920103246881,,,,,,
0,0,D,2,Drishti_GS,2,0.6690870152863461,0.7030693297026374,0.6351047008700549,,,,,,
0,0,S,0,REFUGE,0,0.8428869981883159,0.8511931220934172,0.8345808742832146,,,,,,
0,0,A,0,REFUGE,0,0.8428869981883159,0.8511931220934172,0.8345808742832146,,,,,,
0,0,B,0,REFUGE,0,0.8428869981883159,0.8511931220934172,0.8345808742832146,,,,,,
0,0,C,0,REFUGE,0,0.8428869981883159,0.8511931220934172,0.8345808742832146,,,,,,
0,0,D,0,REFUGE,0,0.8428869981883159,0.8511931220934172,0.8345808742832146,,,,,,
0,0,U0,0,REFUGE,0,0.8428869981883159,0.8511931220934172,0.8345808742832146,,,,,,
0,0,U0,1,REFUGE,0,0.7346290484322416,0.7046420724108124,0.7646160244536705,,,,,,
0,0,U0,1,RIM_ONE_r3,1,0.7210554701717564,0.7376067788608338,0.7045041614826789,,,,,,
0,0,U0,2,REFUGE,0,0.7353555746957333,0.7296887686666877,0.7410223807247792,,,,,,
0,0,U0,2,RIM_ONE_r3,1,0.661160226321263,0.6977548180297435,0.6245656346127827,,,,,,
0,0,U0,2,Drishti_GS,2,0.6338365593252993,0.6132442148818498,0.6544289037687487,,,,,,
0,0,L05,0,REFUGE,0,0.8428869981883159,0.8511931220934172,0.8345808742832146,,,,,,
0,0,L05,1,REFUGE,0,0.6526107186013601,0.5957730888236283,0.7094483483790921,,,,,,
0,0,L05,1,RIM_ONE_r3,1,0.7151278752344394,0.738359053794704,0.691896696674175,,,,,,
0,0,L05,2,REFUGE,0,0.6444540500049943,0.6486023017873752,0.6403057982226136,,,,,,
0,0,L05,2,RIM_ONE_r3,1,0.4873534754933737,0.45093069447689144,0.523776256509856,,,,,,
0,0,L05,2,Drishti_GS,2,0.7294895724857219,0.6942557296970671,0.7647234152743764,,,,,,
0,0,L10,0,REFUGE,0,0.8428869981883159,0.8511931220934172,0.8345808742832146,,,,,,
0,0,L10,1,REFUGE,0,0.6790938709204782,0.6002898192055011,0.7578979226354555,,,,,,
0,0,L10,1,RIM_ONE_r3,1,0.7139231900388742,0.7342277216727491,0.6936186584049994,,,,,,
0,0,L10,2,REFUGE,0,0.5849108450501143,0.570307937787958,0.5995137523122703,,,,,,
0,0,L10,2,RIM_ONE_r3,1,0.4234848787448441,0.3429176468212764,0.5040521106684117,,,,,,
0,0,L10,2,Drishti_GS,2,0.7055092283464856,0.6646410515181057,0.7463774051748652,,,,,,
0,0,E_R1,0,REFUGE,0,0.8428869981883159,0.8511931220934172,0.8345808742832146,,,,,,
0,0,E_R1,1,REFUGE,0,0.7268942081634034,0.7180807261508952,0.7357076901759114,,,,,,
0,0,E_R1,1,RIM_ONE_r3,1,0.7322044671158899,0.756034941167339,0.7083739930644408,,,,,,
0,0,E_R1,2,REFUGE,0,0.7893240363319124,0.8156503001927645,0.7629977724710604,,,,,,
0,0,E_R1,2,RIM_ONE_r3,1,0.6186886581198985,0.6460912731065418,0.5912860431332552,,,,,,
0,0,E_R1,2,Drishti_GS,2,0.6531012955735542,0.7016228108397238,0.6045797803073847,,,,,,
0,0,L05_SSL,0,REFUGE,0,0.8428869981883159,0.8511931220934172,0.8345808742832146,,,,,,
0,0,L05_SSL,1,REFUGE,0,0.6902082016812229,0.6789051331951002,0.7015112701673454,0.9760567250879814,0.6808966317250373,100,100,0.6902082016812229,False
0,0,L05_SSL,1,RIM_ONE_r3,1,0.7005933532112788,0.7394829208270697,0.661703785595488,0.9819049103563465,0.7047281842045152,40,40,0.7005933532112788,False
0,0,L05_SSL,2,REFUGE,0,0.5749605664263063,0.5669846603075047,0.582936472545108,0.9784821900368993,0.5979582125077954,100,100,0.5749605664263063,False
0,0,L05_SSL,2,RIM_ONE_r3,1,0.3801293904062059,0.31073289691734984,0.4495258838950619,0.942684481036925,0.47209778959664844,40,40,0.3801293904062059,False
0,0,L05_SSL,2,Drishti_GS,2,0.6999603861474794,0.653478188308697,0.7464425839862617,0.9668579301124727,0.6912145903607483,25,25,0.6999603861474794,False
1,0,S,0,REFUGE,0,0.8400447023938392,0.8440691577512475,0.8360202470364313,0.9913061004347743,0.8168235911668202,100,100,0.8400447023938392,False
1,0,S,1,REFUGE,0,0.6823428439369131,0.6379134701012106,0.7267722177726162,0.9779354061713101,0.673758913025826,100,100,0.6823428439369131,False
