protocol_id,seed,transition,update_batch,variant,virtual_step_norm,previous_val_loss_before,previous_val_loss_after,previous_val_loss_delta,previous_val_dice_before,previous_val_dice_after,previous_val_dice_delta,current_val_loss_before,current_val_loss_after,current_val_loss_delta,current_val_dice_before,current_val_dice_after,current_val_dice_delta,old_model_gradient_nonnull,checkpoint_or_model_mutated,hidden_gt_usage
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,20,X1,0.001,0.6201920881867409,0.6191679462790489,-0.0010241419076919556,0.7369811721146107,0.73719921708107,0.0002180449664592743,0.4998316541314125,0.49880740232765675,-0.0010242518037557602,0.7476552985608578,0.7479545138776302,0.00029921531677246094,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,21,X0,0.001,0.6201920881867409,0.6207591090351343,0.0005670208483934402,0.7369811721146107,0.7367443405091763,-0.00023683160543441772,0.4998316541314125,0.49994224682450294,0.00011059269309043884,0.7476552985608578,0.7475246153771877,-0.00013068318367004395,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,21,X1,0.001,0.6201920881867409,0.6195374988019466,-0.0006545893847942352,0.7369811721146107,0.7371132969856262,0.0001321248710155487,0.4998316541314125,0.49888017773628235,-0.0009514763951301575,0.7476552985608578,0.7479103282094002,0.0002550296485424042,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,22,X0,0.001,0.6201920881867409,0.6188178211450577,-0.001374267041683197,0.7369811721146107,0.73739018663764,0.0004090145230293274,0.4998316541314125,0.4985101465135813,-0.0013215076178312302,0.7476552985608578,0.7480864189565182,0.0004311203956604004,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,22,X1,0.001,0.6201920881867409,0.618646640330553,-0.0015454478561878204,0.7369811721146107,0.7374275401234627,0.000446368008852005,0.4998316541314125,0.49859590642154217,-0.0012357477098703384,0.7476552985608578,0.7480826787650585,0.00042738020420074463,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,23,X0,0.001,0.6201920881867409,0.6213613040745258,0.0011692158877849579,0.7369811721146107,0.7364977076649666,-0.00048346444964408875,0.4998316541314125,0.5007631592452526,0.0009315051138401031,0.7476552985608578,0.7473468482494354,-0.000308450311422348,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,23,X1,0.001,0.6201920881867409,0.6201179176568985,-7.417052984237671e-05,0.7369811721146107,0.7368801087141037,-0.00010106340050697327,0.4998316541314125,0.4999262448400259,9.459070861339569e-05,0.7476552985608578,0.7476443871855736,-1.0911375284194946e-05,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,24,X0,0.001,0.6201920881867409,0.6191992163658142,-0.0009928718209266663,0.7369811721146107,0.7374910674989223,0.000509895384311676,0.4998316541314125,0.4999627564102411,0.0001311022788286209,0.7476552985608578,0.7476826570928097,2.7358531951904297e-05,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,24,X1,0.001,0.6201920881867409,0.6190977524966002,-0.0010943356901407242,0.7369811721146107,0.7374827452003956,0.0005015730857849121,0.4998316541314125,0.4997843950986862,-4.725903272628784e-05,0.7476552985608578,0.7477202340960503,6.493553519248962e-05,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,25,X0,0.001,0.6201920881867409,0.6190057843923569,-0.0011863037943840027,0.7369811721146107,0.7373289428651333,0.0003477707505226135,0.4998316541314125,0.4988465625792742,-0.0009850915521383286,0.7476552985608578,0.7480262443423271,0.0003709457814693451,0,False,none_visible_update_and_val_only
