seed,domain,arm,model,epochs,mean,median,sample_SD,minimum,maximum,positive,negative,zero,values,interpretation
32,Drishti_GS,SUP,ema,60/80/100,0.6825628353918574,0.6823305258126225,0.010333991591269716,0.6723469571577674,0.6930110232051822,3,0,0,"[0.6930110232051822, 0.6823305258126225, 0.6723469571577674]","within-trajectory late fluctuation, not independent seeds"
32,Drishti_GS,T_SCE,student,60/80/100,0.699398919861295,0.7004844167837715,0.003730389281519156,0.6952461746528084,0.702466168147305,3,0,0,"[0.702466168147305, 0.7004844167837715, 0.6952461746528084]","within-trajectory late fluctuation, not independent seeds"
32,Drishti_GS,T_SCE,ema,60/80/100,0.7020432206637418,0.7025971956692135,0.005245677045007654,0.6965425408432574,0.7069899254787544,3,0,0,"[0.7069899254787544, 0.7025971956692135, 0.6965425408432574]","within-trajectory late fluctuation, not independent seeds"
33,RIM_ONE_r3,SUP,student,60/80/100,0.6785935584315673,0.6808708243858128,0.006090353490346747,0.6716927253132134,0.6832171255956758,3,0,0,"[0.6716927253132134, 0.6832171255956758, 0.6808708243858128]","within-trajectory late fluctuation, not independent seeds"
33,RIM_ONE_r3,SUP,ema,60/80/100,0.6876518122117478,0.6886895393541309,0.005780873280355342,0.6814223586826799,0.6928435385984324,3,0,0,"[0.6928435385984324, 0.6886895393541309, 0.6814223586826799]","within-trajectory late fluctuation, not independent seeds"
33,RIM_ONE_r3,T_SCE,student,60/80/100,0.6795837720191814,0.6799992354251644,0.0066313218217055716,0.6727544867430664,0.6859975938893135,3,0,0,"[0.6859975938893135, 0.6799992354251644, 0.6727544867430664]","within-trajectory late fluctuation, not independent seeds"
33,RIM_ONE_r3,T_SCE,ema,60/80/100,0.6811823068290461,0.6827810811173478,0.007021611201892016,0.6734991732883584,0.6872666660814322,3,0,0,"[0.6872666660814322, 0.6827810811173478, 0.6734991732883584]","within-trajectory late fluctuation, not independent seeds"
33,Drishti_GS,SUP,student,60/80/100,0.6909702117815738,0.6910173998741729,0.0016083390097715315,0.689338797990001,0.6925544374805475,3,0,0,"[0.689338797990001, 0.6910173998741729, 0.6925544374805475]","within-trajectory late fluctuation, not independent seeds"
33,Drishti_GS,SUP,ema,60/80/100,0.6952102766098428,0.6952582240936076,0.0012998914611272048,0.693887074793367,0.6964855309425539,3,0,0,"[0.6952582240936076, 0.6964855309425539, 0.693887074793367]","within-trajectory late fluctuation, not independent seeds"
33,Drishti_GS,T_SCE,student,60/80/100,0.6759680811850082,0.6729484402411812,0.017655313785669927,0.660017333759564,0.6949384695542794,3,0,0,"[0.6949384695542794, 0.6729484402411812, 0.660017333759564]","within-trajectory late fluctuation, not independent seeds"
33,Drishti_GS,T_SCE,ema,60/80/100,0.6793767758672257,0.6797340794706025,0.015993484786326513,0.6632076329470094,0.695188615184065,3,0,0,"[0.695188615184065, 0.6797340794706025, 0.6632076329470094]","within-trajectory late fluctuation, not independent seeds"
