phase,kind,epoch,domain,arm,seed,model,head_mode,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
P1,metrics.csv,40,RIM_ONE_r3,MIX_CTX,31,student,raw_linear3_same_geometry,40,40,0.9874472073873545,0.7291242111816697,0.7067759548196728,0.7179500830006713
P1,metrics.csv,40,RIM_ONE_r3,MIX_CTX,31,ema,raw_linear3_same_geometry,40,40,0.9866234390855955,0.7190633232951968,0.7146751043050992,0.716869213800148
P1,metrics.csv,60,RIM_ONE_r3,MIX_CTX,31,student,raw_linear3_same_geometry,40,40,0.9877232618299979,0.7510449361430378,0.7135990516951939,0.7323219939191159
P1,metrics.csv,60,RIM_ONE_r3,MIX_CTX,31,ema,raw_linear3_same_geometry,40,40,0.9882539253731444,0.7412140755644404,0.710236965309319,0.7257255204368797
P1,metrics.csv,80,RIM_ONE_r3,MIX_CTX,31,student,raw_linear3_same_geometry,40,40,0.9887120360029211,0.7490224430100193,0.7076225099681288,0.7283224764890741
P1,metrics.csv,80,RIM_ONE_r3,MIX_CTX,31,ema,raw_linear3_same_geometry,40,40,0.9887549839465951,0.7452252418649703,0.7069083127249125,0.7260667772949414
P1,metrics.csv,100,RIM_ONE_r3,MIX_CTX,31,student,raw_linear3_same_geometry,40,40,0.9884907900816924,0.74213303724883,0.699037481970892,0.7205852596098611
P1,metrics.csv,100,RIM_ONE_r3,MIX_CTX,31,ema,raw_linear3_same_geometry,40,40,0.9885381792740173,0.7426444230612652,0.701066214355249,0.7218553187082571
P1,metrics.csv,20,Drishti_GS,MIX_CTX,31,student,raw_linear3_same_geometry,25,25,0.9864814338459794,0.6739896668545416,0.7538498998574965,0.713919783356019
P1,metrics.csv,20,Drishti_GS,MIX_CTX,31,ema,raw_linear3_same_geometry,25,25,0.9867883550991623,0.6892913619057901,0.7652468884432061,0.7272691251744982
P1,metrics.csv,40,Drishti_GS,MIX_CTX,31,student,raw_linear3_same_geometry,25,25,0.9878378086225544,0.7145697031498855,0.7578679580164187,0.7362188305831521
P1,metrics.csv,40,Drishti_GS,MIX_CTX,31,ema,raw_linear3_same_geometry,25,25,0.987171427808401,0.7235765129859719,0.7592142293706052,0.7413953711782885
P1,metrics.csv,60,Drishti_GS,MIX_CTX,31,student,raw_linear3_same_geometry,25,25,0.9884018535986481,0.7424003251318855,0.7620849056326868,0.752242615382286
P1,metrics.csv,60,Drishti_GS,MIX_CTX,31,ema,raw_linear3_same_geometry,25,25,0.9879499421884479,0.7265416248208199,0.7630988115212118,0.7448202181710158
P1,metrics.csv,80,Drishti_GS,MIX_CTX,31,student,raw_linear3_same_geometry,25,25,0.9875436009261055,0.70761689814845,0.7522423100894183,0.7299296041189343
P1,metrics.csv,80,Drishti_GS,MIX_CTX,31,ema,raw_linear3_same_geometry,25,25,0.9885142536592412,0.7246842974835879,0.7623715050502162,0.743527901266902
P1,metrics.csv,100,Drishti_GS,MIX_CTX,31,student,raw_linear3_same_geometry,25,25,0.9870686187520802,0.7090402255362384,0.7493999095755484,0.7292200675558932
P1,metrics.csv,100,Drishti_GS,MIX_CTX,31,ema,raw_linear3_same_geometry,25,25,0.987238005494633,0.7096026093149586,0.7503302449713918,0.7299664271431751
P1,metrics.csv,20,RIM_ONE_r3,MIX_CED,31,student,raw_linear3_same_geometry,40,40,0.9852104653824231,0.6916637542421771,0.6262170540264407,0.6589404041343089
P1,metrics.csv,20,RIM_ONE_r3,MIX_CED,31,ema,raw_linear3_same_geometry,40,40,0.9852728714359152,0.7030067205359797,0.6553604374929302,0.6791835790144549
