phase,arm,baseline,seed,domain,metric,delta,flag
P1,MIX_CED,MT_CED,33,RIM_ONE_r3,rim_dice,0.003606696111428498,
P1,MIX_CED,MT_CED,33,RIM_ONE_r3,cup_dice,0.024540484215265335,
P1,MIX_CED,MT_CED,33,Drishti_GS,macro_fg_dice,0.08711763239948056,
P1,MIX_CED,MT_CED,33,Drishti_GS,rim_dice,0.12000987698843235,
P1,MIX_CED,MT_CED,33,Drishti_GS,cup_dice,0.05422538781052877,
P1,MIX_CED,SUP_CED,31,RIM_ONE_r3,macro_fg_dice,0.04597736481191228,
P1,MIX_CED,SUP_CED,31,RIM_ONE_r3,rim_dice,0.027916833333695656,
P1,MIX_CED,SUP_CED,31,RIM_ONE_r3,cup_dice,0.06403789629012879,
P1,MIX_CED,SUP_CED,31,Drishti_GS,macro_fg_dice,0.020467445652101235,
P1,MIX_CED,SUP_CED,31,Drishti_GS,rim_dice,0.04421462353751937,
P1,MIX_CED,SUP_CED,31,Drishti_GS,cup_dice,-0.003279732233317456,
P1,MIX_CED,SUP_CED,32,RIM_ONE_r3,macro_fg_dice,0.04712130547067628,
P1,MIX_CED,SUP_CED,32,RIM_ONE_r3,rim_dice,0.031930044732069285,
P1,MIX_CED,SUP_CED,32,RIM_ONE_r3,cup_dice,0.062312566209283604,
P1,MIX_CED,SUP_CED,32,Drishti_GS,macro_fg_dice,0.02045546251688224,
P1,MIX_CED,SUP_CED,32,Drishti_GS,rim_dice,0.030572552173475875,
P1,MIX_CED,SUP_CED,32,Drishti_GS,cup_dice,0.010338372860288825,
P1,MIX_CED,SUP_CED,33,RIM_ONE_r3,macro_fg_dice,0.03796703982635308,
P1,MIX_CED,SUP_CED,33,RIM_ONE_r3,rim_dice,0.01725001629941003,
P1,MIX_CED,SUP_CED,33,RIM_ONE_r3,cup_dice,0.05868406335329601,
P1,MIX_CED,SUP_CED,33,Drishti_GS,macro_fg_dice,0.04711189324798781,
P1,MIX_CED,SUP_CED,33,Drishti_GS,rim_dice,0.04724897047818266,
P1,MIX_CED,SUP_CED,33,Drishti_GS,cup_dice,0.04697481601779263,
P1,MIX_CED,SUP_CE,31,RIM_ONE_r3,macro_fg_dice,0.023897931890247248,
P1,MIX_CED,SUP_CE,31,RIM_ONE_r3,rim_dice,0.016849674112809465,
P1,MIX_CED,SUP_CE,31,RIM_ONE_r3,cup_dice,0.03094618966768492,
P1,MIX_CED,SUP_CE,31,Drishti_GS,macro_fg_dice,0.012486414545179847,
P1,MIX_CED,SUP_CE,31,Drishti_GS,rim_dice,0.03159946581245743,
P1,MIX_CED,SUP_CE,31,Drishti_GS,cup_dice,-0.006626636722097956,
P1,MIX_CED,SUP_CE,32,RIM_ONE_r3,macro_fg_dice,0.062426197837647246,
P1,MIX_CED,SUP_CE,32,RIM_ONE_r3,rim_dice,0.04766853493161771,
P1,MIX_CED,SUP_CE,32,RIM_ONE_r3,cup_dice,0.07718386074367722,
P1,MIX_CED,SUP_CE,32,Drishti_GS,macro_fg_dice,0.04929961839022268,
P1,MIX_CED,SUP_CE,32,Drishti_GS,rim_dice,0.0745360407391441,
P1,MIX_CED,SUP_CE,32,Drishti_GS,cup_dice,0.024063196041301138,
P1,MIX_CED,SUP_CE,33,RIM_ONE_r3,macro_fg_dice,0.03640864744187511,
P1,MIX_CED,SUP_CE,33,RIM_ONE_r3,rim_dice,0.006385198017900273,
P1,MIX_CED,SUP_CE,33,RIM_ONE_r3,cup_dice,0.06643209686584972,
P1,MIX_CED,SUP_CE,33,Drishti_GS,macro_fg_dice,0.054537772893170855,
P1,MIX_CED,SUP_CE,33,Drishti_GS,rim_dice,0.0877729327241964,
P1,MIX_CED,SUP_CE,33,Drishti_GS,cup_dice,0.02130261306214476,
P2,SUP_CED,SUP_CE,41,RIM_ONE_r3,macro_fg_dice,-0.01897153457731804,
P2,SUP_CED,SUP_CE,41,RIM_ONE_r3,rim_dice,-0.03570740152055851,AMBER_CLASS_COST
P2,SUP_CED,SUP_CE,41,RIM_ONE_r3,cup_dice,-0.002235667634077565,
P2,SUP_CED,SUP_CE,41,Drishti_GS,macro_fg_dice,-0.022967851865671296,
P2,SUP_CED,SUP_CE,41,Drishti_GS,rim_dice,-0.013691094668813797,
P2,SUP_CED,SUP_CE,41,Drishti_GS,cup_dice,-0.032244609062528684,AMBER_CLASS_COST
P2,SUP_CED,SUP_CE,42,RIM_ONE_r3,macro_fg_dice,-0.010582141259287803,
P2,SUP_CED,SUP_CE,42,RIM_ONE_r3,rim_dice,-0.020615203364766854,AMBER_CLASS_COST
P2,SUP_CED,SUP_CE,42,RIM_ONE_r3,cup_dice,-0.0005490791538089734,
P2,SUP_CED,SUP_CE,42,Drishti_GS,macro_fg_dice,0.011171586258531097,
P2,SUP_CED,SUP_CE,42,Drishti_GS,rim_dice,0.033551487172331695,
P2,SUP_CED,SUP_CE,42,Drishti_GS,cup_dice,-0.011208314655269946,
P2,MIX_CED,SUP_CE,41,RIM_ONE_r3,macro_fg_dice,0.026742994533231368,
P2,MIX_CED,SUP_CE,41,RIM_ONE_r3,rim_dice,0.009780038381616007,
P2,MIX_CED,SUP_CE,41,RIM_ONE_r3,cup_dice,0.04370595068484662,
P2,MIX_CED,SUP_CE,41,Drishti_GS,macro_fg_dice,0.03735973234063572,
P2,MIX_CED,SUP_CE,41,Drishti_GS,rim_dice,0.09649079449771525,
P2,MIX_CED,SUP_CE,41,Drishti_GS,cup_dice,-0.021771329816443585,AMBER_CLASS_COST
P2,MIX_CED,SUP_CE,42,RIM_ONE_r3,macro_fg_dice,0.02691811258357757,
P2,MIX_CED,SUP_CE,42,RIM_ONE_r3,rim_dice,0.0013576055276407484,
P2,MIX_CED,SUP_CE,42,RIM_ONE_r3,cup_dice,0.05247861963951406,
P2,MIX_CED,SUP_CE,42,Drishti_GS,macro_fg_dice,0.054945353181770296,
P2,MIX_CED,SUP_CE,42,Drishti_GS,rim_dice,0.10995209511224602,
P2,MIX_CED,SUP_CE,42,Drishti_GS,cup_dice,-6.138874870575961e-05,
P2,MIX_CED,SUP_CED,41,RIM_ONE_r3,macro_fg_dice,0.04571452911054941,
P2,MIX_CED,SUP_CED,41,RIM_ONE_r3,rim_dice,0.04548743990217452,
P2,MIX_CED,SUP_CED,41,RIM_ONE_r3,cup_dice,0.04594161831892418,
P2,MIX_CED,SUP_CED,41,Drishti_GS,macro_fg_dice,0.06032758420630702,
P2,MIX_CED,SUP_CED,41,Drishti_GS,rim_dice,0.11018188916652905,
P2,MIX_CED,SUP_CED,41,Drishti_GS,cup_dice,0.010473279246085099,
P2,MIX_CED,SUP_CED,42,RIM_ONE_r3,macro_fg_dice,0.03750025384286537,
P2,MIX_CED,SUP_CED,42,RIM_ONE_r3,rim_dice,0.021972808892407603,
P2,MIX_CED,SUP_CED,42,RIM_ONE_r3,cup_dice,0.05302769879332303,
P2,MIX_CED,SUP_CED,42,Drishti_GS,macro_fg_dice,0.0437737669232392,
P2,MIX_CED,SUP_CED,42,Drishti_GS,rim_dice,0.07640060793991432,
P2,MIX_CED,SUP_CED,42,Drishti_GS,cup_dice,0.011146925906564187,
P2,MIX_CED,MIX_CTX,41,RIM_ONE_r3,macro_fg_dice,0.004961528797549963,
P2,MIX_CED,MIX_CTX,41,RIM_ONE_r3,rim_dice,0.00935848378735571,
P2,MIX_CED,MIX_CTX,41,RIM_ONE_r3,cup_dice,0.0005645738077444395,
P2,MIX_CED,MIX_CTX,41,Drishti_GS,macro_fg_dice,0.0017685748306119908,
P2,MIX_CED,MIX_CTX,41,Drishti_GS,rim_dice,0.007153418707689263,
P2,MIX_CED,MIX_CTX,41,Drishti_GS,cup_dice,-0.0036162690464650593,
P2,MIX_CED,MIX_CTX,42,RIM_ONE_r3,macro_fg_dice,0.019115893679592544,
P2,MIX_CED,MIX_CTX,42,RIM_ONE_r3,rim_dice,0.01862512701818342,
P2,MIX_CED,MIX_CTX,42,RIM_ONE_r3,cup_dice,0.019606660341001225,
P2,MIX_CED,MIX_CTX,42,Drishti_GS,macro_fg_dice,-0.00093356763961705,
P2,MIX_CED,MIX_CTX,42,Drishti_GS,rim_dice,-0.0019084239039574014,
P2,MIX_CED,MIX_CTX,42,Drishti_GS,cup_dice,4.1288624722857215e-05,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,31,RIM_ONE_r3,macro_fg_dice,-0.022079432921665032,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,31,RIM_ONE_r3,rim_dice,-0.011067159220886191,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,31,RIM_ONE_r3,cup_dice,-0.03309170662244387,AMBER_CLASS_COST
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,31,Drishti_GS,macro_fg_dice,-0.007981031106921388,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,31,Drishti_GS,rim_dice,-0.012615157725061943,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,31,Drishti_GS,cup_dice,-0.0033469044887805,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,32,RIM_ONE_r3,macro_fg_dice,0.015304892366970968,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,32,RIM_ONE_r3,rim_dice,0.015738490199548427,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,32,RIM_ONE_r3,cup_dice,0.01487129453439362,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,32,Drishti_GS,macro_fg_dice,0.028844155873340438,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,32,Drishti_GS,rim_dice,0.04396348856566823,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,32,Drishti_GS,cup_dice,0.013724823181012313,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,33,RIM_ONE_r3,macro_fg_dice,-0.001558392384477969,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,33,RIM_ONE_r3,rim_dice,-0.010864818281509758,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,33,RIM_ONE_r3,cup_dice,0.007748033512553709,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,33,Drishti_GS,macro_fg_dice,0.007425879645183042,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,33,Drishti_GS,rim_dice,0.040523962246013734,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,33,Drishti_GS,cup_dice,-0.02567220295564787,AMBER_CLASS_COST
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,41,RIM_ONE_r3,macro_fg_dice,-0.01897153457731804,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,41,RIM_ONE_r3,rim_dice,-0.03570740152055851,AMBER_CLASS_COST
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,41,RIM_ONE_r3,cup_dice,-0.002235667634077565,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,41,Drishti_GS,macro_fg_dice,-0.022967851865671296,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,41,Drishti_GS,rim_dice,-0.013691094668813797,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,41,Drishti_GS,cup_dice,-0.032244609062528684,AMBER_CLASS_COST
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,42,RIM_ONE_r3,macro_fg_dice,-0.010582141259287803,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,42,RIM_ONE_r3,rim_dice,-0.020615203364766854,AMBER_CLASS_COST
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,42,RIM_ONE_r3,cup_dice,-0.0005490791538089734,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,42,Drishti_GS,macro_fg_dice,0.011171586258531097,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,42,Drishti_GS,rim_dice,0.033551487172331695,
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,SUP_CE,42,Drishti_GS,cup_dice,-0.011208314655269946,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,31,RIM_ONE_r3,macro_fg_dice,0.023897931890247248,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,31,RIM_ONE_r3,rim_dice,0.016849674112809465,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,31,RIM_ONE_r3,cup_dice,0.03094618966768492,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,31,Drishti_GS,macro_fg_dice,0.012486414545179847,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,31,Drishti_GS,rim_dice,0.03159946581245743,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,31,Drishti_GS,cup_dice,-0.006626636722097956,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,32,RIM_ONE_r3,macro_fg_dice,0.062426197837647246,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,32,RIM_ONE_r3,rim_dice,0.04766853493161771,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,32,RIM_ONE_r3,cup_dice,0.07718386074367722,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,32,Drishti_GS,macro_fg_dice,0.04929961839022268,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,32,Drishti_GS,rim_dice,0.0745360407391441,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,32,Drishti_GS,cup_dice,0.024063196041301138,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,33,RIM_ONE_r3,macro_fg_dice,0.03640864744187511,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,33,RIM_ONE_r3,rim_dice,0.006385198017900273,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,33,RIM_ONE_r3,cup_dice,0.06643209686584972,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,33,Drishti_GS,macro_fg_dice,0.054537772893170855,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,33,Drishti_GS,rim_dice,0.0877729327241964,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,33,Drishti_GS,cup_dice,0.02130261306214476,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,41,RIM_ONE_r3,macro_fg_dice,0.026742994533231368,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,41,RIM_ONE_r3,rim_dice,0.009780038381616007,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,41,RIM_ONE_r3,cup_dice,0.04370595068484662,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,41,Drishti_GS,macro_fg_dice,0.03735973234063572,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,41,Drishti_GS,rim_dice,0.09649079449771525,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,41,Drishti_GS,cup_dice,-0.021771329816443585,AMBER_CLASS_COST
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,42,RIM_ONE_r3,macro_fg_dice,0.02691811258357757,
