phase,seed,domain,arm,model,epochs,mean,sample_SD,range,values,meaning
P1,31,RIM_ONE_r3,SUP_CED,ema,60/80/100,0.6867970872615652,0.005441575986116455,0.010837271890951738,"[0.691927548663245, 0.6873734363491572, 0.6810902767722933]","within one trajectory, not three independent trained models"
P1,31,RIM_ONE_r3,SUP_CED,student,60/80/100,0.6772020885460314,0.009903045355410511,0.019020596131550604,"[0.6660975782389043, 0.6851181743704549, 0.6803905130287351]","within one trajectory, not three independent trained models"
P1,32,Drishti_GS,MIX_CED,ema,60/80/100,0.7251222590677593,0.0038157831234129232,0.007630297347442028,"[0.7288972354362288, 0.7252026036782624, 0.7212669380887867]","within one trajectory, not three independent trained models"
P1,32,Drishti_GS,MIX_CED,student,60/80/100,0.7080894721976067,0.010513280008921792,0.019969057688783765,"[0.7000056660492352, 0.7042880268055659, 0.719974723738019]","within one trajectory, not three independent trained models"
P1,32,Drishti_GS,MIX_CTX,ema,60/80/100,0.7082722988535464,0.0034567460791262287,0.006745461539055531,"[0.7120823626814462, 0.7073976327368022, 0.7053369011423907]","within one trajectory, not three independent trained models"
P1,32,Drishti_GS,MIX_CTX,student,60/80/100,0.7057683754802735,0.02009014744350611,0.04006023026886474,"[0.7266945025199836, 0.6866342722511188, 0.703976351669718]","within one trajectory, not three independent trained models"
P1,32,Drishti_GS,MT_CED,ema,60/80/100,0.7120619181597772,0.004918012717204379,0.00921346171002857,"[0.7064610578839389, 0.714050177001425, 0.7156745195939674]","within one trajectory, not three independent trained models"
P1,32,Drishti_GS,MT_CED,student,60/80/100,0.7137246345374285,0.0027663427860192547,0.005479706374618254,"[0.7107642842437493, 0.7141656287501688, 0.7162439906183675]","within one trajectory, not three independent trained models"
P1,32,Drishti_GS,SUP_CED,ema,60/80/100,0.7042889034550338,0.003320466968310759,0.006216238273091701,"[0.7067224619146251, 0.705638024808943, 0.7005062236415334]","within one trajectory, not three independent trained models"
P1,32,Drishti_GS,SUP_CED,student,60/80/100,0.6950176778914632,0.011605578598292265,0.02186241205774364,"[0.6818356801977546, 0.7036980922554983, 0.6995192612211367]","within one trajectory, not three independent trained models"
P1,32,RIM_ONE_r3,MIX_CED,ema,60/80/100,0.7433536753575846,0.004652348426743086,0.00917960593305156,"[0.7392028312396578, 0.7483824371727094, 0.7424757576603866]","within one trajectory, not three independent trained models"
P1,32,RIM_ONE_r3,MIX_CED,student,60/80/100,0.7348619851498189,0.007520504369832002,0.015021496469445506,"[0.7353041720353041, 0.7271301434723536, 0.7421516399417991]","within one trajectory, not three independent trained models"
P1,32,RIM_ONE_r3,MIX_CTX,ema,60/80/100,0.7376130327019698,0.004216109105079976,0.008039390060493923,"[0.7390816501242398, 0.7408984190210818, 0.7328590289605879]","within one trajectory, not three independent trained models"
P1,32,RIM_ONE_r3,MIX_CTX,student,60/80/100,0.7277892948152662,0.011972904867176384,0.022347708109571096,"[0.7141324696557483, 0.7364801777653194, 0.7327552370247311]","within one trajectory, not three independent trained models"
P1,32,RIM_ONE_r3,MT_CED,ema,60/80/100,0.689400428693062,0.009850337034686544,0.019421618716386146,"[0.700065058667819, 0.6874927874599341, 0.6806434399514328]","within one trajectory, not three independent trained models"
P1,32,RIM_ONE_r3,MT_CED,student,60/80/100,0.685299897442792,0.00478184530489268,0.009170705134281643,"[0.6868664590087443, 0.6891019692269567, 0.679931264092675]","within one trajectory, not three independent trained models"
P1,32,RIM_ONE_r3,SUP_CED,ema,60/80/100,0.6984352302373347,0.0031754587893549646,0.006321001513378777,"[0.701773470025432, 0.6980797521745188, 0.6954524685120532]","within one trajectory, not three independent trained models"
P1,32,RIM_ONE_r3,SUP_CED,student,60/80/100,0.6912619056545299,0.0043867036804871185,0.008583918949058522,"[0.6923089669704026, 0.6864464155220643, 0.6950303344711228]","within one trajectory, not three independent trained models"
P1,33,Drishti_GS,MIX_CED,ema,60/80/100,0.7429422338124961,0.006166170814452379,0.011159485207587694,"[0.7358472206070811, 0.7459727750157384, 0.7470067058146688]","within one trajectory, not three independent trained models"
P1,33,Drishti_GS,MIX_CED,student,60/80/100,0.7390799276733917,0.013262491399985967,0.023320909289685665,"[0.7237713010840326, 0.746376271562424, 0.7470922103737183]","within one trajectory, not three independent trained models"
P1,33,Drishti_GS,MIX_CTX,ema,60/80/100,0.7305161152469933,0.004345161303215833,0.008645150624873699,"[0.7345832370938207, 0.7310270221782125, 0.725938086468947]","within one trajectory, not three independent trained models"
P1,33,Drishti_GS,MIX_CTX,student,60/80/100,0.7248341237353791,0.01598609420853585,0.031923435125262634,"[0.709381909360494, 0.7413053444857566, 0.7238151173598868]","within one trajectory, not three independent trained models"
P1,33,Drishti_GS,MT_CED,ema,60/80/100,0.6836406035746971,0.01864351008471052,0.03722119829917914,"[0.7016119146900907, 0.6849191796430893, 0.6643907163909115]","within one trajectory, not three independent trained models"
P1,33,Drishti_GS,MT_CED,student,60/80/100,0.6757580724585207,0.018408208877773724,0.03600500776176363,"[0.6959795857360014, 0.6713200536653229, 0.6599745779742378]","within one trajectory, not three independent trained models"
P1,33,Drishti_GS,SUP_CED,ema,60/80/100,0.6941034983887289,0.0052085683274064876,0.010103548745770685,"[0.6897840171508473, 0.6926389121187213, 0.6998875658966179]","within one trajectory, not three independent trained models"
P1,33,Drishti_GS,SUP_CED,student,60/80/100,0.6929458657776901,0.0064364111403756976,0.012628876829973157,"[0.6873514402957573, 0.6915058399115825, 0.6999803171257305]","within one trajectory, not three independent trained models"
P1,33,RIM_ONE_r3,MIX_CED,ema,60/80/100,0.7209636520185919,0.0018103840307283079,0.0032593136358988195,"[0.7230485410096966, 0.7197892273737978, 0.7200531876722813]","within one trajectory, not three independent trained models"
P1,33,RIM_ONE_r3,MIX_CED,student,60/80/100,0.7139942836028349,0.004396594285067698,0.00827975116961599,"[0.7089997206580719, 0.715703658322745, 0.7172794718276879]","within one trajectory, not three independent trained models"
P1,33,RIM_ONE_r3,MIX_CTX,ema,60/80/100,0.7293175362705931,0.006532293401357824,0.011836490595274252,"[0.7218029169902044, 0.7325102842360964, 0.7336394075854786]","within one trajectory, not three independent trained models"
P1,33,RIM_ONE_r3,MIX_CTX,student,60/80/100,0.7160487952310503,0.01927529667476562,0.03819172961567663,"[0.6954380036767989, 0.7190786487238763, 0.7336297332924755]","within one trajectory, not three independent trained models"
P1,33,RIM_ONE_r3,MT_CED,ema,60/80/100,0.7048007775846148,0.001492363733167897,0.002910106230935461,"[0.706447289958797, 0.7044178590671859, 0.7035371837278616]","within one trajectory, not three independent trained models"
P1,33,RIM_ONE_r3,MT_CED,student,60/80/100,0.7007765015980253,0.004828870538207727,0.00869288790789613,"[0.6952153676109194, 0.7039082555188155, 0.703205881664341]","within one trajectory, not three independent trained models"
P1,33,RIM_ONE_r3,SUP_CED,ema,60/80/100,0.6829720102972398,0.004231423241898596,0.008462339826034615,"[0.6872299123336092, 0.6829185460505355, 0.6787675725075746]","within one trajectory, not three independent trained models"
P1,33,RIM_ONE_r3,SUP_CED,student,60/80/100,0.6813509629897245,0.0063045342962644675,0.0121046183334802,"[0.6884225376506594, 0.6763179193171792, 0.6793124320013348]","within one trajectory, not three independent trained models"
P2,41,Drishti_GS,MIX_CED,ema,60/80/100,0.7339134909297846,0.003914338032312861,0.0072418216038762084,"[0.7366759055279613, 0.7356304833373077, 0.729434083924085]","within one trajectory, not three independent trained models"
P2,41,Drishti_GS,MIX_CED,student,60/80/100,0.7266162160594161,0.009276963829960143,0.017731407950361433,"[0.719327571682227, 0.7370589796325885, 0.7234620968634325]","within one trajectory, not three independent trained models"
P2,41,Drishti_GS,MIX_CTX,ema,60/80/100,0.7253307344172015,0.0019261978690349217,0.003641048809129188,"[0.7238734955399473, 0.7275145443490765, 0.7246041633625809]","within one trajectory, not three independent trained models"
P2,41,Drishti_GS,MIX_CTX,student,60/80/100,0.7186380581661447,0.008518683950550339,0.016194577076162564,"[0.7090130376947255, 0.725207614770888, 0.7216935220328206]","within one trajectory, not three independent trained models"
P2,41,Drishti_GS,SUP_CE,ema,60/80/100,0.6889692978119498,0.0022107482019099417,0.004194495274616572,"[0.6906628293939037, 0.6897767299226587, 0.6864683341192871]","within one trajectory, not three independent trained models"
P2,41,Drishti_GS,SUP_CE,student,60/80/100,0.6922308833709424,0.007905458145992325,0.0150517210986999,"[0.7011540856214967, 0.6894361999685336, 0.6861023645227968]","within one trajectory, not three independent trained models"
P2,41,Drishti_GS,SUP_CED,ema,60/80/100,0.6745885872165531,0.011146292314351403,0.02221988067195213,"[0.6862178405885108, 0.67354996114459, 0.6639979599165586]","within one trajectory, not three independent trained models"
P2,41,Drishti_GS,SUP_CED,student,60/80/100,0.6725863959105055,0.009074521398127089,0.018094885746130496,"[0.6733952766711349, 0.681229398403256, 0.6631345126571255]","within one trajectory, not three independent trained models"
P2,41,RIM_ONE_r3,MIX_CED,ema,60/80/100,0.7310680279845266,0.005397895567150795,0.01046148848010664,"[0.7370683156496087, 0.729528941134469, 0.7266068271695021]","within one trajectory, not three independent trained models"
P2,41,RIM_ONE_r3,MIX_CED,student,60/80/100,0.7288466715340601,0.006600384167034929,0.012923459452394925,"[0.7360853869096363, 0.7231619274572414, 0.7272927002353027]","within one trajectory, not three independent trained models"
P2,41,RIM_ONE_r3,MIX_CTX,ema,60/80/100,0.7321227439426009,0.008080392257136656,0.015110884297023564,"[0.7380240969188202, 0.7354309222871859, 0.7229132126217966]","within one trajectory, not three independent trained models"
P2,41,RIM_ONE_r3,MIX_CTX,student,60/80/100,0.7271839139220035,0.010333354280914428,0.01888029432832583,"[0.720170137999966, 0.7390504323282918, 0.7223311714377527]","within one trajectory, not three independent trained models"
P2,41,RIM_ONE_r3,SUP_CE,ema,60/80/100,0.6994989659127276,0.0016698194526349327,0.0030918552467896765,"[0.6975886187565491, 0.700227804978295, 0.7006804740033388]","within one trajectory, not three independent trained models"
P2,41,RIM_ONE_r3,SUP_CE,student,60/80/100,0.6957677486712186,0.005907867310434598,0.011386314401071296,"[0.689163391301, 0.6975901490105846, 0.7005497057020713]","within one trajectory, not three independent trained models"
P2,41,RIM_ONE_r3,SUP_CED,ema,60/80/100,0.6921670599444639,0.009603256384138704,0.01920441236141901,"[0.7016872709166855, 0.6923310503614399, 0.6824828585552665]","within one trajectory, not three independent trained models"
P2,41,RIM_ONE_r3,SUP_CED,student,60/80/100,0.6829603007147584,0.005327405889208206,0.010382396997937304,"[0.6784601670107924, 0.6888425640087297, 0.6815781711247533]","within one trajectory, not three independent trained models"
P2,42,Drishti_GS,MIX_CED,ema,60/80/100,0.7502364793869851,0.0026349785127140453,0.005268908731903332,"[0.7528405915041576, 0.7475716827722543, 0.7502971638845434]","within one trajectory, not three independent trained models"
P2,42,Drishti_GS,MIX_CED,student,60/80/100,0.7474221182284162,0.012690422838270874,0.025347357450380414,"[0.7597195437654612, 0.7343721863150808, 0.7481746246047064]","within one trajectory, not three independent trained models"
P2,42,Drishti_GS,MIX_CTX,ema,60/80/100,0.7520779927920589,0.0020402598346552577,0.0038230314745574256,"[0.7544013206948708, 0.7505782892203133, 0.7512543684609926]","within one trajectory, not three independent trained models"
P2,42,Drishti_GS,MIX_CTX,student,60/80/100,0.7465820590694556,0.0031946257529865737,0.006117207942864966,"[0.7476470006625848, 0.7429909843014585, 0.7491081922443235]","within one trajectory, not three independent trained models"
P2,42,Drishti_GS,SUP_CE,ema,60/80/100,0.6855652565309689,0.006809335611499464,0.01361848177939462,"[0.6787767518906027, 0.6855237840323067, 0.6923952336699973]","within one trajectory, not three independent trained models"
P2,42,Drishti_GS,SUP_CE,student,60/80/100,0.6800452047506361,0.014761032191259633,0.02913149208129573,"[0.6640977793416404, 0.6828085634873318, 0.6932292714229361]","within one trajectory, not three independent trained models"
P2,42,Drishti_GS,SUP_CED,ema,60/80/100,0.7056231257361399,0.0029164701168769855,0.005784802702723413,"[0.7025148445066999, 0.7082996472094233, 0.7060548854922968]","within one trajectory, not three independent trained models"
P2,42,Drishti_GS,SUP_CED,student,60/80/100,0.7048354186623996,0.0007865346508370625,0.0013813099903434711,"[0.7057433541480376, 0.7043620441576941, 0.7044008576814672]","within one trajectory, not three independent trained models"
P2,42,RIM_ONE_r3,MIX_CED,ema,60/80/100,0.7363959357051656,9.946472334542004e-05,0.00017480586329243764,"[0.7363359429828693, 0.7365107488461617, 0.7363411152864656]","within one trajectory, not three independent trained models"
P2,42,RIM_ONE_r3,MIX_CED,student,60/80/100,0.7190624116329289,0.019369488264592324,0.03800864111684221,"[0.697896851018047, 0.7233848917458506, 0.7359054921348892]","within one trajectory, not three independent trained models"
P2,42,RIM_ONE_r3,MIX_CTX,ema,60/80/100,0.7268389973516945,0.007493210279609781,0.014839406394349552,"[0.7336542159859883, 0.7280479664774564, 0.7188148095916388]","within one trajectory, not three independent trained models"
P2,42,RIM_ONE_r3,MIX_CTX,student,60/80/100,0.7069907561413719,0.008520201861931016,0.015460403056645533,"[0.7028534745701677, 0.7013291953986511, 0.7167895984552967]","within one trajectory, not three independent trained models"
P2,42,RIM_ONE_r3,SUP_CE,ema,60/80/100,0.7159389853749266,0.005703904543381297,0.010110663876598758,"[0.7194691784087743, 0.7189892631838299, 0.7093585145321756]","within one trajectory, not three independent trained models"
P2,42,RIM_ONE_r3,SUP_CE,student,60/80/100,0.7128802784882652,0.00406014732584071,0.008101824860010765,"[0.7125642515021614, 0.7170892044113224, 0.7089873795513116]","within one trajectory, not three independent trained models"
P2,42,RIM_ONE_r3,SUP_CED,ema,60/80/100,0.7048488264749362,0.005272375021788162,0.010447246818140798,"[0.709659453979835, 0.7056748182832793, 0.6992122071616942]","within one trajectory, not three independent trained models"
P2,42,RIM_ONE_r3,SUP_CED,student,60/80/100,0.7034351568112438,0.005172550496907836,0.010334182066742525,"[0.7087394203587664, 0.7031608117829411, 0.6984052382920238]","within one trajectory, not three independent trained models"
