phase,seed,domain,arm,epoch,class_id,steps,L_class_pixels,L_records,U_unique_batch_sources,U_context_records,mix_steps,all_ignore_L,CE,GT_Dice,dice_weight,SCE,target_entropy,KL,lambda_cons,weighted_GT_Dice,weighted_U_SCE,U_target_applicable,unit,U_predicted,U_accepted
P1,31,RIM_ONE_r3,SUP_CED,12,1,32,721124,64,0,0,0,0,2.235597375780344,8.335844307515712,32,0.0,0.0,0.0,0.0,8.335844307515712,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,12,2,32,174632,64,0,0,0,0,2.235597375780344,8.335844307515712,32,0.0,0.0,0.0,0.0,8.335844307515712,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,13,0,32,8541428,64,0,0,0,0,2.2465703524649143,8.487257147127417,32,0.0,0.0,0.0,0.0,8.487257147127417,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,13,1,32,721124,64,0,0,0,0,2.2465703524649143,8.487257147127417,32,0.0,0.0,0.0,0.0,8.487257147127417,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,13,2,32,174632,64,0,0,0,0,2.2465703524649143,8.487257147127417,32,0.0,0.0,0.0,0.0,8.487257147127417,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,14,0,32,8541428,64,0,0,0,0,2.4331648759543896,8.253581897039302,32,0.0,0.0,0.0,0.0,8.253581897039302,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,14,1,32,721124,64,0,0,0,0,2.4331648759543896,8.253581897039302,32,0.0,0.0,0.0,0.0,8.253581897039302,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,14,2,32,174632,64,0,0,0,0,2.4331648759543896,8.253581897039302,32,0.0,0.0,0.0,0.0,8.253581897039302,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,15,0,32,8541428,64,0,0,0,0,1.9624076336622238,7.629400753037935,32,0.0,0.0,0.0,0.0,7.629400753037935,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,15,1,32,721124,64,0,0,0,0,1.9624076336622238,7.629400753037935,32,0.0,0.0,0.0,0.0,7.629400753037935,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,15,2,32,174632,64,0,0,0,0,1.9624076336622238,7.629400753037935,32,0.0,0.0,0.0,0.0,7.629400753037935,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,16,0,32,8541428,64,0,0,0,0,2.3608521707355976,8.851215164064133,32,0.0,0.0,0.0,0.0,8.851215164064133,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,16,1,32,721124,64,0,0,0,0,2.3608521707355976,8.851215164064133,32,0.0,0.0,0.0,0.0,8.851215164064133,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,16,2,32,174632,64,0,0,0,0,2.3608521707355976,8.851215164064133,32,0.0,0.0,0.0,0.0,8.851215164064133,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,17,0,32,8541428,64,0,0,0,0,1.910132747143507,7.1172030130313715,32,0.0,0.0,0.0,0.0,7.1172030130313715,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,17,1,32,721124,64,0,0,0,0,1.910132747143507,7.1172030130313715,32,0.0,0.0,0.0,0.0,7.1172030130313715,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,17,2,32,174632,64,0,0,0,0,1.910132747143507,7.1172030130313715,32,0.0,0.0,0.0,0.0,7.1172030130313715,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,18,0,32,8541428,64,0,0,0,0,1.903948960825801,7.289907586588333,32,0.0,0.0,0.0,0.0,7.289907586588333,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,18,1,32,721124,64,0,0,0,0,1.903948960825801,7.289907586588333,32,0.0,0.0,0.0,0.0,7.289907586588333,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,18,2,32,174632,64,0,0,0,0,1.903948960825801,7.289907586588333,32,0.0,0.0,0.0,0.0,7.289907586588333,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,19,0,32,8541428,64,0,0,0,0,1.920152634382248,7.018823371975193,32,0.0,0.0,0.0,0.0,7.018823371975193,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,19,1,32,721124,64,0,0,0,0,1.920152634382248,7.018823371975193,32,0.0,0.0,0.0,0.0,7.018823371975193,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,19,2,32,174632,64,0,0,0,0,1.920152634382248,7.018823371975193,32,0.0,0.0,0.0,0.0,7.018823371975193,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,20,0,32,8541428,64,0,0,0,0,1.694727797061205,6.352576515234223,32,0.0,0.0,0.0,0.0,6.352576515234223,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
