epoch,domain,arm,seed,head_mode,model,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice,evaluable_only_background_dice,evaluable_only_rim_dice,evaluable_only_cup_dice,evaluable_only_macro_fg_dice
80,Drishti_GS,SUP,32,raw_linear3_same_geometry,student,25,25,0.9821236223953497,0.6208713235899332,0.7300293527072774,0.6754503381486054,0.9821236223953497,0.6208713235899332,0.7300293527072774,0.6754503381486054
80,Drishti_GS,SUP,32,raw_linear3_same_geometry,ema,25,25,0.9831903339615,0.6311200868879445,0.7335409647373007,0.6823305258126225,0.9831903339615,0.6311200868879445,0.7335409647373007,0.6823305258126225
100,Drishti_GS,SUP,32,raw_linear3_same_geometry,student,25,25,0.9814185950616161,0.6137068417160417,0.7276433689795511,0.6706751053477963,0.9814185950616161,0.6137068417160417,0.7276433689795511,0.6706751053477963
100,Drishti_GS,SUP,32,raw_linear3_same_geometry,ema,25,25,0.9816255272784475,0.6165267523140874,0.7281671620014473,0.6723469571577674,0.9816255272784475,0.6165267523140874,0.7281671620014473,0.6723469571577674
20,Drishti_GS,T_SCE,32,raw_linear3_same_geometry,student,25,25,0.9840133346093002,0.5935880024483672,0.7130577543192972,0.6533228783838322,0.9840133346093002,0.5935880024483672,0.7130577543192972,0.6533228783838322
20,Drishti_GS,T_SCE,32,raw_linear3_same_geometry,ema,25,25,0.9859074830691388,0.6459409542723674,0.7236188354150772,0.6847798948437221,0.9859074830691388,0.6459409542723674,0.7236188354150772,0.6847798948437221
40,Drishti_GS,T_SCE,32,raw_linear3_same_geometry,student,25,25,0.9833861777974059,0.642142769197609,0.7057620122351367,0.6739523907163729,0.9833861777974059,0.642142769197609,0.7057620122351367,0.6739523907163729
40,Drishti_GS,T_SCE,32,raw_linear3_same_geometry,ema,25,25,0.9854255005838083,0.6530589619930912,0.7389472431100649,0.6960031025515779,0.9854255005838083,0.6530589619930912,0.7389472431100649,0.6960031025515779
60,Drishti_GS,T_SCE,32,raw_linear3_same_geometry,student,25,25,0.9836992194172274,0.6457434097202985,0.7591889265743116,0.702466168147305,0.9836992194172274,0.6457434097202985,0.7591889265743116,0.702466168147305
60,Drishti_GS,T_SCE,32,raw_linear3_same_geometry,ema,25,25,0.9838897362239918,0.6512058548097832,0.7627739961477253,0.7069899254787544,0.9838897362239918,0.6512058548097832,0.7627739961477253,0.7069899254787544
80,Drishti_GS,T_SCE,32,raw_linear3_same_geometry,student,25,25,0.9823005665256241,0.6406098674589686,0.7603589661085739,0.7004844167837715,0.9823005665256241,0.6406098674589686,0.7603589661085739,0.7004844167837715
80,Drishti_GS,T_SCE,32,raw_linear3_same_geometry,ema,25,25,0.9825953729715661,0.6441236451542354,0.7610707461841913,0.7025971956692135,0.9825953729715661,0.6441236451542354,0.7610707461841913,0.7025971956692135
100,Drishti_GS,T_SCE,32,raw_linear3_same_geometry,student,25,25,0.9811001440137345,0.6320225088215053,0.7584698404841116,0.6952461746528084,0.9811001440137345,0.6320225088215053,0.7584698404841116,0.6952461746528084
100,Drishti_GS,T_SCE,32,raw_linear3_same_geometry,ema,25,25,0.981341181955433,0.6339759421074195,0.7591091395790955,0.6965425408432574,0.981341181955433,0.6339759421074195,0.7591091395790955,0.6965425408432574
20,RIM_ONE_r3,SUP,32,raw_linear3_same_geometry,student,40,40,0.9863674094615454,0.7110310648368319,0.6413161975747311,0.6761736312057816,0.9863674094615454,0.7110310648368319,0.6413161975747311,0.6761736312057816
20,RIM_ONE_r3,SUP,32,raw_linear3_same_geometry,ema,40,40,0.9869568529747419,0.7109289838625352,0.622288256299265,0.6666086200809002,0.9869568529747419,0.7109289838625352,0.622288256299265,0.6666086200809002
40,RIM_ONE_r3,SUP,32,raw_linear3_same_geometry,student,40,40,0.9875711840721717,0.7343131380506793,0.6668109734684394,0.7005620557595595,0.9875711840721717,0.7343131380506793,0.6668109734684394,0.7005620557595595
40,RIM_ONE_r3,SUP,32,raw_linear3_same_geometry,ema,40,40,0.9876275960962744,0.7360884030519657,0.6683516197571818,0.7022200114045738,0.9876275960962744,0.7360884030519657,0.6683516197571818,0.7022200114045738
60,RIM_ONE_r3,SUP,32,raw_linear3_same_geometry,student,40,40,0.9861586320815843,0.7093570660836571,0.644233606491398,0.6767953362875275,0.9861586320815843,0.7093570660836571,0.644233606491398,0.6767953362875275
60,RIM_ONE_r3,SUP,32,raw_linear3_same_geometry,ema,40,40,0.9878696101540794,0.7382962881966575,0.6617553635298384,0.7000258258632479,0.9878696101540794,0.7382962881966575,0.6617553635298384,0.7000258258632479
80,RIM_ONE_r3,SUP,32,raw_linear3_same_geometry,student,40,40,0.9862531269054656,0.7277861080227873,0.6572806546514386,0.6925333813371128,0.9862531269054656,0.7277861080227873,0.6572806546514386,0.6925333813371128
80,RIM_ONE_r3,SUP,32,raw_linear3_same_geometry,ema,40,40,0.9868263159126588,0.732176096887262,0.6584550537754137,0.6953155753313378,0.9868263159126588,0.732176096887262,0.6584550537754137,0.6953155753313378
