variant,site,site_index,epoch,class_id,target_coverage,realized_coverage,valid_pseudo_count,admitted_pixel_count,deferred_pixel_count,posthoc_final_pseudo_label_accuracy,posthoc_final_boundary_interior_admitted_ratio,hidden_gt_scope
R1,Drishti_GS,2,5,1,0.41079985274231157,0.41115839872323445,15038,6183,8855,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,5,2,0.41085541719890056,0.41105732484076435,19625,8067,11558,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,6,0,0.4128435846486577,0.4128583332786552,304814,125845,178969,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,6,1,0.412782366777602,0.41334991708126034,12060,4985,7075,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,6,2,0.4129311017410493,0.41325129665412386,19666,8127,11539,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,7,0,0.41484488262430247,0.4148682701075606,305967,126936,179031,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,7,1,0.4148634061960348,0.41519292604501606,12440,5165,7275,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,7,2,0.4148219465869138,0.41512621745179884,20124,8354,11770,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,8,0,0.4168474901359006,0.4168672878533588,304471,126924,177547,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,8,1,0.4167910793588875,0.4171329345938646,15549,6486,9063,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,8,2,0.41694456412189235,0.4171779141104294,20538,8568,11970,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,9,0,0.418851120992391,0.4188684937076603,304974,127744,177230,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,9,1,0.4187758208544996,0.41929299900314393,13041,5468,7573,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,9,2,0.41886467249884324,0.41917660864463135,20452,8573,11879,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,10,0,0.42084612270728305,0.42086348451941524,308031,129639,178392,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,10,1,0.42090697312987063,0.4212085308056872,15192,6399,8793,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,10,2,0.4208336336573256,0.421228872116509,18814,7925,10889,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,11,0,0.4228530855023582,0.42287671986257275,309109,130715,178394,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,11,1,0.4228163886138545,0.4232972189634946,14491,6134,8357,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,11,2,0.42288359861592933,0.4231911313471246,20206,8551,11655,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,12,0,0.42485441607417856,0.4248706842171664,309127,131339,177788,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,12,1,0.4249468202266314,0.42522452167122216,17927,7623,10304,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,12,2,0.4248517336290722,0.42515993553743225,20477,8706,11771,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
