variant,run_dir,trained_site,trained_site_index,evaluation_site,site,patients,asd_class_1,asd_class_2,dice_class_1,dice_class_2,hd95_class_1,hd95_class_2,mean_foreground_asd,mean_foreground_dice,mean_foreground_hd95
R1,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r1_progressive_uniform_full200e,Drishti_GS,2,RIM_ONE_r3,RIM_ONE_r3,40,8.25522297050149,5.778882836251585,0.6125199897058119,0.6378215460203231,27.050779612419696,24.14070711806529,7.017052903376538,0.6251707678630674,25.59574336524249
R1,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r1_progressive_uniform_full200e,Drishti_GS,2,Drishti_GS,Drishti_GS,25,8.752180871030948,4.441363520222982,0.625996556424185,0.6968737418645865,33.911526801037645,18.825616666374643,6.596772195626965,0.6614351491443857,26.36857173370614
R2,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r2_legacy_teacherreject_full200e,REFUGE,0,REFUGE,REFUGE,100,2.594985261193793,1.4328205627690733,0.8292733530487055,0.8260194074026215,13.775572353283632,10.418548610237275,2.013902911981434,0.8276463802256635,12.097060481760456
R2,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r2_legacy_teacherreject_full200e,REFUGE,0,RIM_ONE_r3,RIM_ONE_r3,40,9.760423399601134,5.548754546321089,0.5626345839250776,0.6362120849944092,43.968458752044526,23.105475319593086,7.65458897296111,0.5994233344597434,33.536967035818805
R2,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r2_legacy_teacherreject_full200e,REFUGE,0,Drishti_GS,Drishti_GS,25,19.163591154197537,11.790349462168837,0.38843511785083173,0.5585200781683991,71.28492682709893,42.38714933545648,15.476970308183189,0.4734775980096155,56.8360380812777
R2,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r2_legacy_teacherreject_full200e,RIM_ONE_r3,1,REFUGE,REFUGE,100,3.598319684655581,2.4044023409365187,0.6756441707670183,0.7163342331447667,18.206047470246354,12.158251080306053,3.0013610127960497,0.6959892019558924,15.182149275276206
R2,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r2_legacy_teacherreject_full200e,RIM_ONE_r3,1,RIM_ONE_r3,RIM_ONE_r3,40,3.779042508779715,4.281575709003219,0.7393653202825744,0.6993106795959829,19.26311387872719,15.305131219279895,4.030309108891467,0.7193379999392787,17.28412254900354
R2,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r2_legacy_teacherreject_full200e,RIM_ONE_r3,1,Drishti_GS,Drishti_GS,25,12.92416355267633,10.887379757675971,0.3239576724748546,0.41782863694637307,36.20613704419023,35.227162125458854,11.905771655176151,0.37089315471061374,35.71664958482454
R2,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r2_legacy_teacherreject_full200e,Drishti_GS,2,REFUGE,REFUGE,100,16.052679314045818,4.435288121623621,0.5598636837759614,0.6682896515370567,57.656730541307795,19.25398369218799,10.24398371783472,0.614076667656509,38.455357116747884
R2,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r2_legacy_teacherreject_full200e,Drishti_GS,2,RIM_ONE_r3,RIM_ONE_r3,40,9.79410403832801,7.899181204291963,0.5002626678993204,0.5884087469548858,31.9192748177427,28.088382365587314,8.667766297451676,0.5443357074271031,29.62683684801234
R2,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r2_legacy_teacherreject_full200e,Drishti_GS,2,Drishti_GS,Drishti_GS,25,10.5676571271982,3.1286146361211133,0.604661308843978,0.7561736907389282,28.4810446651575,15.06644002836309,6.848135881659657,0.6804174997914529,21.773742346760297
R3,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r3_progressive_teacherreject_full200e,REFUGE,0,REFUGE,REFUGE,100,2.2174229212027727,1.2529316149570406,0.835011442362265,0.8284503525915399,13.156305660642586,8.684918638510073,1.7351772680799065,0.8317308974769024,10.92061214957633
R3,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r3_progressive_teacherreject_full200e,REFUGE,0,RIM_ONE_r3,RIM_ONE_r3,40,14.724275727655506,6.69061711156327,0.5325250510956728,0.6353392517782803,58.089744236820124,21.84987138350262,10.70744641960939,0.5839321514369765,39.96980781016138
R3,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r3_progressive_teacherreject_full200e,REFUGE,0,Drishti_GS,Drishti_GS,25,23.974197874984817,17.65335050601304,0.3531600816622704,0.5390710030542906,89.28216431476967,45.83772393443152,20.81377419049893,0.44611554235828055,67.55994412460059
R3,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r3_progressive_teacherreject_full200e,RIM_ONE_r3,1,REFUGE,REFUGE,100,3.679535283936005,1.9375264469692355,0.6907894725839111,0.7631418364259644,17.601156697197972,11.70206998638539,2.8085308654526204,0.7269656545049378,14.651613341791679
R3,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r3_progressive_teacherreject_full200e,RIM_ONE_r3,1,RIM_ONE_r3,RIM_ONE_r3,40,3.890959443614534,3.187906616119567,0.7471958982086848,0.7029264655322527,17.424854215560817,12.81973066417682,3.539433029867051,0.7250611818704686,15.12229243986882
R3,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r3_progressive_teacherreject_full200e,RIM_ONE_r3,1,Drishti_GS,Drishti_GS,25,12.209432484611387,14.026118744526107,0.33948599923136813,0.39077097473276323,36.14435787911161,47.738916292011616,13.117775614568746,0.3651284869820657,41.94163708556162
R3,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r3_progressive_teacherreject_full200e,Drishti_GS,2,REFUGE,REFUGE,100,7.386500559915969,2.5402878000876052,0.7219606146260302,0.7460744193018232,35.81506103935993,15.634143777419203,5.197214812235782,0.7340175169639268,26.42207658247863
R3,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r3_progressive_teacherreject_full200e,Drishti_GS,2,RIM_ONE_r3,RIM_ONE_r3,40,10.122782451367403,6.740306158980173,0.6031208966304505,0.6198470550836689,35.20780922499225,20.435484496078246,8.431544305173789,0.6114839758570596,27.821646860535253
R3,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2a_r3_progressive_teacherreject_full200e,Drishti_GS,2,Drishti_GS,Drishti_GS,25,13.159959369671816,12.777390017078876,0.5392099319989174,0.5671823001492947,47.23172404550124,33.34396193344957,12.968674693375345,0.5531961160741061,40.2878429894754
U0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,REFUGE,0,REFUGE,REFUGE,100,1.5634874995027221,1.8565570023926588,0.8330933271158297,0.820420295969413,10.27194153735567,9.612954204665858,1.7100222509476906,0.8267568115426214,9.942447871010765
U0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,REFUGE,0,RIM_ONE_r3,RIM_ONE_r3,40,9.996863235314454,8.00832933881308,0.570733679805384,0.6083118121604116,37.2195277495015,29.128408783291796,9.002596287063767,0.5895227459828979,33.17396826639665
U0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,REFUGE,0,Drishti_GS,Drishti_GS,25,20.74026987654855,25.911887808144016,0.35800161496325655,0.4614597824593153,68.55924596851968,59.131916001722836,23.326078842346288,0.40973069871128603,63.84558098512125
U0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,RIM_ONE_r3,1,REFUGE,REFUGE,100,3.0155777504245096,2.925221309537738,0.6757544889941994,0.7293235654064126,15.653509434769814,14.792424216715114,2.9703995299811243,0.7025390272003057,15.222966825742464
U0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,RIM_ONE_r3,1,RIM_ONE_r3,RIM_ONE_r3,40,4.793361628792656,3.4945804317683504,0.7187403022676673,0.679776975128379,19.997916685398724,14.36786561561139,4.554970002637697,0.6992586386980231,18.356212124834638
U0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,RIM_ONE_r3,1,Drishti_GS,Drishti_GS,25,11.52032217531877,20.323559949696946,0.3483143424009023,0.3661078923549392,38.71345410367844,51.199541436702475,16.186127188584408,0.3572111173779208,46.394335496950156
U0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,Drishti_GS,2,REFUGE,REFUGE,100,6.267893725433947,3.3343896824279784,0.7274896128349106,0.7025448220138913,34.63760695344243,16.967099873594936,4.9496000498941,0.7150172174244013,26.379050226286708
U0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,Drishti_GS,2,RIM_ONE_r3,RIM_ONE_r3,40,5.563917765080187,6.112784328040575,0.5900383215141835,0.5874055473563693,24.159742945912136,22.70056157660502,5.838351046560381,0.5887219344352764,23.430152261258577
U0,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,Drishti_GS,2,Drishti_GS,Drishti_GS,25,7.049225543410217,14.446776795099064,0.6084490635404909,0.570044587860864,31.017725890076953,35.34462767565681,10.658159040143639,0.5892468257006775,33.274784073201324
