level,key,policy,rows,retained_rows,excluded_rows,patients,retained_patients,groups,weighting,foreground_dice,rim_dice,cup_dice,mean_iou,gain_macro_fg,gain_rim,gain_cup,harm,status,gain_minus_frozen_PPC,rim_drop,cup_drop
seed,0,current,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.5783495485529473,0.602516094889119,0.5541830022167754,0.6196378788662796,0.0,0.0,0.0,0.0,DEFINED,-0.22516141627029493,0.0,0.0
seed,0,frozen_Ridge_hard,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8124807820598559,0.874222264236924,0.7507392998827878,0.8045717463757597,0.23413123350690856,0.27170616934780484,0.19655629766601232,0.004272228469769302,DEFINED,0.008969817236613636,0.0,0.0
seed,0,frozen_SHOR,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8124807820598559,0.874222264236924,0.7507392998827878,0.8045717463757597,0.23413123350690856,0.27170616934780484,0.19655629766601232,0.004272228469769302,DEFINED,0.008969817236613636,0.0,0.0
seed,0,frozen_PPC_C6,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8035109648232422,0.8637177405070839,0.7433041891394003,0.7979431344625576,0.22516141627029493,0.2612016456179649,0.18912118692262492,0.004272228469769302,DEFINED,0.0,0.0,0.0
seed,0,O_CAP_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6006428357677055,0.617081865870678,0.584203805664733,0.6351755564174888,0.022293287214758244,0.014565770981558953,0.030020803447957527,0.0,DEFINED,-0.2028681290555367,0.0,0.0
seed,0,O_CAP_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6127166670552255,0.6229062472957781,0.6025270868146729,0.6429456618153718,0.034367118502278235,0.020390152406659076,0.04834408459789738,0.0,DEFINED,-0.1907942977680167,0.0,0.0
seed,0,O_CAP_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6128895697925498,0.6230891465015781,0.6026899930835214,0.6430952974512524,0.0345400212396025,0.02057305161245908,0.048506990866745904,0.0,DEFINED,-0.19062139503069242,0.0,0.0
seed,0,O_SAFE0_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6006428357677055,0.617081865870678,0.584203805664733,0.6351755564174888,0.022293287214758244,0.014565770981558953,0.030020803447957527,0.0,DEFINED,-0.2028681290555367,0.0,0.0
seed,0,O_SAFE0_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6127166670552255,0.6229062472957781,0.6025270868146729,0.6429456618153718,0.034367118502278235,0.020390152406659076,0.04834408459789738,0.0,DEFINED,-0.1907942977680167,0.0,0.0
seed,0,O_SAFE0_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.6128895697925498,0.6230891465015781,0.6026899930835214,0.6430952974512524,0.0345400212396025,0.02057305161245908,0.048506990866745904,0.0,DEFINED,-0.19062139503069242,0.0,0.0
seed,0,O_NO_AREA_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.7544411731112451,0.8182020794735568,0.6906802667489336,0.7534267035696193,0.17609162455829788,0.21568598458443775,0.13649726453215813,0.0,DEFINED,-0.049069791711997046,0.0,0.0
seed,0,O_NO_AREA_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.7996284898175635,0.8589861337848439,0.7402708458502832,0.7930831129729744,0.22127894126461622,0.2564700388957247,0.1860878436335077,0.00036447953590688014,DEFINED,-0.003882475005678704,0.0,0.0
seed,0,O_NO_AREA_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8003178880833892,0.8590549914222115,0.7415807847445667,0.7937478484435353,0.22196833953044184,0.2565388965330924,0.18739778252779127,0.0002949213747456651,DEFINED,-0.0031930767398530846,0.0,0.0
