level,key,policy,patients,foreground_dice,gain_macro_fg,weighting
seed,1,O_NO_AREA_lambda075,66,0.8215380848004914,0.3396980779026415,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,O_NO_AREA_envelope,66,0.8293719590580805,0.3475319521602306,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,O_FREE_SUBSET_lambda050,66,0.7792272818791716,0.2973872749813217,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,O_FREE_SUBSET_lambda075,66,0.8277962485103358,0.34595624161248584,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,O_FREE_SUBSET_envelope,66,0.8356162786903089,0.353776271792459,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,current,66,0.6621758547133938,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,frozen_Ridge_hard,66,0.8502759168879749,0.18810006217458114,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,frozen_SHOR,66,0.833790530756198,0.17161467604280434,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,frozen_PPC_C6,66,0.8364318528745021,0.17425599816110837,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_CAP_lambda050,66,0.6856923608899042,0.023516506176510295,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_CAP_lambda075,66,0.6947027707346565,0.03252691602126274,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_CAP_envelope,66,0.695077419128886,0.03290156441549216,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_SAFE0_lambda050,66,0.6856923608899042,0.023516506176510295,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_SAFE0_lambda075,66,0.6947027707346565,0.03252691602126274,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_SAFE0_envelope,66,0.695077419128886,0.03290156441549216,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_NO_AREA_lambda050,66,0.7734103669087815,0.11123451219538784,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_NO_AREA_lambda075,66,0.8344851899110469,0.17230933519765312,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_NO_AREA_envelope,66,0.8351034146079629,0.17292755989456915,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_FREE_SUBSET_lambda050,66,0.7760375815932151,0.11386172687982143,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_FREE_SUBSET_lambda075,66,0.8373323867656127,0.1751565320522191,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,2,O_FREE_SUBSET_envelope,66,0.8378864083681997,0.17571055365480592,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
