level,key,policy,rows,patients,accepted,vetoed,current_domain_historical_overrides,source_mismatches,beneficial_accepted,harmful_accepted,beneficial_vetoed,class_harm_vetoed,zero_macro_vetoed,class_nonharm_accepted,correction_precision,class_nonharm_precision,worst_case_delta,worst_class_harm,case_delta_below_minus_010,patients_with_case_below_minus_010,worst_patient_mean_delta,patient_mean_below_minus_010
seed_domain,0:Drishti_GS,SHOR_UV_ROUTED_ONLY,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,0:REFUGE,CURRENT,40,40,0,40,0,0,0,0,40,2,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,0:REFUGE,RIDGE_HARD_FROZEN,40,40,40,0,0,0,40,2,0,0,0,38,1.0,0.95,0.044950763675799754,0.024539840472076135,0,0,0.044950763675799754,0
seed_domain,0:REFUGE,SHOR_FROZEN,40,40,40,0,0,0,40,2,0,0,0,38,1.0,0.95,0.044950763675799754,0.024539840472076135,0,0,0.044950763675799754,0
seed_domain,0:REFUGE,PPC_FROZEN,40,40,39,1,0,0,39,2,1,0,0,37,1.0,0.9487179487179487,0.0,0.024539840472076135,0,0,0.0,0
seed_domain,0:REFUGE,SHOR_CONFIDENCE_VETO,40,40,40,0,0,0,40,2,0,0,0,38,1.0,0.95,0.044950763675799754,0.024539840472076135,0,0,0.044950763675799754,0
seed_domain,0:REFUGE,SHOR_UV_CF,40,40,38,2,0,0,38,2,2,0,0,36,1.0,0.9473684210526315,0.0,0.024539840472076135,0,0,0.0,0
seed_domain,0:REFUGE,SHOR_UV_GAIN_ONLY,40,40,6,34,0,0,6,0,34,2,0,6,1.0,1.0,0.0,0.0,0,0,0.0,0
seed_domain,0:REFUGE,SHOR_UV_ROUTED_ONLY,40,40,40,0,0,0,40,2,0,0,0,38,1.0,0.95,0.044950763675799754,0.024539840472076135,0,0,0.044950763675799754,0
seed_domain,0:RIM_ONE_r3,CURRENT,16,16,0,16,0,0,0,0,16,1,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,0:RIM_ONE_r3,RIDGE_HARD_FROZEN,16,16,16,0,0,0,16,1,0,0,0,15,1.0,0.9375,0.13502402289935028,0.19197313100830227,0,0,0.13502402289935028,0
seed_domain,0:RIM_ONE_r3,SHOR_FROZEN,16,16,16,0,0,0,16,1,0,0,0,15,1.0,0.9375,0.13502402289935028,0.19197313100830227,0,0,0.13502402289935028,0
seed_domain,0:RIM_ONE_r3,PPC_FROZEN,16,16,15,1,0,0,15,1,1,0,0,14,1.0,0.9333333333333333,0.0,0.19197313100830227,0,0,0.0,0
seed_domain,0:RIM_ONE_r3,SHOR_CONFIDENCE_VETO,16,16,16,0,0,0,16,1,0,0,0,15,1.0,0.9375,0.13502402289935028,0.19197313100830227,0,0,0.13502402289935028,0
seed_domain,0:RIM_ONE_r3,SHOR_UV_CF,16,16,15,1,0,0,15,0,1,1,0,15,1.0,1.0,0.0,0.0,0,0,0.0,0
