level,key,policy,macro_Dice_difference_from_SHOR,gain_difference_from_SHOR,rim_difference_from_SHOR,cup_difference_from_SHOR,gain_retention_relative_SHOR
seed,0,SHOR_CONFIDENCE_VETO,0.0,0.0,0.0,0.0,1.0
seed,0,SHOR_UV_CF,-0.009638924513294733,-0.009638924513294816,-0.018512198343718644,-0.0007656506828710441,0.9588311035272002
seed,0,SHOR_UV_GAIN_ONLY,-0.20175222751492494,-0.20175222751492486,-0.23670604512281368,-0.1667984099070361,0.13829426132941927
seed,0,SHOR_UV_ROUTED_ONLY,0.0,0.0,0.0,0.0,1.0
seed,1,CURRENT,-0.23980132365820395,-0.23980132365820392,-0.3045262259585288,-0.17507642135787915,0.0
seed,1,RIDGE_HARD_FROZEN,0.0200109629397478,0.020010962939747884,0.02584185992448007,0.014180065955015642,1.083448092089225
seed,1,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
seed,1,PPC_FROZEN,-0.006372960499651414,-0.006372960499651387,-0.011036692819724525,-0.0017092281795781927,0.9734239978227353
seed,1,SHOR_CONFIDENCE_VETO,-0.03742007679831516,-0.03742007679831513,-0.06735294769270594,-0.007487205903924377,0.8439538355023799
seed,1,SHOR_UV_CF,-0.0416970333302773,-0.0416970333302773,-0.06098169666255426,-0.022412369998000448,0.8261184188052717
seed,1,SHOR_UV_GAIN_ONLY,-0.17923180697437102,-0.1792318069743711,-0.23555069774967552,-0.12291291619906686,0.2525820781963839
seed,1,SHOR_UV_ROUTED_ONLY,-0.0645990010962677,-0.0645990010962677,-0.10030147503827536,-0.028896527154260276,0.730614493236315
seed,2,CURRENT,-0.13682177482080515,-0.13682177482080515,-0.13559380092306805,-0.13804974871854225,0.0
seed,2,RIDGE_HARD_FROZEN,0.011103247343670741,0.011103247343670852,0.027427337730634438,-0.005220843043292844,1.0811511717211146
seed,2,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
seed,2,PPC_FROZEN,0.006130064091476539,0.0061300640914766225,0.008455409831513938,0.0038047183514394733,1.0448032785680872
seed,2,SHOR_CONFIDENCE_VETO,-0.005488494264373034,-0.005488494264372923,-0.005674543854599978,-0.0053024446741458675,0.9598858129741323
seed,2,SHOR_UV_CF,-0.05389732077092979,-0.053897320770929694,-0.05835200469255142,-0.04944263684930794,0.6060764389183025
seed,2,SHOR_UV_GAIN_ONLY,-0.07746692342095174,-0.07746692342095157,-0.07341081552419682,-0.08152303131770633,0.4338114417649555
seed,2,SHOR_UV_ROUTED_ONLY,-0.004689453578740066,-0.004689453578739872,-0.006289651716550382,-0.003089255440929417,0.9657258240884419
domain,Drishti_GS,CURRENT,0.015315363792476666,0.015315363792476487,0.019821620040510357,0.010809107544442642,-0.0
domain,Drishti_GS,RIDGE_HARD_FROZEN,-0.030837756233392577,-0.03083775623339268,-0.03589756127597876,-0.025777951190806614,3.0135177101402846
domain,Drishti_GS,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
domain,Drishti_GS,PPC_FROZEN,0.0,0.0,0.0,0.0,1.0
domain,Drishti_GS,SHOR_CONFIDENCE_VETO,0.0,0.0,0.0,0.0,1.0
domain,Drishti_GS,SHOR_UV_CF,0.015315363792476666,0.015315363792476487,0.019821620040510357,0.010809107544442642,-0.0
domain,Drishti_GS,SHOR_UV_GAIN_ONLY,0.0,0.0,0.0,0.0,1.0
domain,Drishti_GS,SHOR_UV_ROUTED_ONLY,0.0,0.0,0.0,0.0,1.0
domain,REFUGE,CURRENT,-0.30720999494992396,-0.307209994949924,-0.3265758049462558,-0.287844184953592,0.0
domain,REFUGE,RIDGE_HARD_FROZEN,0.0,0.0,0.0,0.0,1.0
domain,REFUGE,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
domain,REFUGE,PPC_FROZEN,-0.002917708063016611,-0.0029177080630166663,-0.0025802713987642667,-0.003255144727268844,0.990502561404318
domain,REFUGE,SHOR_CONFIDENCE_VETO,-0.005488494264372923,-0.005488494264372923,-0.005674543854599867,-0.0053024446741458675,0.9821343890023254
domain,REFUGE,SHOR_UV_CF,-0.052363037689638126,-0.05236303768963818,-0.05737611508792695,-0.04734996029134897,0.8295529489586643
domain,REFUGE,SHOR_UV_GAIN_ONLY,-0.235657396614107,-0.235657396614107,-0.2540323075496701,-0.2172824856785438,0.23291103646377218
domain,REFUGE,SHOR_UV_ROUTED_ONLY,-0.009007329199144598,-0.009007329199144543,-0.012196361522292531,-0.005818296875996332,0.9706802208677724
domain,RIM_ONE_r3,CURRENT,-0.3188597008284701,-0.3188597008284701,-0.4050720113236562,-0.23264739033328408,0.0
domain,RIM_ONE_r3,RIDGE_HARD_FROZEN,0.06195196651681145,0.061951966516811396,0.08916675893109349,0.03473717410252941,1.1942922431271374
domain,RIM_ONE_r3,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
domain,RIM_ONE_r3,PPC_FROZEN,-0.006295005581771651,-0.006295005581771762,-0.010505535319286441,-0.0020844758442571942,0.980257757360319
domain,RIM_ONE_r3,SHOR_CONFIDENCE_VETO,-0.03742007679831516,-0.03742007679831516,-0.06735294769270583,-0.007487205903924377,0.8826440697865259
domain,RIM_ONE_r3,SHOR_UV_CF,-0.06818560471734014,-0.06818560471734014,-0.10029140465140751,-0.03607980478327266,0.7861579731142618
domain,RIM_ONE_r3,SHOR_UV_GAIN_ONLY,-0.22279356129614047,-0.22279356129614053,-0.29163525084701575,-0.15395187174526537,0.3012802787016605
domain,RIM_ONE_r3,SHOR_UV_ROUTED_ONLY,-0.06028112547586317,-0.06028112547586306,-0.09439476523253287,-0.02616748571919314,0.8109478077059002
seed_domain,0:Drishti_GS,CURRENT,0.0,0.0,0.0,0.0,
seed_domain,0:Drishti_GS,RIDGE_HARD_FROZEN,0.0,0.0,0.0,0.0,
seed_domain,0:Drishti_GS,SHOR_FROZEN,0.0,0.0,0.0,0.0,
seed_domain,0:Drishti_GS,PPC_FROZEN,0.0,0.0,0.0,0.0,
seed_domain,0:Drishti_GS,SHOR_CONFIDENCE_VETO,0.0,0.0,0.0,0.0,
seed_domain,0:Drishti_GS,SHOR_UV_CF,0.0,0.0,0.0,0.0,
seed_domain,0:Drishti_GS,SHOR_UV_GAIN_ONLY,0.0,0.0,0.0,0.0,
seed_domain,0:Drishti_GS,SHOR_UV_ROUTED_ONLY,0.0,0.0,0.0,0.0,
seed_domain,0:REFUGE,CURRENT,-0.27642019296982145,-0.27642019296982157,-0.3095610460245948,-0.24327933991504835,0.0
seed_domain,0:REFUGE,RIDGE_HARD_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,0:REFUGE,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,0:REFUGE,PPC_FROZEN,-0.0037566318314327107,-0.0037566318314328218,-0.003581438553569072,-0.003931825109296683,0.986409705488329
seed_domain,0:REFUGE,SHOR_CONFIDENCE_VETO,0.0,0.0,0.0,0.0,1.0
seed_domain,0:REFUGE,SHOR_UV_CF,-0.020477772108675074,-0.020477772108675074,-0.026660271480718367,-0.014295272736631781,0.9259179588558106
seed_domain,0:REFUGE,SHOR_UV_GAIN_ONLY,-0.23171711711878795,-0.23171711711878795,-0.263742805591215,-0.19969142864636102,0.16172145519019335
seed_domain,0:REFUGE,SHOR_UV_ROUTED_ONLY,0.0,0.0,0.0,0.0,1.0
seed_domain,0:RIM_ONE_r3,CURRENT,-0.42597350755090424,-0.4259735075509042,-0.50555746201882,-0.34638955308298847,0.0
seed_domain,0:RIM_ONE_r3,RIDGE_HARD_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,0:RIM_ONE_r3,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,0:RIM_ONE_r3,PPC_FROZEN,-0.023152819878408226,-0.023152819878408226,-0.027932132635950957,-0.018373507120865495,0.945647277429239
seed_domain,0:RIM_ONE_r3,SHOR_CONFIDENCE_VETO,0.0,0.0,0.0,0.0,1.0
seed_domain,0:RIM_ONE_r3,SHOR_UV_CF,-0.008439001431209459,-0.008439001431209403,-0.028876323550437677,0.01199832068801887,0.9801889054562837
seed_domain,0:RIM_ONE_r3,SHOR_UV_GAIN_ONLY,-0.37353956542598676,-0.3735395654259867,-0.44637532977722616,-0.30070380107474737,0.12309202613651177
seed_domain,0:RIM_ONE_r3,SHOR_UV_ROUTED_ONLY,0.0,0.0,0.0,0.0,1.0
seed_domain,1:Drishti_GS,CURRENT,0.04594609137742933,0.045946091377429464,0.05946486012153107,0.032427322633327704,-0.0
seed_domain,1:Drishti_GS,RIDGE_HARD_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,1:Drishti_GS,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,1:Drishti_GS,PPC_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,1:Drishti_GS,SHOR_CONFIDENCE_VETO,0.0,0.0,0.0,0.0,1.0
seed_domain,1:Drishti_GS,SHOR_UV_CF,0.04594609137742933,0.045946091377429464,0.05946486012153107,0.032427322633327704,-0.0
seed_domain,1:Drishti_GS,SHOR_UV_GAIN_ONLY,0.0,0.0,0.0,0.0,1.0
seed_domain,1:Drishti_GS,SHOR_UV_ROUTED_ONLY,0.0,0.0,0.0,0.0,1.0
seed_domain,1:REFUGE,CURRENT,-0.4469129824038487,-0.4469129824038488,-0.5034074801796711,-0.3904184846280265,0.0
seed_domain,1:REFUGE,RIDGE_HARD_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,1:REFUGE,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,1:REFUGE,PPC_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,1:REFUGE,SHOR_CONFIDENCE_VETO,0.0,0.0,0.0,0.0,1.0
seed_domain,1:REFUGE,SHOR_UV_CF,-0.0922959695673935,-0.0922959695673935,-0.1055835831038403,-0.07900835603094658,0.7934811177984732
seed_domain,1:REFUGE,SHOR_UV_GAIN_ONLY,-0.32844608433718625,-0.32844608433718625,-0.37636813486135756,-0.28052403381301494,0.2650782204389199
seed_domain,1:REFUGE,SHOR_UV_ROUTED_ONLY,-0.012953626861213818,-0.012953626861213874,-0.017720129417226782,-0.008187124305201077,0.9710153265373069
seed_domain,1:RIM_ONE_r3,CURRENT,-0.3184370799481923,-0.31843707994819237,-0.46963605781744583,-0.16723810207893886,0.0
seed_domain,1:RIM_ONE_r3,RIDGE_HARD_FROZEN,0.060032888819243624,0.060032888819243624,0.07752557977344054,0.0425401978650467,1.1885235501751572
seed_domain,1:RIM_ONE_r3,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,1:RIM_ONE_r3,PPC_FROZEN,-0.019118881498954132,-0.019118881498954132,-0.033110078459173464,-0.005127684538734689,0.9399602536800531
seed_domain,1:RIM_ONE_r3,SHOR_CONFIDENCE_VETO,-0.11226023039494537,-0.11226023039494537,-0.20205884307811744,-0.02246161771177324,0.647464954730745
seed_domain,1:RIM_ONE_r3,SHOR_UV_CF,-0.07874122180086784,-0.07874122180086784,-0.13682636700535322,-0.020656076596382467,0.7527259645337832
seed_domain,1:RIM_ONE_r3,SHOR_UV_GAIN_ONLY,-0.20924933658592698,-0.20924933658592698,-0.33028395838766833,-0.08821471478418558,0.34288639809167176
seed_domain,1:RIM_ONE_r3,SHOR_UV_ROUTED_ONLY,-0.1808433764275893,-0.1808433764275893,-0.28318429569759884,-0.07850245715757975,0.4320907086040001
seed_domain,2:Drishti_GS,CURRENT,0.0,0.0,0.0,0.0,
seed_domain,2:Drishti_GS,RIDGE_HARD_FROZEN,-0.09251326870017806,-0.09251326870017804,-0.10769268382793629,-0.07733385357241995,
seed_domain,2:Drishti_GS,SHOR_FROZEN,0.0,0.0,0.0,0.0,
seed_domain,2:Drishti_GS,PPC_FROZEN,0.0,0.0,0.0,0.0,
seed_domain,2:Drishti_GS,SHOR_CONFIDENCE_VETO,0.0,0.0,0.0,0.0,
seed_domain,2:Drishti_GS,SHOR_UV_CF,0.0,0.0,0.0,0.0,
seed_domain,2:Drishti_GS,SHOR_UV_GAIN_ONLY,0.0,0.0,0.0,0.0,
seed_domain,2:Drishti_GS,SHOR_UV_ROUTED_ONLY,0.0,0.0,0.0,0.0,
seed_domain,2:REFUGE,CURRENT,-0.19829680947610173,-0.19829680947610165,-0.1667588886345014,-0.22983473031770174,0.0
seed_domain,2:REFUGE,RIDGE_HARD_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,2:REFUGE,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,2:REFUGE,PPC_FROZEN,-0.004996492357617122,-0.004996492357617122,-0.004159375642723617,-0.005833609072510293,0.9748029614252604
seed_domain,2:REFUGE,SHOR_CONFIDENCE_VETO,-0.01646548279311877,-0.01646548279311877,-0.017023631563799713,-0.015907334022437603,0.916965467893203
seed_domain,2:REFUGE,SHOR_UV_CF,-0.044315371392846026,-0.04431537139284589,-0.039884490679222395,-0.0487462521064691,0.7765199979267106
seed_domain,2:REFUGE,SHOR_UV_GAIN_ONLY,-0.14680898838634682,-0.14680898838634676,-0.12198598219643775,-0.17163199457625555,0.2596502748873532
seed_domain,2:REFUGE,SHOR_UV_ROUTED_ONLY,-0.014068360736219754,-0.014068360736219615,-0.018868955149650923,-0.009267766322788362,0.9290540237465843
seed_domain,2:RIM_ONE_r3,CURRENT,-0.21216851498631378,-0.21216851498631378,-0.24002251413470277,-0.1843145158379249,0.0
seed_domain,2:RIM_ONE_r3,RIDGE_HARD_FROZEN,0.12582301073119062,0.12582301073119062,0.18997469701983982,0.0616713244425412,1.593033376037472
seed_domain,2:RIM_ONE_r3,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
seed_domain,2:RIM_ONE_r3,PPC_FROZEN,0.023386684632047072,0.023386684632047045,0.029525605137265543,0.01724776412682849,1.110226932745208
seed_domain,2:RIM_ONE_r3,SHOR_CONFIDENCE_VETO,0.0,0.0,0.0,0.0,1.0
seed_domain,2:RIM_ONE_r3,SHOR_UV_CF,-0.11737659091994324,-0.11737659091994318,-0.13517152339843175,-0.09958165844145461,0.4467765826257741
seed_domain,2:RIM_ONE_r3,SHOR_UV_GAIN_ONLY,-0.08559178187650784,-0.08559178187650796,-0.09824646437615281,-0.07293709937686321,0.5965858464813727
seed_domain,2:RIM_ONE_r3,SHOR_UV_ROUTED_ONLY,0.0,0.0,0.0,0.0,1.0
