batch_id,seed,stage_index,domain,pair_index,candidate,primary,CE_before,CE_after,CE_delta,foreground_Dice_delta,FG_class_CE_deltas,FG_class_Dice_deltas
B0/seed1/stage1/RIM_ONE_r3/pair01,1,1,RIM_ONE_r3,1,P1,False,0.1693570235442252,0.17201205550123896,0.002655031957013776,-0.0019617401930249745,"[0.028744765997069655, 0.007982772776004676]","[-0.003754976461367132, -0.00016850392468281683]"
B0/seed1/stage1/RIM_ONE_r3/pair01,1,1,RIM_ONE_r3,1,P2,False,0.1693570235442252,0.17157338074370238,0.002216357199477187,-0.0016869659448790486,"[0.024834435702092428, 0.0037060893941454065]","[-0.002901198038058994, -0.0004727338516991031]"
B0/seed1/stage1/RIM_ONE_r3/pair01,1,1,RIM_ONE_r3,1,P3,False,0.1693570235442252,0.17147220967457827,0.0021151861303530806,-0.0014977223635060932,"[0.0236555369185365, 0.00400656747622774]","[-0.002572454126907653, -0.0004229906001044226]"
B0/seed1/stage1/RIM_ONE_r3/pair01,1,1,RIM_ONE_r3,1,P4,True,0.1693570235442252,0.17147220967457827,0.0021151861303530806,-0.0014977223635060932,"[0.0236555369185365, 0.004006567476228184]","[-0.002572454126907653, -0.0004229906001044226]"
B0/seed1/stage1/RIM_ONE_r3/pair02,1,1,RIM_ONE_r3,2,P0,False,0.1693570235442252,0.17145466970942277,0.0020976461651975864,-0.0014266227033770118,"[0.02012422206223241, 0.014773962246139138]","[-0.0023013243170836306, -0.000551921089670282]"
B0/seed1/stage1/RIM_ONE_r3/pair02,1,1,RIM_ONE_r3,2,P1,False,0.1693570235442252,0.17145466970942277,0.0020976461651975864,-0.0014266227033770118,"[0.02012422206223241, 0.014773962246139138]","[-0.0023013243170836306, -0.000551921089670282]"
B0/seed1/stage1/RIM_ONE_r3/pair02,1,1,RIM_ONE_r3,2,P2,False,0.1693570235442252,0.17126431119321195,0.0019072876489867607,-0.0012559490067874934,"[0.021853581764642582, 0.002834600497283235]","[-0.0024811829467135116, -3.071506686136427e-05]"
B0/seed1/stage1/RIM_ONE_r3/pair02,1,1,RIM_ONE_r3,2,P3,False,0.1693570235442252,0.17129324080566566,0.0019362172614404705,-0.0013599565257853552,"[0.02127393555523427, 0.005333771681736543]","[-0.002360552517221115, -0.0003593605343493733]"
B0/seed1/stage1/RIM_ONE_r3/pair02,1,1,RIM_ONE_r3,2,P4,True,0.1693570235442252,0.17129324080566566,0.0019362172614404705,-0.0013599565257853552,"[0.02127393555523427, 0.005333771681736543]","[-0.002360552517221115, -0.0003593605343493733]"
B0/seed1/stage1/RIM_ONE_r3/pair03,1,1,RIM_ONE_r3,3,P0,False,0.1693570235442252,0.17085852767682236,0.00150150413259717,-0.001518331250151772,"[0.024020262152682825, -0.019531762890247828]","[-0.003700423829669619, 0.0006637613293661859]"
B0/seed1/stage1/RIM_ONE_r3/pair03,1,1,RIM_ONE_r3,3,P1,False,0.1693570235442252,0.17085852767682236,0.00150150413259717,-0.001518331250151772,"[0.024020262152682825, -0.019531762890247828]","[-0.003700423829669619, 0.0006637613293661859]"
B0/seed1/stage1/RIM_ONE_r3/pair03,1,1,RIM_ONE_r3,3,P2,False,0.1693570235442252,0.17074903040282613,0.0013920068586009415,-0.0017163240512461098,"[0.014919214499853783, 0.0028519987778978795]","[-0.0018431365227978835, -0.001589511579694336]"
B0/seed1/stage1/RIM_ONE_r3/pair03,1,1,RIM_ONE_r3,3,P3,False,0.1693570235442252,0.17058690334319826,0.0012298797989730714,-0.0012332991845293018,"[0.014744426243640696, -0.0017985295476110608]","[-0.0015993567102436934, -0.0008672416588147991]"
B0/seed1/stage1/RIM_ONE_r3/pair03,1,1,RIM_ONE_r3,3,P4,True,0.1693570235442252,0.17058690334319826,0.0012298797989730714,-0.0012332991845293018,"[0.014744426243640696, -0.0017985295476110608]","[-0.0015993567102436934, -0.0008672416588147991]"
B0/seed1/stage1/RIM_ONE_r3/pair04,1,1,RIM_ONE_r3,4,P0,False,0.1693570235442252,0.1708238135042433,0.0014667899600181167,-0.0011847539028875254,"[0.00885274898872157, 0.02565027750307447]","[-0.0005916554549719732, -0.0017778523508028554]"
B0/seed1/stage1/RIM_ONE_r3/pair04,1,1,RIM_ONE_r3,4,P1,False,0.1693570235442252,0.1708238135042433,0.0014667899600181167,-0.0011847539028875254,"[0.00885274898872157, 0.02565027750307447]","[-0.0005916554549719732, -0.0017778523508028554]"
