batch_id,seed,stage_index,domain,pair_index,candidate,primary,constraint_count,deterministic_repeat,direction_sha256,fallback_used,guard_names,norm,norm_ratio,raw_guard_dots,raw_norm,status,zero_direction,active_set,complementarity_max,condition_number,condition_undefined_reason,dual,dual_feasible,dual_objective,duality_gap,effective_condition_number,enumerated_supports,gram_rank,guard_norms,nonzero_constraint_count,normalized_guard_dots,objective,primal_feasible,rank_deficient,stationarity_residual,zero_constraint_indices
B0/seed2/stage1/RIM_ONE_r3/pair07,2,1,RIM_ONE_r3,7,P2,False,7,True,a4d063f9aa53a63a2abf4f728f9a8bd68e236e75ddcae6935cd952a17a49b113,False,"[""global_supervised"", ""class_sup_0"", ""class_old_0"", ""class_sup_1"", ""class_old_1"", ""class_sup_2"", ""class_old_2""]",0.7248988441431625,0.6190787592729083,"[0.6106655116399793, 0.1447562996406167, 4.718447854656915e-16, 8.328678405319703, 2.6990468936926266, -2.3314683517128287e-15, 0.17539846843795082]",1.1709315386535586,CERTIFIED,False,"[2, 5]",2.207968168099069e-16,62.08148043452606,,"[0.0, 0.0, 0.30595873381398814, 0.0, 0.0, 0.8838937439197231, 0.0]",True,0.42280116698675013,7.216449660063518e-16,62.08148043452606,22,7,"[1.3788696565521024, 0.742385327928473, 1.7396642160991693, 23.5626039382762, 10.30135710977039, 6.133107769339195, 5.915787835367721]",7,"[0.44287399373698916, 0.1949880933726689, 1.1102230246251565e-16, 0.3534702033415841, 0.2620088659126954, -2.498001805406602e-16, 0.029649215509272582]",0.4228011669867494,True,False,3.624918366719143e-17,[]
B0/seed2/stage1/RIM_ONE_r3/pair07,2,1,RIM_ONE_r3,7,P3,False,7,True,e80f239eb85ace08957f23fb7d1238a15edf6735f67bcd8e6ac5239b2e2b812a,False,"[""global_supervised"", ""sup_0"", ""sup_1"", ""sup_2"", ""sup_3"", ""sup_4"", ""sup_5""]",0.7596341847598246,0.6487434659359501,"[0.6708259763590937, 0.03846033511179022, 0.34653215275681176, 9.36137791082644, 8.704397759643722, 0.2627875499065992, -3.309852392163748e-15]",1.1709315386535586,CERTIFIED,False,[6],3.879933040214315e-16,1604.5238055667767,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8910872985055193]",True,0.3970182867789324,8.326672684688674e-16,1604.5238055667767,8,7,"[1.3788696565521024, 0.14940755671656528, 1.3684618209978934, 24.521967149995223, 22.670603888840112, 6.377752800425103, 5.934493189384333]",7,"[0.48650427048812656, 0.2574189415649951, 0.25322749048571724, 0.38175476924689794, 0.38395085558036596, 0.04120378417443214, -4.354155924701786e-16]",0.3970182867789316,True,False,3.225838300863026e-17,[]
B0/seed2/stage1/RIM_ONE_r3/pair07,2,1,RIM_ONE_r3,7,P4,True,13,True,dfccbfab6054f8ef53f726be96067b45a6b78c0711f299de0d223c7d6b2ae6d5,False,"[""global_supervised"", ""sup_0"", ""sup_1"", ""sup_2"", ""sup_3"", ""sup_4"", ""sup_5"", ""old_0"", ""old_1"", ""old_2"", ""old_3"", ""old_4"", ""old_5""]",0.6964542080383965,0.5947864457039407,"[0.5619422675329248, 0.025342806009516255, 0.2688604781815591, 7.657581568915797, 7.246975203988871, 0.18317960409004247, -2.942091015256665e-15, -8.049116928532385e-16, -9.71445146547012e-17, 2.082011663781198, 2.68897205865564, 0.17791606033914986, 0.17247306596432754]",1.1709315386535586,CERTIFIED,False,"[6, 7, 8]",3.6559784328200482e-16,2194.787563361519,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.893020371944295, 0.07248774938944044, 0.2510815523081797, 0.0, 0.0, 0.0, 0.0]",True,0.4430161021596004,6.661338147750939e-16,2194.787563361519,344,13,"[1.3788696565521024, 0.14940755671656528, 1.3684618209978934, 24.521967149995223, 22.670603888840112, 6.377752800425103, 5.934493189384333, 2.0925800384443445, 1.720423747819832, 12.514630955887666, 9.81976887762162, 16.446601392418412, 5.438775709417012]",13,"[0.4075383520572026, 0.16962198275949988, 0.19646911156462077, 0.3122743588259513, 0.31966396834961613, 0.028721653193869864, -4.0939474033052647e-16, -5.065392549852277e-16, -4.163336342344337e-17, 0.16636620537353447, 0.2738325201098742, 0.010817800960456508, 0.03171174455046888]",0.44301610215959975,True,False,3.170942479964213e-17,[]
B0/seed2/stage2/Drishti_GS/pair00,2,2,Drishti_GS,0,P0,False,0,True,4ff1fadc2778bc0bdcb22f0ed9362d814226191136ccd481d80e6b719e956e82,False,[],1.39938541033518,1.0,[],1.39938541033518,RAW_IDENTITY,False,,,,,,,,,,,,,,,,,,,
B0/seed2/stage2/Drishti_GS/pair00,2,2,Drishti_GS,0,P1,False,1,True,4ff1fadc2778bc0bdcb22f0ed9362d814226191136ccd481d80e6b719e956e82,False,"[""global_supervised""]",1.39938541033518,1.0,[2.0701103870524094],1.39938541033518,CERTIFIED,False,[],0.0,1.0,,[0.0],True,-0.0,0.0,1.0,1,1,[1.4834670333539501],1,[1.3954542571614315],0.0,True,False,0.0,[]
B0/seed2/stage2/Drishti_GS/pair00,2,2,Drishti_GS,0,P2,False,7,True,f5ee425430a83b90d25c838fe8e227b61e244dab5664e579df593d311bf5299f,False,"[""global_supervised"", ""class_sup_0"", ""class_old_0"", ""class_sup_1"", ""class_old_1"", ""class_sup_2"", ""class_old_2""]",0.5982907441806872,0.42753821767899164,"[0.3604975080122417, 0.13515032454953266, 1.951563910473908e-16, -2.425837308805967e-14, -2.450817326860033e-14, 1.6788210422946945, 0.47004463677149594]",1.39938541033518,CERTIFIED,False,"[2, 3, 4]",7.98761331051027e-16,174.78982206852046,,"[0.0, 0.0, 0.3720800315823731, 0.8720730261525738, 0.46940735104406495, 0.0, 0.0]",True,0.8001638560433435,3.3306690738754696e-15,174.78982206852046,55,7,"[1.4834670333539501, 0.5882469668790341, 0.48140254679485006, 25.91589746898738, 16.155646056635533, 17.71407471996999, 6.8456415857367485]",7,"[0.2430101241934564, 0.2297509926257292, 5.828670879282072e-16, -9.159339953157541e-16, -1.5248219353836134e-15, 0.09477328445510469, 0.06866334307522884]",0.8001638560433402,True,False,2.5605057501033523e-17,[]
B0/seed2/stage2/Drishti_GS/pair00,2,2,Drishti_GS,0,P3,False,7,True,5e63de7a676b2882fdf0988f29545e3dbf2516530becca7f2c47e84365f44aa6,False,"[""global_supervised"", ""sup_0"", ""sup_1"", ""sup_2"", ""sup_3"", ""sup_4"", ""sup_5""]",0.6434159656595162,0.4597846746918746,"[0.4218540424066129, -5.204170427930421e-17, 0.3663328492164997, 5.995204332975845e-15, 0.7320987808475767, 2.3497975532273063, 0.7208302731357344]",1.39938541033518,CERTIFIED,False,"[1, 3]",3.3954541960580295e-16,545.9569428974963,,"[0.0, 0.2677210297114667, 0.0, 1.2877276843890972, 0.0, 0.0, 0.0]",True,0.7721477108967002,2.886579864025407e-15,545.9569428974963,16,7,"[1.4834670333539501, 0.1118716613946213, 1.1044448569405387, 26.134891644583895, 25.8755384752996, 24.360443700206822, 14.929958831144038]",7,"[0.28437035196720817, -3.469446951953614e-16, 0.3316895786280279, 2.636779683484747e-16, 0.028293083892589353, 0.09645955476612915, 0.04828079442738148]",0.7721477108966973,True,False,2.7488993012007163e-17,[]
B0/seed2/stage2/Drishti_GS/pair00,2,2,Drishti_GS,0,P4,True,13,True,ab914598180c4ebbe7be89d147f4ad457cd1e4fe7c8e0765e96d3a3a3c451467,False,"[""global_supervised"", ""sup_0"", ""sup_1"", ""sup_2"", ""sup_3"", ""sup_4"", ""sup_5"", ""old_0"", ""old_1"", ""old_2"", ""old_3"", ""old_4"", ""old_5""]",0.5583476622889981,0.3989949145998764,"[0.32145292133654224, -2.3852447794681098e-18, 0.1541895282733277, 1.7541523789077473e-14, 0.028246786959033487, 2.8907515463713516, 1.5723395085816068, -2.7321894746634712e-17, -1.196959198423997e-16, -5.134781488891349e-15, 0.05995653262606912, -4.218847493575595e-15, 0.3276189365027247]",1.39938541033518,CERTIFIED,False,"[1, 3, 7, 8, 9, 11]",7.066072597304142e-16,4350.0318229762415,,"[0.0, 0.017036341432970916, 0.0, 1.0747529090428896, 0.0, 0.0, 0.0, 0.1572814565338305, 0.1709425911642027, 0.2825093994327789, 0.0, 0.003383593031582921, 0.0]",True,0.8232637073376897,1.9984014443252818e-15,4350.0318229762415,3495,13,"[1.4834670333539501, 0.1118716613946213, 1.1044448569405387, 26.134891644583895, 25.8755384752996, 24.360443700206822, 14.929958831144038, 0.10450189182025743, 0.882900023463838, 12.218622766839811, 19.881693854397746, 5.969578899214422, 7.197378132931095]",13,"[0.2166903032619294, -2.7755575615628914e-17, 0.139608172652869, 6.574601973952099e-16, 0.001091640546379266, 0.11866580025990278, 0.1053143901041235, -2.3592239273284576e-16, -1.5439038936193583e-16, -4.0766001685454967e-16, 0.0030156652177202054, -7.042977312465837e-16, 0.045519205806865616]",0.8232637073376877,True,False,2.2701704787978482e-17,[]
B0/seed2/stage2/Drishti_GS/pair01,2,2,Drishti_GS,1,P0,False,0,True,b9a87e7cfa71af4851a85123952a4de05bee6faa42dfa61ff1b80d49979ee19e,False,[],2.638844298567246,1.0,[],2.638844298567246,RAW_IDENTITY,False,,,,,,,,,,,,,,,,,,,
B0/seed2/stage2/Drishti_GS/pair01,2,2,Drishti_GS,1,P1,False,1,True,b9a87e7cfa71af4851a85123952a4de05bee6faa42dfa61ff1b80d49979ee19e,False,"[""global_supervised""]",2.638844298567246,1.0,[6.766295760315941],2.638844298567246,CERTIFIED,False,[],0.0,1.0,,[0.0],True,-0.0,0.0,1.0,1,1,[2.603313231566168],1,[2.599109349682557],0.0,True,False,0.0,[]
B0/seed2/stage2/Drishti_GS/pair01,2,2,Drishti_GS,1,P2,False,7,True,96af2570c964d513f99492b807ba27797a04be2de6804dd78e4ce89d1780cbce,False,"[""global_supervised"", ""class_sup_0"", ""class_old_0"", ""class_sup_1"", ""class_old_1"", ""class_sup_2"", ""class_old_2""]",2.1172399431583147,0.8023360621571591,"[4.304104854841189, 0.49319369224412557, 5.204170427930421e-16, -8.881784197001252e-15, 0.2568337954213398, 13.907835839767714, 7.556667377869134]",2.638844298567246,CERTIFIED,False,"[2, 3]",1.4085814360562907e-15,233.0595241750818,,"[0.0, 0.0, 1.079776481794742, 1.5853885718970826, 0.0, 0.0, 0.0]",True,1.2403971275879218,2.886579864025407e-15,233.0595241750818,20,7,"[2.603313231566168, 0.5882469668790341, 0.48140254679485006, 25.91589746898738, 16.155646056635533, 17.71407471996999, 6.8456415857367485]",7,"[1.6533180881394798, 0.8384126396108467, 1.304512053934559e-15, -2.7755575615628914e-16, 0.0158974636186634, 0.7851291167970911, 1.1038654716621226]",1.2403971275879189,True,False,1.1086971859118751e-16,[]
