batch_id,seed,stage_index,domain,pair_index,candidate,primary,CE_before,CE_after,CE_delta,foreground_Dice_delta,FG_class_CE_deltas,FG_class_Dice_deltas
B0/seed0/stage2/Drishti_GS/pair00,0,2,Drishti_GS,0,P0,False,0.1619076320068411,0.16149914749039684,-0.000408484516444263,-0.002067477910439486,"[-0.01763102889496937, 0.024276698565878108]","[0.0006129676001006557, -0.004747923420979738]"
B0/seed0/stage2/Drishti_GS/pair00,0,2,Drishti_GS,0,P1,False,0.1619076320068411,0.16149914749039684,-0.000408484516444263,-0.002067477910439486,"[-0.01763102889496937, 0.024276698565878108]","[0.0006129676001006557, -0.004747923420979738]"
B0/seed0/stage2/Drishti_GS/pair00,0,2,Drishti_GS,0,P2,False,0.1619076320068411,0.1619836405608921,7.600855405098805e-05,0.0002733797059366605,"[0.0034359869755646866, 0.0030973042759736558]","[0.0003300547973172918, 0.00021670461455602918]"
B0/seed0/stage2/Drishti_GS/pair00,0,2,Drishti_GS,0,P3,False,0.1619076320068411,0.16231508675528772,0.0004074547484466118,-0.0001094803419217083,"[0.0049095172627556805, 0.0038741964381086014]","[-7.206718411778557e-05, -0.00014689349972552002]"
B0/seed0/stage2/Drishti_GS/pair00,0,2,Drishti_GS,0,P4,True,0.1619076320068411,0.16231508675528772,0.0004074547484466118,-0.0001094803419217083,"[0.0049095172627559025, 0.0038741964381086014]","[-7.206718411778557e-05, -0.00014689349972552002]"
B0/seed0/stage2/Drishti_GS/pair01,0,2,Drishti_GS,1,P0,False,0.1619076320068411,0.1621913019550326,0.00028366994819148394,0.0012727125184982535,"[0.004162388638800918, -0.011860016714706767]","[4.578238912011923e-05, 0.002499642647876388]"
B0/seed0/stage2/Drishti_GS/pair01,0,2,Drishti_GS,1,P1,False,0.1619076320068411,0.1621913019550326,0.00028366994819148394,0.0012727125184982535,"[0.004162388638800918, -0.011860016714706767]","[4.578238912011923e-05, 0.002499642647876388]"
B0/seed0/stage2/Drishti_GS/pair01,0,2,Drishti_GS,1,P2,False,0.1619076320068411,0.16152206073584877,-0.0003855712709923409,0.0012653178361859974,"[-0.002422565953192235, -0.004612089296774868]","[0.000780036287819641, 0.0017505993845523538]"
B0/seed0/stage2/Drishti_GS/pair01,0,2,Drishti_GS,1,P3,False,0.1619076320068411,0.16149769912328937,-0.0004099328835517335,0.001161057816521316,"[-0.0031561384519308566, -0.003859090739243176]","[0.0007744147313292205, 0.0015477009017135224]"
B0/seed0/stage2/Drishti_GS/pair01,0,2,Drishti_GS,1,P4,True,0.1619076320068411,0.1617248289931357,-0.00018280301370540708,0.0009654941652030846,"[-0.0008926793628182272, -0.0033387199235592746]","[0.0005396280348699545, 0.0013913602955363258]"
B0/seed0/stage2/Drishti_GS/pair02,0,2,Drishti_GS,2,P0,False,0.1619076320068411,0.16103655391799185,-0.0008710780888492586,-0.001371248458886254,"[-0.013094053570184894, 0.01675323121059935]","[0.000588182625246847, -0.0033306795430193548]"
B0/seed0/stage2/Drishti_GS/pair02,0,2,Drishti_GS,2,P1,False,0.1619076320068411,0.16103655391799185,-0.0008710780888492586,-0.001371248458886254,"[-0.013094053570184894, 0.01675323121059935]","[0.000588182625246847, -0.0033306795430193548]"
B0/seed0/stage2/Drishti_GS/pair02,0,2,Drishti_GS,2,P2,False,0.1619076320068411,0.16170015048386907,-0.00020748152297203615,3.714116119035715e-05,"[0.0001968394121468764, 0.0033084234327398487]","[0.0001251487095813575, -5.0866387200754204e-05]"
B0/seed0/stage2/Drishti_GS/pair02,0,2,Drishti_GS,2,P3,False,0.1619076320068411,0.16170367702527946,-0.0002039549815616437,-0.00014435408933799465,"[-0.0020854620430031945, 0.0036435062638225935]","[-3.0250448389890217e-05, -0.0002584577302862101]"
B0/seed0/stage2/Drishti_GS/pair02,0,2,Drishti_GS,2,P4,True,0.1619076320068411,0.16170367702527946,-0.0002039549815616437,-0.00014435408933799465,"[-0.0020854620430031945, 0.0036435062638225935]","[-3.0250448389890217e-05, -0.0002584577302862101]"
B0/seed0/stage2/Drishti_GS/pair03,0,2,Drishti_GS,3,P0,False,0.1619076320068411,0.16113785603652997,-0.0007697759703111373,0.0014440867429447168,"[0.006290790556713111, -0.00925197854542481]","[0.0005044153668597451, 0.0023837581190296886]"
B0/seed0/stage2/Drishti_GS/pair03,0,2,Drishti_GS,3,P1,False,0.1619076320068411,0.16113785603652997,-0.0007697759703111373,0.0014440867429447168,"[0.006290790556713111, -0.00925197854542481]","[0.0005044153668597451, 0.0023837581190296886]"
B0/seed0/stage2/Drishti_GS/pair03,0,2,Drishti_GS,3,P2,False,0.1619076320068411,0.1614357661476174,-0.00047186585922370794,0.0009313456936936859,"[-0.001505885613452218, 0.001451763589586652]","[0.0009051708955220006, 0.0009575204918653712]"
B0/seed0/stage2/Drishti_GS/pair03,0,2,Drishti_GS,3,P3,False,0.1619076320068411,0.1615810224626437,-0.00032660954419741484,0.0008996208241316417,"[-0.0015224497888197686, 0.0006961823236519837]","[0.0007089053362715481, 0.0010903363119917353]"
B0/seed0/stage2/Drishti_GS/pair03,0,2,Drishti_GS,3,P4,True,0.1619076320068411,0.16158102246264372,-0.0003266095441973871,0.0008996208241316417,"[-0.0015224497888197686, 0.0006961823236519837]","[0.0007089053362715481, 0.0010903363119917353]"
