batch_id,seed,stage_index,domain,pair_index,candidate,primary,panel,class_id,mode,pixels,old_correct_pixels,CE_delta,Dice_delta,old_KL_delta
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,previous,1,1,119769,44140,0.005910588466386368,-0.0004121939322098145,-0.004745019234167813
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,previous,2,0,26125,10279,-0.002592676526276927,0.00024940308757026575,-0.000416620908526788
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,previous,2,1,36092,10008,-0.04467738178762293,-0.0003893246948013518,-0.003624769748307166
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,current,0,0,1160289,1111266,-0.000254346224918902,1.2989929831008773e-05,4.80205338175832e-05
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,current,0,1,952668,848242,-0.00110006303001145,5.114789654969698e-05,-0.0006891333083207662
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,current,1,0,41082,8363,-0.049779311240953916,0.00015611261833159418,-0.013972163664870862
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,current,1,1,115679,55701,0.0029891996227953133,-0.00024170616864394034,-0.0010377417520843757
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,current,2,0,33508,16135,0.009964619404512653,0.0005105105958057576,0.01620735453368516
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,current,2,1,56070,16507,0.016070833002929774,-0.0015608655080501244,0.006667912375819984
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,train_labeled,0,0,1088216,1053535,-9.451848605089054e-05,2.212383913513527e-05,3.5895741768876555e-05
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,train_labeled,0,1,1047141,990719,-0.0003243593521417565,6.80998559176027e-05,-3.3799887656837946e-05
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,train_labeled,1,0,32718,8075,-0.0016035446217906313,0.00013441264296709665,-0.003133240445299057
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,train_labeled,1,1,147563,66736,0.00043154453583335584,1.4100726950072584e-05,-0.0035926537237326306
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,train_labeled,2,0,17467,7011,-0.002295309062486539,0.0010623615982803258,0.0003431885531411938
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,train_labeled,2,1,26191,8239,0.0016000870944230527,-0.0006043909653650203,-0.0002424304885731976
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,previous,0,0,957041,927068,-9.566965183585921e-05,5.761002569881768e-06,-0.00011850227551413184
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,previous,0,1,1119863,1076252,-0.00032172251374959493,1.9800549288073732e-05,0.0005826777106168191
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,previous,1,0,100406,9784,0.002288105324872447,-0.0008265032136307582,0.0014162123329715115
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,previous,1,1,119769,44140,0.008491147811875432,-0.0004121939322098145,-0.0014647172817410237
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,previous,2,0,26125,10279,-0.004375757077282438,0.00046755085230720805,-0.0004439241406558603
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,previous,2,1,36092,10008,-0.03833601508653128,-3.706725368757269e-05,4.808093762798116e-05
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,current,0,0,1160289,1111266,-0.00014763555507841392,9.958976316837287e-06,6.875623089230842e-05
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,current,0,1,952668,848242,-0.0004982422694002064,2.1536586085724174e-05,-0.0009581547504378118
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,current,1,0,41082,8363,-0.034776641277845854,8.921161954356105e-05,-0.00950929614301943
