batch_id,unit_id,supported_FG_mode_indices,P2_worst_previous_mode_delta,P4_worst_previous_mode_delta,improvement,max_new_mode_worsening
B0/seed2/stage1/RIM_ONE_r3/pair00,seed2_stage1,"[2, 3, 4, 5]",0.01875160196922998,0.01754582744815103,0.0012057745210789506,-0.00011432670261246614
B0/seed2/stage1/RIM_ONE_r3/pair01,seed2_stage1,"[2, 3, 4, 5]",0.01406860578236202,0.014313684153552941,-0.000245078371190921,0.000245078371190921
B0/seed2/stage1/RIM_ONE_r3/pair02,seed2_stage1,"[2, 3, 4, 5]",0.012437345615548878,0.010917925220152114,0.0015194203953967644,-0.0008604763495778656
B0/seed2/stage1/RIM_ONE_r3/pair03,seed2_stage1,"[2, 3, 4, 5]",0.007844169313202087,0.008068070695253837,-0.00022390138205174992,0.00022390138205174992
B0/seed2/stage1/RIM_ONE_r3/pair04,seed2_stage1,"[2, 3, 4, 5]",-0.0032445068766291385,-0.0013478099304169433,-0.0018966969462121952,0.0022035180413793043
B0/seed2/stage1/RIM_ONE_r3/pair05,seed2_stage1,"[2, 3, 4, 5]",-0.009259412229546626,-0.010831231840845668,0.0015718196112990412,-0.001518651877021604
B0/seed2/stage1/RIM_ONE_r3/pair06,seed2_stage1,"[2, 3, 4, 5]",0.03232349686055702,0.031292311757496805,0.001031185103060217,0.00037723981774018256
B0/seed2/stage1/RIM_ONE_r3/pair07,seed2_stage1,"[2, 3, 4, 5]",0.0034710669121924553,0.0011406445576822577,0.0023304223545101976,-5.78907959809527e-05
B0/seed2/stage2/Drishti_GS/pair00,seed2_stage2,"[2, 3, 4, 5]",0.0021166365112017527,0.003110586374979629,-0.0009939498637778765,0.0014405929373770832
B0/seed2/stage2/Drishti_GS/pair01,seed2_stage2,"[2, 3, 4, 5]",0.0036434091616648345,0.004606530268387532,-0.0009631211067226975,0.0010924264800886707
B0/seed2/stage2/Drishti_GS/pair02,seed2_stage2,"[2, 3, 4, 5]",0.003658150214009448,0.003956654870588383,-0.0002985046565789351,0.0002985046565789351
B0/seed2/stage2/Drishti_GS/pair03,seed2_stage2,"[2, 3, 4, 5]",0.010498721750932472,0.01066575848326723,-0.0001670367323347577,0.0001670367323347577
B0/seed2/stage2/Drishti_GS/pair04,seed2_stage2,"[2, 3, 4, 5]",0.004228617248743405,0.004128585541884278,0.00010003170685912721,1.3800857993059856e-05
B0/seed2/stage2/Drishti_GS/pair05,seed2_stage2,"[2, 3, 4, 5]",0.010161929534486802,0.010349787765342011,-0.00018785823085520903,0.00018785823085520903
B0/seed2/stage2/Drishti_GS/pair06,seed2_stage2,"[2, 3, 4, 5]",0.001436540684778831,0.0014415657347305877,-5.025049951756788e-06,5.728778739298723e-06
B0/seed2/stage2/Drishti_GS/pair07,seed2_stage2,"[2, 3, 4, 5]",0.0035587265307374105,0.003502705296539621,5.602123419778948e-05,0.0002153157690143459
