seed,variant,trained_through_site,trained_through_site_index,evaluation_site,class,boundary_candidate_count,interior_candidate_count,boundary_admission_rate,interior_admission_rate,boundary_coverage_ratio,jsd_boundary_interior,jsd_component_size_quartile,jsd_patient,jsd_learnability_decile
1,R0,RIM_ONE_r3,1,RIM_ONE_r3,2,1217,8879,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,Drishti_GS,2,Drishti_GS,1,4752,19097,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,Drishti_GS,2,Drishti_GS,2,1376,15457,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,Drishti_GS,2,REFUGE,1,14040,70217,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,Drishti_GS,2,REFUGE,2,5695,30762,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,Drishti_GS,2,RIM_ONE_r3,1,8513,20443,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,Drishti_GS,2,RIM_ONE_r3,2,3186,12452,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R1,REFUGE,0,Drishti_GS,1,4460,15474,0.724439461883408,0.8339149541165827,0.8687210348096602,0.0002976225097582764,0.00012898307058391918,3.2012216008983286e-08,0.055162585920194664
1,R1,REFUGE,0,Drishti_GS,2,446,8087,0.7017937219730942,0.8172375417336466,0.8587389664996842,0.00034881236124718754,0.000248804991551179,4.429596260570948e-07,0.04320326599483865
1,R1,REFUGE,0,REFUGE,1,19080,94236,0.535901467505241,0.8863597775796935,0.6046094160190585,0.004641354139987015,0.0023156617307839816,2.5167165927021226e-08,0.06514112542012801
1,R1,REFUGE,0,REFUGE,2,4289,29819,0.5131732338540452,0.8734363996109863,0.5875336018542436,0.0060123521265105255,0.003777917853865377,2.870047294497233e-07,0.0527318387096167
1,R1,REFUGE,0,RIM_ONE_r3,1,8155,26030,0.745800122624157,0.891893968497887,0.8361981905542215,0.0020690985474796954,0.0015674150223312284,2.6804648548437026e-08,0.06017088955329534
1,R1,REFUGE,0,RIM_ONE_r3,2,1399,8607,0.7283774124374554,0.8440803996746834,0.8629242104403548,0.0010962409294019773,0.0009043206458739428,0.0001457838908026893,0.03798406095078268
1,R1,RIM_ONE_r3,1,Drishti_GS,1,2452,7834,0.8258564437194127,0.7974214960428899,1.0356586169517976,1.8636411060509567e-05,1.7303227936990334e-05,2.5405473976613247e-07,0.046546309207048546
1,R1,RIM_ONE_r3,1,Drishti_GS,2,347,7734,0.6685878962536023,0.8118696664080682,0.8235162907509731,0.00020656212937750782,9.453315552657953e-05,5.096738332592554e-07,0.045995410975039355
1,R1,RIM_ONE_r3,1,REFUGE,1,11521,66064,0.7869976564534329,0.7917928069750545,0.9939439327064098,9.564649970665454e-05,9.785808780525377e-05,4.738906249945985e-08,0.05342126369267086
1,R1,RIM_ONE_r3,1,REFUGE,2,2220,21240,0.5184684684684685,0.8511299435028249,0.6091531292327841,0.004275789622429402,0.002523149254957395,7.581409871079646e-07,0.0485136688041152
1,R1,RIM_ONE_r3,1,RIM_ONE_r3,1,5164,24828,0.6216111541440743,0.8610037054937973,0.7219610672727266,0.0016456577241529182,0.0006370143010814401,0.00011474561671366115,0.052573389009512014
1,R1,RIM_ONE_r3,1,RIM_ONE_r3,2,1311,9242,0.7032799389778794,0.8489504436269206,0.8284110624564824,0.0013015595911529745,0.0011917070925426079,3.968038255608067e-06,0.048326276778571375
1,R1,Drishti_GS,2,Drishti_GS,1,5222,19798,0.6499425507468403,0.8763511465804626,0.7416462605006308,0.0024531975443185883,0.001617814031091658,4.5495895204164867e-08,0.0556091985118168
1,R1,Drishti_GS,2,Drishti_GS,2,1603,15165,0.6494073611977542,0.8539399934058688,0.7604836009701886,0.0023210105060019054,0.0019488512025735891,1.0599140490982696e-07,0.05146098792929825
1,R1,Drishti_GS,2,REFUGE,1,11280,64820,0.6421099290780142,0.8562789262573279,0.7498840732710594,0.0018301370269688212,0.0011512463136697276,7.375643641700108e-08,0.05176058536057089
1,R1,Drishti_GS,2,REFUGE,2,7669,33311,0.7547268222714826,0.9182852511182492,0.821887122059739,0.005072504794089851,0.005041019162802139,1.4454582319833186e-07,0.0514589638195096
1,R1,Drishti_GS,2,RIM_ONE_r3,1,8281,21193,0.8433764038159642,0.8594347190109942,0.9813152589256467,0.0010270750927561193,0.0007721208181424388,5.3775766534478176e-08,0.055145502728915566
1,R1,Drishti_GS,2,RIM_ONE_r3,2,2687,11366,0.7874953479717157,0.9018124230160127,0.8732363048825873,0.0026524350414030735,0.00263352941237952,1.8779542841843434e-07,0.0513001640703803
2,R0,REFUGE,0,Drishti_GS,1,5244,15758,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,REFUGE,0,Drishti_GS,2,509,12720,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,REFUGE,0,REFUGE,1,14499,86388,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,REFUGE,0,REFUGE,2,5340,31331,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,REFUGE,0,RIM_ONE_r3,1,6697,15499,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,REFUGE,0,RIM_ONE_r3,2,3545,10891,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,RIM_ONE_r3,1,Drishti_GS,1,3560,10446,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,RIM_ONE_r3,1,Drishti_GS,2,201,9900,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,RIM_ONE_r3,1,REFUGE,1,8895,65101,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,RIM_ONE_r3,1,REFUGE,2,3917,26812,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,RIM_ONE_r3,1,RIM_ONE_r3,1,5140,24315,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,RIM_ONE_r3,1,RIM_ONE_r3,2,1706,7948,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,Drishti_GS,2,Drishti_GS,1,5244,16141,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,Drishti_GS,2,Drishti_GS,2,1043,17725,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,Drishti_GS,2,REFUGE,1,11289,71439,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,Drishti_GS,2,REFUGE,2,3804,25733,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,Drishti_GS,2,RIM_ONE_r3,1,6733,18357,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R0,Drishti_GS,2,RIM_ONE_r3,2,3217,11105,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,R1,REFUGE,0,Drishti_GS,1,5008,14058,0.7607827476038339,0.8579456537203016,0.886749346307495,0.0005718295485988446,0.00037165561645684914,3.694318182377624e-08,0.05132108496655313
2,R1,REFUGE,0,Drishti_GS,2,332,12308,0.41566265060240964,0.8193857653558662,0.5072856622324697,0.002200740807443489,0.0014244492631727264,0.0001967057115036552,0.043042530826336835
2,R1,REFUGE,0,REFUGE,1,14476,86628,0.5647969052224371,0.8676409474996537,0.6509569503952699,0.003943394183257419,0.002479245277531345,3.5949072884812386e-08,0.05969929742093787
2,R1,REFUGE,0,REFUGE,2,5495,31038,0.5623293903548681,0.8951607706682132,0.6281881520959687,0.0074390288327758555,0.005376717513123979,3.4295559068884445e-07,0.04031845638529721
2,R1,REFUGE,0,RIM_ONE_r3,1,6946,17888,0.8357327958537287,0.8280970483005367,1.009220836578107,0.00027625007820644264,0.0001804265089745522,4.6118150905721377e-08,0.05225456492646756
2,R1,REFUGE,0,RIM_ONE_r3,2,3536,11271,0.858314479638009,0.9350545648123503,0.9179298320523769,0.0033037099628282565,0.0028860237733216907,3.1263189819230194e-05,0.0502715867625405
2,R1,RIM_ONE_r3,1,Drishti_GS,1,3827,10012,0.8097726678860726,0.7886536156612065,1.0267786158656738,1.649046669816186e-05,5.639516285605123e-05,2.604272067007189e-08,0.05226098835910559
2,R1,RIM_ONE_r3,1,Drishti_GS,2,117,8166,0.4017094017094017,0.8082292432035268,0.497024087024087,0.0007833362283242594,0.00034482113636177884,1.5754621773517532e-06,0.035099219921547783
2,R1,RIM_ONE_r3,1,REFUGE,1,11978,68255,0.7379362163967274,0.8262251849681342,0.8931417606511087,0.0003381973737993835,0.00020479534296204504,4.5461418597560827e-08,0.040048615964465434
2,R1,RIM_ONE_r3,1,REFUGE,2,3073,23196,0.6609176700292874,0.8613985169856871,0.7672612118512262,0.002953292171378099,0.0025526730454280295,0.00030339224379246434,0.018411456851533517
2,R1,RIM_ONE_r3,1,RIM_ONE_r3,1,5237,25595,0.6368149704029025,0.8669662043367845,0.7345326348563447,0.0019784330688299616,0.0012563383202106055,3.635374290890235e-08,0.0460641420057587
2,R1,RIM_ONE_r3,1,RIM_ONE_r3,2,1675,8632,0.7116417910447761,0.8557692307692307,0.8315814187489519,0.0011723108547225568,0.0009248993391926994,4.494170788845652e-07,0.026827439322518944
2,R1,Drishti_GS,2,Drishti_GS,1,5360,16730,0.7421641791044776,0.872922893006575,0.8502058830743571,0.0013630310486891783,0.0009949458678605873,3.390747375009607e-08,0.052294312305074676
2,R1,Drishti_GS,2,Drishti_GS,2,1102,17439,0.5662431941923775,0.8376627100177763,0.6759799468456237,0.0020704539042282477,0.0016518335776411557,9.656648016933232e-05,0.047929257448981785
2,R1,Drishti_GS,2,REFUGE,1,12389,70987,0.675599321979175,0.8536210855508755,0.7914510705217457,0.0016013955313341202,0.0012278484157144298,4.791982021062819e-08,0.04463887929140337
2,R1,Drishti_GS,2,REFUGE,2,5371,29565,0.6892571215788493,0.8729578893962455,0.7895651439218366,0.0026766238653074988,0.0025237416434725707,0.0002804957452363886,0.039163470058655774
2,R1,Drishti_GS,2,RIM_ONE_r3,1,7290,20523,0.8421124828532236,0.80670467280612,1.0438919114276821,0.00012751922367974919,4.52879224232209e-05,4.106699265309864e-08,0.04802488713951454
2,R1,Drishti_GS,2,RIM_ONE_r3,2,2832,10809,0.7997881355932204,0.9088722360995467,0.8799786194653012,0.0026500316581633612,0.0024877529714051744,2.5592686072002332e-05,0.047432220133398345
