seed,variant,trained_through_site_index,trained_through_site,class,k,candidate_count,overall_admission_rate,objective,mode_jsd,smallest_cluster,largest_cluster,smallest_cluster_admission_rate,largest_cluster_admission_rate,smallest_cluster_retention_ratio,criterion_jsd,criterion_admission_gap,criterion_retention,mode_coverage_problem,cluster,cluster_occupancy,candidate_proportion,admitted_proportion,deferred_proportion,cluster_accuracy,cluster_admission_rate,smallest_cluster_retention,cluster_to_anchor_cosine,site_origin_composition,boundary_composition
0,R0,2,Drishti_GS,2,4,79742,1.0,4132.666918754578,0.0,3,0,1.0,1.0,1.0,False,False,False,False,2,18105,0.22704471921948283,0.22704471921948283,nan,0.8689312344656173,1.0,1.0,0.9562234878540039,"{""Drishti_GS"": 0.18006075669704502, ""REFUGE"": 0.7742612537972936, ""RIM_ONE_r3"": 0.04567798950566142}",0.0864402098867716
0,R0,2,Drishti_GS,2,4,79742,1.0,4132.666918754578,0.0,3,0,1.0,1.0,1.0,False,False,False,False,3,13605,0.17061272604148378,0.17061272604148378,nan,0.6937155457552371,1.0,1.0,0.8905103802680969,"{""Drishti_GS"": 0.11179713340683572, ""REFUGE"": 0.6632120543917678, ""RIM_ONE_r3"": 0.22499081220139655}",0.14465270121278942
0,R1,0,REFUGE,1,4,199061,0.8005284812193247,8971.52988654375,0.006045567545503836,1,2,0.63776879180681,0.9817704553152369,0.7966846986323243,False,True,False,True,0,61630,0.3096035888496491,0.231999196756906,0.6210491852821921,0.49464546487100436,0.5998701930877819,0.63776879180681,0.8568993806838989,"{""Drishti_GS"": 0.22829790686354048, ""REFUGE"": 0.45995456758072367, ""RIM_ONE_r3"": 0.3117475255557358}",0.19368813889339606
0,R1,0,REFUGE,1,4,199061,0.8005284812193247,8971.52988654375,0.006045567545503836,1,2,0.63776879180681,0.9817704553152369,0.7966846986323243,False,True,False,True,1,26461,0.13292910213452158,0.10590258167350679,0.24139320522829727,0.6405653603416348,0.63776879180681,0.63776879180681,0.9037379026412964,"{""Drishti_GS"": 0.1888061675673633, ""REFUGE"": 0.4904576546615774, ""RIM_ONE_r3"": 0.3207361777710593}",0.16458183742111032
0,R1,0,REFUGE,1,4,199061,0.8005284812193247,8971.52988654375,0.006045567545503836,1,2,0.63776879180681,0.9817704553152369,0.7966846986323243,False,True,False,True,2,82668,0.41528978554312496,0.5093125996209696,0.03795300576724507,0.7836526830212416,0.9817704553152369,0.63776879180681,0.9970496892929077,"{""Drishti_GS"": 0.12499395171045628, ""REFUGE"": 0.7027144723472202, ""RIM_ONE_r3"": 0.1722915759423235}",0.08326075385880873
0,R1,0,REFUGE,1,4,199061,0.8005284812193247,8971.52988654375,0.006045567545503836,1,2,0.63776879180681,0.9817704553152369,0.7966846986323243,False,True,False,True,3,28302,0.14217752347270435,0.15278562194861756,0.0996046037222656,0.7707582503003322,0.8602572256377641,0.63776879180681,0.9174094796180725,"{""Drishti_GS"": 0.10200692530563212, ""REFUGE"": 0.7740795703483853, ""RIM_ONE_r3"": 0.12391350434598261}",0.10257225637764116
0,R1,0,REFUGE,2,4,73679,0.8013409519673177,5824.472320854664,0.004652664841468169,1,2,0.5652109657873347,0.9607326007326007,0.7053314377603237,False,True,False,True,0,15014,0.20377583843428929,0.21571084990345857,0.15563298490127758,0.6804982016784334,0.8482749433861729,0.5652109657873347,0.8965466022491455,"{""Drishti_GS"": 0.10157186625815905, ""REFUGE"": 0.39230051951511924, ""RIM_ONE_r3"": 0.5061276142267217}",0.1383375516184894
0,R1,0,REFUGE,2,4,73679,0.8013409519673177,5824.472320854664,0.004652664841468169,1,2,0.5652109657873347,0.9607326007326007,0.7053314377603237,False,True,False,True,1,13533,0.18367513131285712,0.12955184444971377,0.4019949443191911,0.6947461760141875,0.5652109657873347,0.5652109657873347,0.8827634453773499,"{""Drishti_GS"": 0.1456439813788517, ""REFUGE"": 0.6667405601123181, ""RIM_ONE_r3"": 0.18761545850883027}",0.18310795832409665
0,R1,0,REFUGE,2,4,73679,0.8013409519673177,5824.472320854664,0.004652664841468169,1,2,0.5652109657873347,0.9607326007326007,0.7053314377603237,False,True,False,True,2,27300,0.3705262014956772,0.4442261441008096,0.07323905171824828,0.9092307692307692,0.9607326007326007,0.5652109657873347,0.9544260501861572,"{""Drishti_GS"": 0.125018315018315, ""REFUGE"": 0.6635897435897435, ""RIM_ONE_r3"": 0.2113919413919414}",0.05315018315018315
0,R1,0,REFUGE,2,4,73679,0.8013409519673177,5824.472320854664,0.004652664841468169,1,2,0.5652109657873347,0.9607326007326007,0.7053314377603237,False,True,False,True,3,17832,0.2420228287571764,0.2105111615460181,0.36913301906128304,0.6667788245850157,0.6970053835800808,0.5652109657873347,0.9060202836990356,"{""Drishti_GS"": 0.27265589950650515, ""REFUGE"": 0.37668236877523553, ""RIM_ONE_r3"": 0.3506617317182593}",0.12208389412292509
0,R1,1,RIM_ONE_r3,1,4,163825,0.8006104074469709,6243.980629682541,0.00247433130002281,1,3,0.9023195034302516,0.6696029664465949,1.1270394377055577,False,False,False,False,0,35101,0.21425911796123912,0.20298109179627935,0.25954385427827953,0.6972735819492322,0.7584684197031424,0.9023195034302516,0.9301350116729736,"{""Drishti_GS"": 0.28759864391327883, ""REFUGE"": 0.3477963590780889, ""RIM_ONE_r3"": 0.36460499700863225}",0.14925500697985813
0,R1,1,RIM_ONE_r3,1,4,163825,0.8006104074469709,6243.980629682541,0.00247433130002281,1,3,0.9023195034302516,0.6696029664465949,1.1270394377055577,False,False,False,False,1,33671,0.20553029146955593,0.2316407441293077,0.10068881065360477,0.6762198924890855,0.9023195034302516,0.9023195034302516,0.9212546348571777,"{""Drishti_GS"": 0.17210656054171244, ""REFUGE"": 0.5641353093166226, ""RIM_ONE_r3"": 0.26375813014166494}",0.14739686970983934
0,R1,1,RIM_ONE_r3,1,4,163825,0.8006104074469709,6243.980629682541,0.00247433130002281,1,3,0.9023195034302516,0.6696029664465949,1.1270394377055577,False,False,False,False,2,39768,0.24274683351136883,0.2831351021652943,0.08057553956834532,0.7372259102796218,0.9338161335747335,0.9023195034302516,0.9701995849609375,"{""Drishti_GS"": 0.13613960973647155, ""REFUGE"": 0.6743361496680749, ""RIM_ONE_r3"": 0.18952424059545364}",0.11421243210621605
0,R1,1,RIM_ONE_r3,1,4,163825,0.8006104074469709,6243.980629682541,0.00247433130002281,1,3,0.9023195034302516,0.6696029664465949,1.1270394377055577,False,False,False,False,3,55285,0.3374637570578361,0.28224306190911863,0.5591917954997704,0.8159175183141901,0.6696029664465949,0.9023195034302516,0.9564285278320312,"{""Drishti_GS"": 0.16282897711856742, ""REFUGE"": 0.6684634168400109, ""RIM_ONE_r3"": 0.16870760604142174}",0.07468571945373971
0,R1,1,RIM_ONE_r3,2,4,51150,0.8018572825024438,2428.8738666772842,0.00403173824173207,3,0,0.6490025485543545,0.9392408519934462,0.8093741401573871,False,True,False,True,0,14648,0.28637341153470186,0.33543825429720836,0.08781450419338925,0.9671627525942108,0.9392408519934462,0.6490025485543545,0.9678556323051453,"{""Drishti_GS"": 0.09004642271982523, ""REFUGE"": 0.7300655379574004, ""RIM_ONE_r3"": 0.17988803932277445}",0.05079191698525396
0,R1,1,RIM_ONE_r3,2,4,51150,0.8018572825024438,2428.8738666772842,0.00403173824173207,3,0,0.6490025485543545,0.9392408519934462,0.8093741401573871,False,True,False,True,1,13489,0.2637145650048876,0.30266975496769477,0.10606808090774544,0.9547779672325598,0.9203054340573801,0.6490025485543545,0.7941073179244995,"{""Drishti_GS"": 0.2575431833345689, ""REFUGE"": 0.5190154941063089, ""RIM_ONE_r3"": 0.22344132255912225}",0.023871302542812663
0,R1,1,RIM_ONE_r3,2,4,51150,0.8018572825024438,2428.8738666772842,0.00403173824173207,3,0,0.6490025485543545,0.9392408519934462,0.8093741401573871,False,True,False,True,2,11634,0.22744868035190616,0.18183591369011337,0.4120374938332511,0.8468282619907168,0.6410520887055183,0.6490025485543545,0.9209760427474976,"{""Drishti_GS"": 0.1350352415334365, ""REFUGE"": 0.5704830668729586, ""RIM_ONE_r3"": 0.29448169159360493}",0.15368746776689016
0,R1,1,RIM_ONE_r3,2,4,51150,0.8018572825024438,2428.8738666772842,0.00403173824173207,3,0,0.6490025485543545,0.9392408519934462,0.8093741401573871,False,True,False,True,3,11379,0.2224633431085044,0.18005607704498355,0.3940799210656142,0.8441866596361719,0.6490025485543545,0.6490025485543545,0.9634552597999573,"{""Drishti_GS"": 0.13278846998857544, ""REFUGE"": 0.5689427893488004, ""RIM_ONE_r3"": 0.29826874066262415}",0.14544336057650056
0,R1,2,Drishti_GS,1,4,154116,0.8006501596200265,4527.871999025345,0.0009317750347546915,2,1,0.8313908666273638,0.8153695458593054,1.03839468042063,False,False,False,False,0,30321,0.19674141555711283,0.22001248044864782,0.10327767470624613,0.6944361993337951,0.8953530556380067,0.8313908666273638,0.9902641773223877,"{""Drishti_GS"": 0.21295471785231357, ""REFUGE"": 0.6894231720589691, ""RIM_ONE_r3"": 0.09762211008871739}",0.09745720787572969
0,R1,2,Drishti_GS,1,4,154116,0.8006501596200265,4527.871999025345,0.0009317750347546915,2,1,0.8313908666273638,0.8153695458593054,1.03839468042063,False,False,False,False,1,56150,0.3643359547353941,0.371034013274659,0.3374344953292322,0.6489581478183437,0.8153695458593054,0.8313908666273638,0.8547477126121521,"{""Drishti_GS"": 0.19634906500445237, ""REFUGE"": 0.5107034728406055, ""RIM_ONE_r3"": 0.2929474621549421}",0.1417987533392698
0,R1,2,Drishti_GS,1,4,154116,0.8006501596200265,4527.871999025345,0.0009317750347546915,2,1,0.8313908666273638,0.8153695458593054,1.03839468042063,False,False,False,False,2,22051,0.14308053673856055,0.14857406822104982,0.12101682778374508,0.8030928302571312,0.8313908666273638,0.8313908666273638,0.8999791741371155,"{""Drishti_GS"": 0.2647045485465512, ""REFUGE"": 0.6817831390866628, ""RIM_ONE_r3"": 0.05351231236678609}",0.10856650492041177
0,R1,2,Drishti_GS,1,4,154116,0.8006501596200265,4527.871999025345,0.0009317750347546915,2,1,0.8313908666273638,0.8153695458593054,1.03839468042063,False,False,False,False,3,45594,0.2958420929689325,0.26037943805564334,0.43827100218077664,0.751414659823661,0.7046760538667368,0.8313908666273638,0.8990861177444458,"{""Drishti_GS"": 0.14317673378076062, ""REFUGE"": 0.5646137649690749, ""RIM_ONE_r3"": 0.2922095012501645}",0.11913848313374567
0,R1,2,Drishti_GS,2,4,83711,0.8011253001397666,3307.056234896183,0.003133017582764342,0,2,0.6219452828351669,0.7236344511507926,0.7763395847399409,False,False,False,False,0,10271,0.12269594199089726,0.09525371665448906,0.23324123017779913,0.4386135721935547,0.6219452828351669,0.6219452828351669,0.8840238451957703,"{""Drishti_GS"": 0.26852302599552136, ""REFUGE"": 0.6865933210008762, ""RIM_ONE_r3"": 0.04488365300360238}",0.1551942361990069
0,R1,2,Drishti_GS,2,4,83711,0.8011253001397666,3307.056234896183,0.003133017582764342,0,2,0.6219452828351669,0.7236344511507926,0.7763395847399409,False,False,False,False,1,16498,0.19708282065678345,0.22170198171868244,0.09790965881787603,0.8837434840586738,0.9012001454721784,0.6219452828351669,0.7992709279060364,"{""Drishti_GS"": 0.3291308037337859, ""REFUGE"": 0.41180749181718995, ""RIM_ONE_r3"": 0.2590617044490241}",0.05540065462480301
0,R1,2,Drishti_GS,2,4,83711,0.8011253001397666,3307.056234896183,0.003133017582764342,0,2,0.6219452828351669,0.7236344511507926,0.7763395847399409,False,False,False,False,2,39929,0.4769862980970243,0.43084860504301925,0.6628423834694859,0.688647349044554,0.7236344511507926,0.6219452828351669,0.9047927856445312,"{""Drishti_GS"": 0.14290365398582483, ""REFUGE"": 0.5694858373613163, ""RIM_ONE_r3"": 0.2876105086528588}",0.14723634451150794
0,R1,2,Drishti_GS,2,4,83711,0.8011253001397666,3307.056234896183,0.003133017582764342,0,2,0.6219452828351669,0.7236344511507926,0.7763395847399409,False,False,False,False,3,17013,0.203234939255295,0.25219569658380925,0.006006727534839019,0.8585787339093635,0.9941221418914947,0.6219452828351669,0.9643162488937378,"{""Drishti_GS"": 0.11514724034561806, ""REFUGE"": 0.8017986245812027, ""RIM_ONE_r3"": 0.08305413507317934}",0.11044495385881385
1,R0,0,REFUGE,1,4,214943,1.0,6351.345652043819,0.0,2,0,1.0,1.0,1.0,False,False,False,False,0,72143,0.33563782025932454,0.33563782025932454,nan,0.7867429965485216,1.0,1.0,0.9812907576560974,"{""Drishti_GS"": 0.2082946370403227, ""REFUGE"": 0.5249989603980982, ""RIM_ONE_r3"": 0.26670640256157907}",0.13643735358939885
1,R0,0,REFUGE,1,4,214943,1.0,6351.345652043819,0.0,2,0,1.0,1.0,1.0,False,False,False,False,1,42003,0.19541459828884866,0.19541459828884866,nan,0.5992191033973764,1.0,1.0,0.8095725774765015,"{""Drishti_GS"": 0.1863438325833869, ""REFUGE"": 0.5580077613503798, ""RIM_ONE_r3"": 0.25564840606623335}",0.29905006785229626
