seed,variant,trained_through_site,trained_through_site_index,evaluation_site,class,region,state,count,correct_count,pseudo_label_accuracy,precision,correct_candidate_recall,coverage_within_candidate,patient_coverage,image_coverage,boundary_distance_mean,boundary_distance_q25,boundary_distance_q50,boundary_distance_q75,component_size_mean,component_size_q50,learnability_mean,logit_margin_mean,anchor_margin_mean,spatial_consistency_mean
1,R1,REFUGE,0,RIM_ONE_r3,1,interior,admitted,23216,23216,1.0,1.0,0.891893968497887,0.891893968497887,0.9838709677419355,0.9838709677419355,11.595637558689207,7.1238861083984375,10.988632202148438,15.452624797821045,11518.077661957272,11591.0,0.690189878811237,8.812258790908889,0.9903937061679909,0.9954913073520386
1,R1,REFUGE,0,RIM_ONE_r3,1,interior,deferred,2814,2814,1.0,1.0,0.10810603150211294,0.10810603150211294,0.9838709677419355,0.9838709677419355,10.041586847024009,5.679208278656006,8.874147415161133,13.5,11560.648898365316,11600.0,0.2566062024309331,4.067905388708943,0.8384366794393345,0.8817313292090911
1,R1,REFUGE,0,RIM_ONE_r3,1,exterior_near_boundary,candidate,3427,725,0.21155529617741464,0.21155529617741464,1.0,1.0,1.0,1.0,-1.8942792660507546,-2.5,-2.1196770668029785,-1.5,2178.0595272833384,0.0,0.5259124484937177,6.9424186421877305,0.9495487793701747,0.950884085443161
1,R1,REFUGE,0,RIM_ONE_r3,1,exterior_near_boundary,admitted,2375,436,0.18357894736842106,0.18357894736842106,0.6013793103448276,0.6930259702363584,1.0,1.0,-1.8664576499336645,-2.5,-1.6625703573226929,-1.3535534143447876,1846.6505263157894,0.0,0.6533224284397928,8.25941011489065,0.9870440800064488,0.9890776945164329
1,R1,REFUGE,0,RIM_ONE_r3,1,exterior_near_boundary,deferred,1052,289,0.2747148288973384,0.2747148288973384,0.3986206896551724,0.3069740297636417,0.967741935483871,0.967741935483871,-1.9570894735394322,-2.5,-2.1196770668029785,-1.5,2926.25,0.0,0.23827109642914662,3.9691726843270514,0.8648992175725023,0.8646580193319248
1,R1,REFUGE,0,RIM_ONE_r3,1,exterior_far,candidate,14955,0,0.0,0.0,nan,1.0,1.0,1.0,-47.740250464977926,-90.60766983032227,-14.5,-6.538457870483398,0.0,0.0,0.5176135487653956,6.543305026268289,0.941455992467425,0.9446545784467839
1,R1,REFUGE,0,RIM_ONE_r3,1,exterior_far,admitted,10040,0,0.0,0.0,nan,0.6713473754597125,1.0,1.0,-53.31500704089009,-99.06689643859863,-19.04599952697754,-7.1238861083984375,0.0,0.0,0.6604327795989959,7.9723052159961005,0.984822235716529,0.9888526845975701
1,R1,REFUGE,0,RIM_ONE_r3,1,exterior_far,deferred,4915,0,0.0,0.0,nan,0.32865262454028754,1.0,1.0,-36.352548324152266,-38.50324630737305,-10.5,-6.363900184631348,0.0,0.0,0.22587294295271015,3.6242486875364035,0.8528706247724085,0.854369942484649
1,R1,REFUGE,0,RIM_ONE_r3,2,all,candidate,11810,9369,0.7933107535986452,0.7933107535986452,1.0,1.0,1.0,1.0,12.305201057656957,2.457106828689575,12.031220436096191,23.167865753173828,4436.628535139712,3924.0,0.5662800065181427,6.297356744899172,0.955934676941828,0.9652715109799698
1,R1,REFUGE,0,RIM_ONE_r3,2,all,admitted,9464,7797,0.8238588334742181,0.8238588334742181,0.8322126160742875,0.801354784081287,1.0,1.0,14.032385321423751,3.8407676219940186,13.656668663024902,24.55097007751465,4516.323013524937,4182.0,0.65139385570228,7.112396776619495,0.9828895951951094,0.988875544666992
1,R1,REFUGE,0,RIM_ONE_r3,2,all,deferred,2346,1572,0.670076726342711,0.670076726342711,0.16778738392571246,0.19864521591871295,1.0,1.0,5.33756598848008,-3.8407676219940186,5.722875595092773,16.5,4115.132992327366,3866.0,0.22292217673183612,3.0094032665525656,0.8471958251306366,0.8700504645971996
1,R1,REFUGE,0,RIM_ONE_r3,2,boundary,candidate,1399,762,0.544674767691208,0.544674767691208,1.0,1.0,1.0,1.0,0.1337101485066281,-1.6625703573226929,0.0,2.1196770668029785,1591.8620443173695,1282.0,0.5063405027047194,5.923195514298064,0.9421421090690811,0.9407633849771811
1,R1,REFUGE,0,RIM_ONE_r3,2,boundary,admitted,1019,532,0.5220804710500491,0.5220804710500491,0.6981627296587927,0.7283774124374554,0.9387755102040817,0.9387755102040817,0.17868795631210282,-1.5161237716674805,0.0,2.1196770668029785,1368.2100098135427,1003.0,0.6168986383215017,7.017997223097864,0.973640319848318,0.9767848380180524
1,R1,REFUGE,0,RIM_ONE_r3,2,boundary,deferred,380,230,0.6052631578947368,0.6052631578947368,0.30183727034120733,0.27162258756254465,0.9387755102040817,0.9387755102040817,0.013098605996684025,-1.6625703573226929,0.0,1.6625703573226929,2191.6026315789472,2372.0,0.2098701337744531,2.9873983004375506,0.8576771701637067,0.8441690148491608
1,R1,REFUGE,0,RIM_ONE_r3,2,interior,candidate,8607,8607,1.0,1.0,1.0,1.0,1.0,1.0,19.7042268786514,10.404796600341797,17.684743881225586,27.06935691833496,5828.926222841873,4863.0,0.5962082233273018,6.501433221692336,0.9666050330879548,0.9784943177903088
1,R1,REFUGE,0,RIM_ONE_r3,2,interior,admitted,7265,7265,1.0,1.0,0.8440803996746834,0.8440803996746834,1.0,1.0,20.269954624228532,10.618404388427734,18.419208526611328,27.90609359741211,5691.434962147281,4805.0,0.6629974856613754,7.158421850393168,0.986579758683649,0.9936165323031007
1,R1,REFUGE,0,RIM_ONE_r3,2,interior,deferred,1342,1342,1.0,1.0,0.1559196003253166,0.1559196003253166,0.95,0.95,16.641624738846733,8.291576385498047,14.534496307373047,22.64261531829834,6573.243666169896,5470.0,0.23464042090029413,2.9447846467955103,0.8584706206790736,0.8966292742467673
1,R1,REFUGE,0,RIM_ONE_r3,2,exterior_near_boundary,candidate,587,132,0.22487223168654175,0.22487223168654175,1.0,1.0,1.0,1.0,-1.9055830526595627,-2.5,-2.1196770668029785,-1.5,597.8126064735945,0.0,0.4857443970781981,5.795023368306623,0.9306431621871571,0.931428469527113
1,R1,REFUGE,0,RIM_ONE_r3,2,exterior_near_boundary,admitted,419,88,0.2100238663484487,0.2100238663484487,0.6666666666666666,0.7137989778534923,0.9772727272727273,0.9772727272727273,-1.9048203431905597,-2.5,-2.1196770668029785,-1.5,467.25775656324583,0.0,0.6020472446247616,6.977026033515293,0.9596310666893433,0.9701777188760853
1,R1,REFUGE,0,RIM_ONE_r3,2,exterior_near_boundary,deferred,168,44,0.2619047619047619,0.2619047619047619,0.3333333333333333,0.28620102214650767,0.8863636363636364,0.8863636363636364,-1.9074852863947551,-2.5,-2.1196770668029785,-1.5,923.422619047619,0.0,0.19567955706623338,2.8470524354349998,0.8583459479822999,0.834785996448426
1,R1,REFUGE,0,RIM_ONE_r3,2,exterior_far,candidate,1804,0,0.0,0.0,nan,1.0,1.0,1.0,-13.55704919699819,-13.955293655395508,-8.874147415161133,-5.679208278656006,0.0,0.0,0.46997357844638366,5.613856371203045,0.9157218427424156,0.9211906739851323
1,R1,REFUGE,0,RIM_ONE_r3,2,exterior_far,admitted,1180,0,0.0,0.0,nan,0.6541019955654102,0.9523809523809523,0.9523809523809523,-12.407464991989782,-12.5,-8.276454448699951,-5.5,0.0,0.0,0.6097415293109114,6.910550152952388,0.9681573696308217,0.9701273708525351
1,R1,REFUGE,0,RIM_ONE_r3,2,exterior_far,deferred,624,0,0.0,0.0,nan,0.3458980044345898,1.0,1.0,-15.730942405187166,-17.5,-10.712139129638672,-6.5,0.0,0.0,0.20566879956794976,3.161775181356531,0.8165649168957503,0.8286501254217747
1,R1,RIM_ONE_r3,1,Drishti_GS,1,all,candidate,18968,9092,0.47933361450864614,0.47933361450864614,1.0,1.0,1.0,1.0,-3.728303218807967,-13.738641738891602,-1.5,10.136581420898438,7206.559574019401,0.0,0.5992106022449243,8.612558564743107,0.8195368047600957,0.9736737527616263
