fold,candidate_id,kappa,tau,rho,calibration_pass,route_precision_p10,current_false_override_p90,historical_recall_p10,median_accepted_historical_patients,route_agreement,outer_route_count,outer_route_frequency,minimum_outer_finite_predictions,route_sha256,median_probability_sha256,consensus_sha256
1,k100_tau090,100,0.9,0.8,False,0.9870801033591731,0.024999999999999998,0.9249815498154981,445.5,0.97630174291939,32,0.7619047619047619,0,0c144ae0bf89b86b56b287d50ec1e4bfe0bef32a92403ff677b7615d36a42154,66f86beb352b9f73e0103ecef657f05f8bd890601abab1f61bab686c483b5262,8efd7a818117b9f4599dc567ef887360ff1437566bbf2f9c4edeca877b4d9b99
1,k100_tau095,100,0.95,0.8,True,0.9910153856793398,0.010416666666666666,0.8516236162361625,426.0,0.9630555555555556,30,0.7142857142857143,0,3e49b760e582ecb9554894d4f05bbd39a2e14edcea5a434f75a6b73aa0e93602,66f86beb352b9f73e0103ecef657f05f8bd890601abab1f61bab686c483b5262,cf454d266ef7e321541cdc45bd40468e5b862cc808d878cfa3bb7269c60e2f88
1,k100_tau098,100,0.98,0.8,True,0.9962041332770984,0.00625,0.8070110701107012,393.0,0.9695915032679739,27,0.6428571428571429,0,450b016bf4528e306c23021e5ece4797b12e0984b242c99f338f0702adffae97,66f86beb352b9f73e0103ecef657f05f8bd890601abab1f61bab686c483b5262,c82d21cb69205cb9228a843ea3bfc8581067a831283064d24856016a41726ee7
1,kinf_tau090,inf,0.9,0.8,False,0.9860191317144958,0.03125,0.8929889298892989,448.0,0.9774891067538127,31,0.7380952380952381,0,7b3b7a059a4d058de5ab087a7a916a52619b78b13088c8ca2721f07cfbc5adf8,aa494e1153bd1f967ac5d3b3f0f7612d1948bbaaef37d8af28d17bd968a92a59,02f8439c13cc2710595d5193539caee3444ce7fbffde3679840365f485e6d265
1,kinf_tau095,inf,0.95,0.8,True,0.9893858984078848,0.014583333333333332,0.8431734317343174,411.0,0.9605174291938998,30,0.7142857142857143,0,3e49b760e582ecb9554894d4f05bbd39a2e14edcea5a434f75a6b73aa0e93602,aa494e1153bd1f967ac5d3b3f0f7612d1948bbaaef37d8af28d17bd968a92a59,24d7fed5434d9b7d98fe15aced0249eb7d1a7e79d3530014f0d06ecf9ade82b0
1,kinf_tau098,inf,0.98,0.8,True,0.9953790588575273,0.00625,0.781918819188192,393.0,0.9651416122004357,27,0.6428571428571429,0,450b016bf4528e306c23021e5ece4797b12e0984b242c99f338f0702adffae97,aa494e1153bd1f967ac5d3b3f0f7612d1948bbaaef37d8af28d17bd968a92a59,0d28c66b33374134874fb34877bd9b0b05ecca6a4a6a0f64c5f0928108bb2300
2,k010_tau090,10,0.9,0.8,False,0.9886988339428875,0.025316455696202528,0.9258931860036833,439.0,0.973585313174946,27,0.7297297297297297,0,2c62c8335177bc8e529e4ff7a21a5a5689c83a77d6ac60ab14cba584f370130b,3c0499036b9eac960d840da54ebf6d601eee22c36c55ed00461d7030f6b43958,1630ac32ee5baa37fb07cc1027119d919d17a390bfe9abf11faab4ec2824a370
2,k010_tau095,10,0.95,0.8,True,0.9945106622542568,0.010548523206751054,0.8976058931860036,431.0,0.9776403887688985,27,0.7297297297297297,0,2c62c8335177bc8e529e4ff7a21a5a5689c83a77d6ac60ab14cba584f370130b,3c0499036b9eac960d840da54ebf6d601eee22c36c55ed00461d7030f6b43958,7608babaf18b9dd4e8b24da7c2d3a866dcc1cf2461bfbc4462c3c73ae87546c8
2,k010_tau098,10,0.98,0.8,True,0.9966424360551498,0.006329113924050633,0.8532228360957643,421.0,0.9761771058315335,25,0.6756756756756757,0,76c00fd91fdfb8fddeeb48f6a0cf7afd7b7bdd327f09f0c0ca3db818840219b3,3c0499036b9eac960d840da54ebf6d601eee22c36c55ed00461d7030f6b43958,64f225ef23bb4bcbc01602c430a31a3a3f6ac7e071bf6d4be8ff9d25833366fc
2,k030_tau090,30,0.9,0.8,False,0.9877945024744287,0.025316455696202528,0.9269981583793739,440.0,0.9728887688984881,27,0.7297297297297297,0,2c62c8335177bc8e529e4ff7a21a5a5689c83a77d6ac60ab14cba584f370130b,6deeca2d5f0fa480231bd93c49106ce9d568f352a70d786cd8fdad55f4645ce1,12fcca3af9aa9e94b5a00a091cde8b75e6bd6348ffa5ce3b4447f5e1a6b9dc0d
