task_id,arm,epoch,steps,loss_mean_per_step,CE_mean_per_step,GT_Dice_mean_per_step,anchor_label_records_mean_per_step,U_image_records_mean_per_step,donor_context_records_mean_per_step,current_H_distance_relative_max_sum_mean_per_step
O1_s61_GN_L,GN_L,20,21,0.43326342930233896,0.17741910989085832,0.25584431941148045,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,21,21,0.7790868267543656,0.4146163428113574,0.3644704839430084,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,22,21,0.7766732111441932,0.4086410869799909,0.3680321241642023,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,23,21,0.713117374221156,0.34719733397165936,0.36592004024949676,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,24,21,0.7112117990019449,0.3442811510037808,0.36693064799816405,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,25,21,0.5928961062261532,0.2704599148460797,0.3224361913800734,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,26,21,0.7284130629660843,0.352740224983011,0.37567283798307344,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,27,21,0.650950283037433,0.2934900979910578,0.357460185046375,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,28,21,0.5825416712249611,0.2515379658767155,0.33100370534824564,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,29,21,0.5778418015435742,0.24943061279399054,0.3284111887495835,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,30,21,0.638018554965053,0.28845569101117907,0.349562863953874,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,31,21,0.5891357376185017,0.24231541511558352,0.3468203225029181,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,32,21,0.5453772212348612,0.21573123229401453,0.32964598894084673,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,33,21,0.6091183676852242,0.26131384500435423,0.34780452268087003,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,34,21,0.534212653473854,0.21686012120473952,0.3173525322691146,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,35,21,0.6118675555447999,0.2667079273433912,0.34515962820140844,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,36,21,0.49705033802980964,0.18892730595100493,0.30812303207880476,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,37,21,0.5152023906713231,0.19448285088652656,0.3207195397847967,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,38,21,0.5619839024317757,0.22960930388598216,0.3323745985457936,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,39,21,0.5914159480438591,0.2468821746962411,0.344533773347618,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,40,21,0.5127124054668174,0.19180299093325934,0.3209094145335581,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,41,21,0.580445477009882,0.25128057847420376,0.3291648985356782,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,42,21,0.5621232424657998,0.23089525245484852,0.33122799001095127,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,43,21,0.5332173630494282,0.20786855334327334,0.32534880970615493,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,44,21,0.5225410290569303,0.19814896796430861,0.3243920610926218,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,45,21,0.5974000264826492,0.24839694230329423,0.34900308417935505,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,46,21,0.5235236976328993,0.19502195148240953,0.3285017461504898,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,47,21,0.5797661435716707,0.23206819451990582,0.34769794905176477,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,48,21,0.5812139194983791,0.2393763264020284,0.34183759309635064,2.0,0.0,2.0,0.0
O1_s61_GN_L,GN_L,49,21,0.5622549867439147,0.2251997465888659,0.33705524015504884,2.0,0.0,2.0,0.0
