arm,baseline,order,seed,domain,role,metric,delta
GN_CIST_L,F_CONV,O1,63,RIM_ONE_r3,old,rim_dice,-0.0969801338714471
GN_CIST_L,F_CONV,O1,63,RIM_ONE_r3,old,cup_dice,0.007661070844376061
GN_CIST_L,F_CONV,O1,63,Drishti_GS,current,rim_dice,0.029628636446682677
GN_CIST_L,F_CONV,O1,63,Drishti_GS,current,cup_dice,-0.02323810642177704
GN_CIST_L,F_CONV,O2,61,RIM_ONE_r3,current,rim_dice,-0.04743627675011852
GN_CIST_L,F_CONV,O2,61,RIM_ONE_r3,current,cup_dice,-0.028004963147645223
GN_CIST_L,F_CONV,O2,61,Drishti_GS,old,rim_dice,0.10947550417659302
GN_CIST_L,F_CONV,O2,61,Drishti_GS,old,cup_dice,-0.00013702998498393848
GN_CIST_L,F_CONV,O2,62,RIM_ONE_r3,current,rim_dice,-0.053360188236783235
GN_CIST_L,F_CONV,O2,62,RIM_ONE_r3,current,cup_dice,-0.009093452084852571
GN_CIST_L,F_CONV,O2,62,Drishti_GS,old,rim_dice,0.06619002593355533
GN_CIST_L,F_CONV,O2,62,Drishti_GS,old,cup_dice,-0.07273191444707094
GN_CIST_L,F_CONV,O2,63,RIM_ONE_r3,current,rim_dice,-0.07647898465281999
GN_CIST_L,F_CONV,O2,63,RIM_ONE_r3,current,cup_dice,-0.10166370868148744
GN_CIST_L,F_CONV,O2,63,Drishti_GS,old,rim_dice,-0.048545588533590756
GN_CIST_L,F_CONV,O2,63,Drishti_GS,old,cup_dice,-0.10852759129515621
GN_L,ISO_COND_L,O1,61,RIM_ONE_r3,old,rim_dice,-0.18496900681108475
GN_L,ISO_COND_L,O1,61,RIM_ONE_r3,old,cup_dice,-0.07872747887469456
GN_L,ISO_COND_L,O1,61,Drishti_GS,current,rim_dice,0.21747763202465142
GN_L,ISO_COND_L,O1,61,Drishti_GS,current,cup_dice,0.049843623942430915
GN_L,ISO_COND_L,O1,62,RIM_ONE_r3,old,rim_dice,-0.2283913307237071
GN_L,ISO_COND_L,O1,62,RIM_ONE_r3,old,cup_dice,-0.10560403007956576
GN_L,ISO_COND_L,O1,62,Drishti_GS,current,rim_dice,0.13422922077770405
GN_L,ISO_COND_L,O1,62,Drishti_GS,current,cup_dice,0.027146814136618236
GN_L,ISO_COND_L,O1,63,RIM_ONE_r3,old,rim_dice,-0.15940306767966655
GN_L,ISO_COND_L,O1,63,RIM_ONE_r3,old,cup_dice,-0.042565981535063746
GN_L,ISO_COND_L,O1,63,Drishti_GS,current,rim_dice,0.19304925508234527
GN_L,ISO_COND_L,O1,63,Drishti_GS,current,cup_dice,0.08800233074268982
GN_L,ISO_COND_L,O2,61,RIM_ONE_r3,current,rim_dice,0.04400472420244439
GN_L,ISO_COND_L,O2,61,RIM_ONE_r3,current,cup_dice,0.04003136564978682
GN_L,ISO_COND_L,O2,61,Drishti_GS,old,rim_dice,-0.07499111521983431
GN_L,ISO_COND_L,O2,61,Drishti_GS,old,cup_dice,0.018115807893050784
GN_L,ISO_COND_L,O2,62,RIM_ONE_r3,current,rim_dice,0.06482675753632605
GN_L,ISO_COND_L,O2,62,RIM_ONE_r3,current,cup_dice,0.06912387792802521
GN_L,ISO_COND_L,O2,62,Drishti_GS,old,rim_dice,-0.0229787770671821
GN_L,ISO_COND_L,O2,62,Drishti_GS,old,cup_dice,0.1898500741082116
GN_L,ISO_COND_L,O2,63,RIM_ONE_r3,current,rim_dice,0.05192374765119312
GN_L,ISO_COND_L,O2,63,RIM_ONE_r3,current,cup_dice,0.01666174162921441
GN_L,ISO_COND_L,O2,63,Drishti_GS,old,rim_dice,-0.010826009292479455
GN_L,ISO_COND_L,O2,63,Drishti_GS,old,cup_dice,-0.147386113167718
GN_CIST_L,ISO_COND_L,O1,61,RIM_ONE_r3,old,rim_dice,-0.1995405818074617
GN_CIST_L,ISO_COND_L,O1,61,RIM_ONE_r3,old,cup_dice,-0.08208520341013159
GN_CIST_L,ISO_COND_L,O1,61,Drishti_GS,current,rim_dice,0.17492444685395625
GN_CIST_L,ISO_COND_L,O1,61,Drishti_GS,current,cup_dice,0.03189606284097579
GN_CIST_L,ISO_COND_L,O1,62,RIM_ONE_r3,old,rim_dice,-0.19223704943904313
GN_CIST_L,ISO_COND_L,O1,62,RIM_ONE_r3,old,cup_dice,-0.08408773715333895
GN_CIST_L,ISO_COND_L,O1,62,Drishti_GS,current,rim_dice,0.1567704347825989
GN_CIST_L,ISO_COND_L,O1,62,Drishti_GS,current,cup_dice,0.04460440319531089
GN_CIST_L,ISO_COND_L,O1,63,RIM_ONE_r3,old,rim_dice,-0.19827351073921984
GN_CIST_L,ISO_COND_L,O1,63,RIM_ONE_r3,old,cup_dice,-0.06188101915014821
GN_CIST_L,ISO_COND_L,O1,63,Drishti_GS,current,rim_dice,0.21236498810158422
