seed,domain,metric,effect,value,mean,sample_SD,minimum,maximum,values
all,Drishti_GS,macro_fg_dice,interaction,,0.002769946102293863,0.009403290218555342,-0.007842011615757483,0.010066309842968413,"[0.006085540079670659, 0.010066309842968413, -0.007842011615757483]"
all,Drishti_GS,rim_dice,mask_effect_MSE,,-0.009733442994089589,0.012641781793294341,-0.022637172953710705,0.0026290024780373233,"[-0.009192158506595383, -0.022637172953710705, 0.0026290024780373233]"
all,Drishti_GS,rim_dice,mask_effect_SCE,,-0.0006899472210808814,0.007267310771000415,-0.0059343955419571826,0.0076055147450148075,"[-0.0059343955419571826, 0.0076055147450148075, -0.003740960866300269]"
all,Drishti_GS,rim_dice,loss_effect_joint,,-0.009101724265487868,0.005406330067758679,-0.015175678537720949,-0.00481626227737364,"[-0.00481626227737364, -0.015175678537720949, -0.007313231981369017]"
all,Drishti_GS,rim_dice,loss_effect_teacher,,-5.8228492479162064e-05,0.014433699245429466,-0.01368319532570661,0.015067009161004563,"[-0.0015584993127354396, 0.015067009161004563, -0.01368319532570661]"
all,Drishti_GS,rim_dice,interaction,,0.009043495773008706,0.018979662330970714,-0.0063699633443375925,0.030242687698725512,"[0.0032577629646382, 0.030242687698725512, -0.0063699633443375925]"
all,Drishti_GS,cup_dice,mask_effect_MSE,,0.0008855811629257341,0.008939026421314195,-0.006277742758716509,0.010903180208288177,"[-0.006277742758716509, 0.010903180208288177, -0.0019686939607944653]"
all,Drishti_GS,cup_dice,mask_effect_SCE,,-0.002618022405495616,0.007560214613659108,-0.01128275384797206,0.0026355744359859434,"[0.0026355744359859434, 0.0007931121954992681, -0.01128275384797206]"
all,Drishti_GS,cup_dice,loss_effect_joint,,-0.0018236762550845054,0.014971591485211587,-0.018391972913937682,0.010734487863764963,"[0.0021864562849192026, 0.010734487863764963, -0.018391972913937682]"
all,Drishti_GS,cup_dice,loss_effect_teacher,,-0.005327279823505855,0.02007584860064305,-0.027706032801115277,0.011099773479621655,"[0.011099773479621655, 0.0006244198509760546, -0.027706032801115277]"
all,Drishti_GS,cup_dice,interaction,,-0.0035036035684213505,0.010760731767044519,-0.010110068012788909,0.008913317194702453,"[0.008913317194702453, -0.010110068012788909, -0.009314059887177595]"
