arm,baseline,order,seed,domain,n,mean,q00,q05,q25,q50,q75,q95,q100,harm_below_minus005,harm_below_minus001
DPR_FINITE_U,F_CONV,O2,63,RIM_ONE_r3,40,-0.030434063549256006,-0.39874108334641356,-0.08924370807370606,-0.02974037887756284,-0.014279733788140764,0.00530497356896395,0.031600331662558365,0.0340430732954391,6,22
DPR_FINITE_U,F_CONV,O2,63,Drishti_GS,25,-0.02553130351234547,-0.27095431361003364,-0.22136505183354482,-0.06204813054567515,-0.01742653110291925,0.025377369474983424,0.08697102230201649,0.10983743762045672,8,13
DPR_FINITE_U,F_FULL,O1,61,RIM_ONE_r3,40,0.015626762697284483,-0.10091110980512386,-0.06646413981628693,-0.02386136687916765,-0.004231050305039785,0.022489028681104944,0.22178110634524822,0.26593338755829776,6,17
DPR_FINITE_U,F_FULL,O1,61,Drishti_GS,25,-0.017706358574913587,-0.13075877640385403,-0.09512809776893917,-0.04734080221680648,-0.02157369256749586,0.01110602351786616,0.05271749297891364,0.16128388309614172,6,14
DPR_FINITE_U,F_FULL,O1,62,RIM_ONE_r3,40,0.022423547969390632,-0.14192839900548843,-0.10619654087451033,-0.008016576917521445,0.022485726173238574,0.058582788839811745,0.158605176395315,0.18614174927397276,6,10
DPR_FINITE_U,F_FULL,O1,62,Drishti_GS,25,-0.0063624451679232565,-0.17490751225629042,-0.07190065806698573,-0.040623631571691354,-0.0029464505944701846,0.030418161785932485,0.08045546755974277,0.08478805966146186,3,10
DPR_FINITE_U,F_FULL,O1,63,RIM_ONE_r3,40,-0.051615949531744795,-0.312489202879757,-0.2680515673668558,-0.12787255625392754,-0.04467447928243656,0.02132741670977522,0.11737661628595127,0.2799299316928743,19,25
DPR_FINITE_U,F_FULL,O1,63,Drishti_GS,25,-0.008175681572493541,-0.18130996457052195,-0.13239843730234332,-0.056448359013150484,-0.012735826349754675,0.03192354606862935,0.15038972478070595,0.17984956521032872,8,13
DPR_FINITE_U,F_FULL,O2,61,RIM_ONE_r3,40,0.00202906688448225,-0.09252237297730637,-0.05354944300305333,-0.032083328004616385,-0.01080135363085788,0.035592408735815956,0.08543621149254586,0.10844408422930907,6,21
DPR_FINITE_U,F_FULL,O2,61,Drishti_GS,25,-0.043724211743630656,-0.40202433960668205,-0.2265049780171124,-0.08516997820150551,-0.027599833908704352,0.013703335511497827,0.1042296783598015,0.1580107607986171,10,18
DPR_FINITE_U,F_FULL,O2,62,RIM_ONE_r3,40,0.007835875484690603,-0.13277225447178775,-0.0809899992226885,-0.02298994059593948,-0.005106133304979554,0.037774952713348464,0.08683908333806487,0.1838241145103189,5,16
DPR_FINITE_U,F_FULL,O2,62,Drishti_GS,25,0.02474037648787191,-0.20304400726959793,-0.08463598123411678,0.0010272149216928872,0.03378674836320705,0.07012073001422259,0.10308544735997179,0.11554313758229223,3,4
DPR_FINITE_U,F_FULL,O2,63,RIM_ONE_r3,40,-0.033709862700686086,-0.526214587822748,-0.2599094191580339,-0.07734128366051006,0.0010650541427023597,0.04365548342454856,0.09293321577488095,0.15585285890858858,15,18
DPR_FINITE_U,F_FULL,O2,63,Drishti_GS,25,0.007294517791148378,-0.2925683322238309,-0.17218699789233635,-0.09726863948745923,-0.01976047704022202,0.0981682740019621,0.22711605593410097,0.3271905900039256,9,13
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,61,RIM_ONE_r3,40,-0.012702393492751391,-0.11136685330211116,-0.06197830889311477,-0.024009104786488683,-0.009998466979301623,0.0034380896111983195,0.033525646328010104,0.04646995211531135,5,20
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,61,Drishti_GS,25,-0.014632559241658596,-0.17913030356878923,-0.10256972172877944,-0.01971708392420013,-0.009034214133947338,0.007987669930792807,0.028799289292314696,0.03235967783800542,3,11
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,62,RIM_ONE_r3,40,-0.015227469455158339,-0.16581613048425814,-0.11131304473097084,-0.032880957687687895,-0.004453734851310065,0.011179307283642581,0.05050970558847812,0.07236977125118704,9,15
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,62,Drishti_GS,25,-0.009223394997426825,-0.08434757623937461,-0.07416059808768863,-0.024008550731329348,-0.0068018834833936115,0.011443364585002946,0.030169943662783427,0.05688601694963735,3,11
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,63,RIM_ONE_r3,40,-0.011343065674334563,-0.25925915871957783,-0.10953065147789848,-0.03660448963468825,-0.0034462610292876616,0.024628097482826537,0.056379601573292776,0.1291749961023958,8,18
DPR_FINITE_U,DPR_FINITE_SIGN_U,O1,63,Drishti_GS,25,-0.0076284642630586545,-0.08798103721080197,-0.07274659176015803,-0.03580250219939396,-0.018613860648461822,0.012420579318611402,0.04780483929198931,0.15341325928608174,5,14
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,61,RIM_ONE_r3,40,0.004634737500724144,-0.059756212040182444,-0.05494195040795966,-0.01719255828920313,0.0027287797364138333,0.021503277798134435,0.057147606939120896,0.12542739414554727,3,15
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,61,Drishti_GS,25,0.014906740267204137,-0.246245211575016,-0.07968620861948945,-0.02053825511272178,0.0047260558707054034,0.04914683877677328,0.20922950307748825,0.25200046804365106,3,10
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,62,RIM_ONE_r3,40,-0.005133897894140803,-0.14469619900060804,-0.09898162826756982,-0.03896861766962717,0.00259277395525781,0.02586615921436107,0.08649785601792852,0.10714619430624767,7,17
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,62,Drishti_GS,25,-0.07553378855715648,-0.30117358464287153,-0.2516362928604724,-0.13712585587367754,-0.06858826325250078,0.009501639984839716,0.030927273941031036,0.07521802820148354,14,18
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,63,RIM_ONE_r3,40,-0.018189415825315653,-0.42881039100399554,-0.15549741186010935,-0.010486725945588082,0.004436074634337539,0.02138687123403296,0.044791741944597764,0.08509724058767465,7,10
DPR_FINITE_U,DPR_FINITE_SIGN_U,O2,63,Drishti_GS,25,-0.06885931937562154,-0.24838424731795541,-0.1963695714425675,-0.13303529877204384,-0.07369199418262218,-0.0023009201725838757,0.048350148269837134,0.06300535957838455,14,18
DPR_FINITE_U,DPR_U,O1,61,RIM_ONE_r3,40,-0.007656740012601122,-0.08272254511321814,-0.07533883944631477,-0.02429488522969478,-0.008656125189934472,-0.0014604897259093974,0.035895557051869045,0.21416447085567591,3,18
DPR_FINITE_U,DPR_U,O1,61,Drishti_GS,25,-0.008431383634047645,-0.16081380121689226,-0.08612158692541248,-0.012704155419909768,-0.0007922243194544709,0.012457165705800577,0.03524646033509004,0.04804737076829102,2,8
DPR_FINITE_U,DPR_U,O1,62,RIM_ONE_r3,40,-0.0026884368563502696,-0.15428999546192512,-0.059058149851544006,-0.012343936837996339,0.0017100679521184214,0.018026254412617237,0.045057590342578446,0.08296869741528445,4,12
