seed,transition,variant,class_a,class_b,pair_cosine,old_pair_cosine,pair_cosine_change_vs_old,gram_offdiag_rms_distortion,hidden_gt_usage
1,REFUGE->RIM_ONE_r3,static,1,2,-0.1574820727109909,-0.1574820727109909,0.0,0.0,none
1,REFUGE->RIM_ONE_r3,global,0,1,-0.3076915740966797,-0.244434654712677,-0.06325691938400269,0.29986876249313354,none
1,REFUGE->RIM_ONE_r3,global,0,2,-0.18918482959270477,-0.5638849139213562,0.37470006942749023,0.29986876249313354,none
1,REFUGE->RIM_ONE_r3,global,1,2,0.19658319652080536,-0.1574820727109909,0.35406526923179626,0.29986876249313354,none
1,REFUGE->RIM_ONE_r3,class,0,1,0.21991392970085144,-0.244434654712677,0.46434858441352844,0.5450732707977295,none
1,REFUGE->RIM_ONE_r3,class,0,2,-0.020132210105657578,-0.5638849139213562,0.5437527298927307,0.5450732707977295,none
1,REFUGE->RIM_ONE_r3,class,1,2,0.45898208022117615,-0.1574820727109909,0.6164641380310059,0.5450732707977295,none
1,RIM_ONE_r3->Drishti_GS,old,0,1,0.3197801113128662,0.3197801113128662,0.0,0.0,none
1,RIM_ONE_r3->Drishti_GS,old,0,2,-0.3435240089893341,-0.3435240089893341,0.0,0.0,none
1,RIM_ONE_r3->Drishti_GS,old,1,2,0.4791685938835144,0.4791685938835144,0.0,0.0,none
1,RIM_ONE_r3->Drishti_GS,static,0,1,0.3197801113128662,0.3197801113128662,0.0,0.0,none
1,RIM_ONE_r3->Drishti_GS,static,0,2,-0.3435240089893341,-0.3435240089893341,0.0,0.0,none
1,RIM_ONE_r3->Drishti_GS,static,1,2,0.4791685938835144,0.4791685938835144,0.0,0.0,none
1,RIM_ONE_r3->Drishti_GS,global,0,1,-0.20570416748523712,0.3197801113128662,-0.5254842638969421,0.416510671377182,none
1,RIM_ONE_r3->Drishti_GS,global,0,2,0.04718831926584244,-0.3435240089893341,0.39071232080459595,0.416510671377182,none
1,RIM_ONE_r3->Drishti_GS,global,1,2,0.7819120287895203,0.4791685938835144,0.30274343490600586,0.416510671377182,none
1,RIM_ONE_r3->Drishti_GS,class,0,1,0.14410622417926788,0.3197801113128662,-0.17567388713359833,0.25032803416252136,none
1,RIM_ONE_r3->Drishti_GS,class,0,2,-0.18344125151634216,-0.3435240089893341,0.16008275747299194,0.25032803416252136,none
1,RIM_ONE_r3->Drishti_GS,class,1,2,0.1165330559015274,0.4791685938835144,-0.3626355528831482,0.25032803416252136,none
2,REFUGE->RIM_ONE_r3,old,0,1,0.02458755485713482,0.02458755485713482,0.0,0.0,none
2,REFUGE->RIM_ONE_r3,old,0,2,-0.5212430357933044,-0.5212430357933044,0.0,0.0,none
2,REFUGE->RIM_ONE_r3,old,1,2,0.23020358383655548,0.23020358383655548,0.0,0.0,none
2,REFUGE->RIM_ONE_r3,static,0,1,0.02458755485713482,0.02458755485713482,0.0,0.0,none
2,REFUGE->RIM_ONE_r3,static,0,2,-0.5212430357933044,-0.5212430357933044,0.0,0.0,none
2,REFUGE->RIM_ONE_r3,static,1,2,0.23020358383655548,0.23020358383655548,0.0,0.0,none
2,REFUGE->RIM_ONE_r3,global,0,1,0.27580180764198303,0.02458755485713482,0.25121426582336426,0.18284428119659424,none
2,REFUGE->RIM_ONE_r3,global,0,2,-0.4202277958393097,-0.5212430357933044,0.10101523995399475,0.18284428119659424,none
2,REFUGE->RIM_ONE_r3,global,1,2,0.39446982741355896,0.23020358383655548,0.16426624357700348,0.18284428119659424,none
2,REFUGE->RIM_ONE_r3,class,0,1,-0.08228418976068497,0.02458755485713482,-0.10687174648046494,0.27448800206184387,none
2,REFUGE->RIM_ONE_r3,class,0,2,-0.0655706599354744,-0.5212430357933044,0.45567238330841064,0.27448800206184387,none
2,REFUGE->RIM_ONE_r3,class,1,2,0.3137025237083435,0.23020358383655548,0.08349893987178802,0.27448800206184387,none
2,RIM_ONE_r3->Drishti_GS,old,0,1,0.33282461762428284,0.33282461762428284,0.0,0.0,none
2,RIM_ONE_r3->Drishti_GS,old,0,2,0.11130756139755249,0.11130756139755249,0.0,0.0,none
2,RIM_ONE_r3->Drishti_GS,old,1,2,0.36814233660697937,0.36814233660697937,0.0,0.0,none
2,RIM_ONE_r3->Drishti_GS,static,0,1,0.33282461762428284,0.33282461762428284,0.0,0.0,none
2,RIM_ONE_r3->Drishti_GS,static,0,2,0.11130756139755249,0.11130756139755249,0.0,0.0,none
2,RIM_ONE_r3->Drishti_GS,static,1,2,0.36814233660697937,0.36814233660697937,0.0,0.0,none
2,RIM_ONE_r3->Drishti_GS,global,0,1,0.0019412022083997726,0.33282461762428284,-0.3308834135532379,0.2603951096534729,none
2,RIM_ONE_r3->Drishti_GS,global,0,2,0.3416948914527893,0.11130756139755249,0.23038733005523682,0.2603951096534729,none
2,RIM_ONE_r3->Drishti_GS,global,1,2,0.5702677965164185,0.36814233660697937,0.2021254599094391,0.2603951096534729,none
2,RIM_ONE_r3->Drishti_GS,class,0,1,0.2495737224817276,0.33282461762428284,-0.08325089514255524,0.2599290907382965,none
2,RIM_ONE_r3->Drishti_GS,class,0,2,0.18718820810317993,0.11130756139755249,0.07588064670562744,0.2599290907382965,none
2,RIM_ONE_r3->Drishti_GS,class,1,2,-0.06774849444627762,0.36814233660697937,-0.4358908236026764,0.2599290907382965,none
