seed,transition,variant,class_id,region,pixel_count,top1_top2_margin_abs_error,all_pair_margin_abs_error,margin_agreement,hidden_gt_usage
1,REFUGE->RIM_ONE_r3,class,ALL,interior,877502,0.024878684560245303,0.04329544731951555,0.975121312935754,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,class,0,all,814355,0.012931642943924467,0.017102391087537742,0.9870683508727767,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,class,0,boundary,15130,0.1745893504866999,0.3679779758692891,0.8254106560686292,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,class,0,interior,799225,0.009871327088381763,0.01046002145144515,0.9901286793456161,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,class,1,all,79920,0.18219426052945034,0.4078891612865307,0.817805739088698,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,class,1,boundary,22041,0.23923902994902432,0.5433035115354977,0.7607609790507606,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,class,1,interior,57879,0.1604709439712725,0.3563217964265294,0.8395290507560762,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,class,2,all,27325,0.23256405061685156,0.4735618157138109,0.7674359493831484,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,class,2,boundary,6927,0.2455646613467836,0.5675897814416259,0.7544353425081147,post_hoc_visible_previous_val_only
1,REFUGE->RIM_ONE_r3,class,2,interior,20398,0.2281491413971106,0.44163065997394046,0.7718508567327564,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,ALL,all,368640,0.3036027431488037,1.2100458886888292,0.6963972780439589,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,ALL,boundary,15968,0.292690837072705,1.1512035836198764,0.7073091610161241,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,ALL,interior,352672,0.3040968003068361,1.2127100836613056,0.6959032024622028,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,0,all,332481,0.3121888743736484,1.219020856642936,0.6878111373751432,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,0,boundary,5544,0.31499130832512484,1.213710096835402,0.6850086889225683,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,0,interior,326937,0.3121413592536559,1.219110937753298,0.6878586437333493,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,1,all,26698,0.2047089352323032,1.1944513414511386,0.7952910579093003,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,1,boundary,7943,0.277143585731442,1.1584857401342967,0.722856421952702,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,1,interior,18755,0.17403186786908909,1.2096832446243502,0.8259681337580812,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,2,all,9461,0.2809352554210005,0.9386508329992452,0.7190647429661902,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,2,boundary,2481,0.29263367166638327,0.9882136463686517,0.7073663283336168,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,static,2,interior,6980,0.2767771264543506,0.921034026487509,0.7232228910342329,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,ALL,all,368640,0.5416456487443712,1.0894661585489909,0.45835434330834285,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,ALL,boundary,15968,0.41780970617382224,0.9109959115007359,0.5821903052932036,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,ALL,interior,352672,0.5472525861494533,1.0975468175812086,0.4527474083124688,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,0,all,332481,0.5555711971135193,1.1077565099584639,0.4444287999492828,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,0,boundary,5544,0.45274074218661925,0.8907056591039441,0.5472592660703012,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,0,interior,326937,0.55731492946271,1.1114371327656398,0.4426850675502849,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,1,all,26698,0.4711996729038692,0.8587203934912611,0.5288003362406594,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,1,boundary,7943,0.42082372456732736,0.8782578235036943,0.5791762754326726,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,1,interior,18755,0.4925345656522844,0.8504460008581045,0.5074654441107371,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,2,all,9461,0.25106167770593796,1.097843722956413,0.748938319874848,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,2,boundary,2481,0.33010389304170684,1.0611480934299897,0.6698961238715015,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,global,2,interior,6980,0.22296659475069674,1.11088694924953,0.7770334282030691,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,ALL,all,368640,0.042302549216482375,0.07142567700809903,0.9576974550882975,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,ALL,boundary,15968,0.2753343027913738,0.46500799603357107,0.7246656933862843,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,ALL,interior,352672,0.031751523832586476,0.053605370659564694,0.9682484605915695,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,0,all,332481,0.02018016651218768,0.030206859484134527,0.9798198113670405,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,0,boundary,5544,0.25956597816720495,0.42620133183907294,0.7404340163281814,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,0,interior,326937,0.01612080700945442,0.02349182475585534,0.9838791989645559,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,1,all,26698,0.24734133346686785,0.49444493205103146,0.7526586848221894,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,1,boundary,7943,0.27673540592013507,0.4794314866040165,0.723264599842973,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,1,interior,18755,0.2348925377711777,0.5008033372090359,0.7651074589744818,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,2,all,9461,0.24113418954886137,0.3262301405594296,0.7588658160959713,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,2,boundary,2481,0.30608424963560954,0.5055474139470719,0.6939157426765685,post_hoc_visible_previous_val_only
1,RIM_ONE_r3->Drishti_GS,class,2,interior,6980,0.2180480715196932,0.2624928655460434,0.7819519152272396,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,ALL,all,921600,0.12330548233456082,1.1878179719713,0.8766945139567057,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,ALL,boundary,44105,0.32699044771089586,0.7545883325746089,0.6730095550568246,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,ALL,interior,877495,0.11306778919279811,1.2095931591846678,0.886932219432162,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,0,all,815841,0.10399098282860876,1.266481933022182,0.8960090171713913,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,0,boundary,15039,0.3616440364183981,0.920845494909849,0.6383559666254457,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,0,interior,800802,0.09915227708831272,1.272972951061873,0.9008477253506485,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,1,all,77567,0.2853487680093802,0.46737835551014567,0.71465123277749,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,1,boundary,22013,0.3307320590411951,0.6315633782208419,0.6692679562085827,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,1,interior,55554,0.26736586237329685,0.4023208472591139,0.732634137901369,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,2,all,28192,0.2363996186402545,0.8935879697594009,0.763600385148463,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,2,boundary,7053,0.2414212829252346,0.7840519424669965,0.7585787127478721,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,static,2,interior,21139,0.23472414323953023,0.930134515605782,0.765275853151314,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,global,ALL,all,921600,0.10496953037050036,1.203293974134657,0.8950304667154948,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,global,ALL,boundary,44105,0.32604913282334946,0.796000926189987,0.6739508678685806,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,global,ALL,interior,877495,0.09385754073251486,1.223765488870307,0.9061424584328116,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,global,0,all,815841,0.07653736833539523,1.2799041447337778,0.9234626231359726,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,global,0,boundary,15039,0.32339354973618073,0.9774213712641403,0.6766064543222777,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,global,0,interior,800802,0.07190142666278813,1.285584751091718,0.9280985826357514,post_hoc_visible_previous_val_only
2,REFUGE->RIM_ONE_r3,global,1,all,77567,0.33575595410787007,0.5611374273360047,0.6642440340890778,post_hoc_visible_previous_val_only
