task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O1_s62_T_LCTX,62,O1,T_LCTX,Drishti_GS,current,25,25,0.9869461407118085,0.6957883441617017,0.7500361231945345,0.7229122336781181
O1_s62_T_UCTX,62,O1,T_UCTX,RIM_ONE_r3,old,40,40,0.9655936003688218,0.4730785489226365,0.5503061142494489,0.5116923315860428
O1_s62_T_UCTX,62,O1,T_UCTX,Drishti_GS,current,25,25,0.9885794256636273,0.7076602608923872,0.7623250028303419,0.7349926318613644
O1_s62_T_AMS,62,O1,T_AMS,RIM_ONE_r3,old,40,40,0.9654770647381122,0.44434296536889606,0.5351270508390931,0.48973500810399456
O1_s62_T_AMS,62,O1,T_AMS,Drishti_GS,current,25,25,0.989363683064235,0.7167971629153554,0.7651499216649497,0.7409735422901523
O2_s62_SRC_CE,62,O2,SRC_CE,Drishti_GS,source,25,25,0.9822998674965064,0.651530646158902,0.7189161741429807,0.6852234101509416
O2_s62_T_CE,62,O2,T_CE,Drishti_GS,old,25,25,0.9665258302354891,0.40807418136679247,0.3606612627832094,0.3843677220750009
O2_s62_T_CE,62,O2,T_CE,RIM_ONE_r3,current,40,40,0.9833147610538597,0.6993267241212406,0.6313142664263883,0.6653204952738145
O2_s62_T_CED,62,O2,T_CED,Drishti_GS,old,25,25,0.9627934515943568,0.3758053433799843,0.30117664967714103,0.3384909965285626
O2_s62_T_CED,62,O2,T_CED,RIM_ONE_r3,current,40,40,0.9844395663969742,0.6928640945727194,0.642161891982534,0.6675129932776267
O2_s62_T_LCTX,62,O2,T_LCTX,Drishti_GS,old,25,25,0.9619251170863318,0.4076018054289649,0.3891557463060943,0.3983787758675296
O2_s62_T_LCTX,62,O2,T_LCTX,RIM_ONE_r3,current,40,40,0.9879806684177084,0.7335142104878016,0.6537936273708389,0.6936539189293203
O2_s62_T_UCTX,62,O2,T_UCTX,Drishti_GS,old,25,25,0.9644829068540204,0.41025830726915347,0.43212388094995385,0.4211910941095536
