task_id,source_task_id,student_hash,EMA_hash,parent_student_hash,optimizer_state_empty,source_EMA_loaded,source_Adam_loaded,source_RNG_loaded,final_student_hash
O1_s63_T_CED,O1_s63_SRC_CE,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,True,False,False,False,ecd619bee46509e6f6af3acb25fa0f217927a592d0be39926c00d40d99e0ddf0
O1_s63_T_LCTX,O1_s63_SRC_CE,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,True,False,False,False,1630a0b72939a4321aa3d944648c05f602e0519224774b92301e9d5b272dceaf
O1_s63_T_UCTX,O1_s63_SRC_CE,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,True,False,False,False,8c807bdf85c894300c3cde02d47c80b66878b21a61243fb162ea8971542089e9
O1_s63_T_AMS,O1_s63_SRC_CE,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9,True,False,False,False,e22efe6c5975d3fcb7416092a408b96bb58b1e8156b5bd1a433a2c3ed4f4b070
O2_s63_SRC_CE,,0c48df7039d5be4f55af419e708b9158c7f0a3fe13e7f03f11981cf2ebacd040,0c48df7039d5be4f55af419e708b9158c7f0a3fe13e7f03f11981cf2ebacd040,,True,False,False,False,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69
O2_s63_T_CE,O2_s63_SRC_CE,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,True,False,False,False,819f10fad471a80870ea6dc0a83d58745a5fb5e3d4cc22f8b091ca219d34db6d
O2_s63_T_CED,O2_s63_SRC_CE,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,True,False,False,False,62113d224c29a4a1e6ed1c479449afaef9a7b702902eb2a51d5ee035781af67a
O2_s63_T_LCTX,O2_s63_SRC_CE,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,True,False,False,False,25802a492a11c1fc9787ec560ffa640fb510bddd6d8acf788b2e5a4c0ff60f6d
O2_s63_T_UCTX,O2_s63_SRC_CE,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,True,False,False,False,68f1f6a113f8e106860f415641431660178de2cbe1b4c2a48a54c30eb430fb08
O2_s63_T_AMS,O2_s63_SRC_CE,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69,True,False,False,False,5bfdeb08a1777073edfe733b01d405a7b304110a3342160b2aa29a8e8544e409
