arm,baseline,order,metric,resampling,replicates,analysis_seed,lower_95,upper_95,contains_zero,condition
T_UCTX,T_CED,both,Old,paired_patient_within_physical_domain,2000,2026090901,0.02721246878480681,0.06646815496600395,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CED,both,Forget,paired_patient_within_physical_domain,2000,2026090901,-0.06646815496600396,-0.027212468784806834,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CED,O1,Final,paired_patient_within_physical_domain,2000,2026090901,0.013836335861657948,0.05648830034985561,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CED,O1,Incoming,paired_patient_within_physical_domain,2000,2026090901,0.00019122554969208523,0.07157016756868616,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CED,O1,Old,paired_patient_within_physical_domain,2000,2026090901,0.010948913763066894,0.06107305876583275,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CED,O1,Forget,paired_patient_within_physical_domain,2000,2026090901,-0.061073058765832765,-0.0109489137630669,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CED,O2,Final,paired_patient_within_physical_domain,2000,2026090901,0.029329569513787075,0.07579975194437319,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CED,O2,Incoming,paired_patient_within_physical_domain,2000,2026090901,0.011136156127868328,0.08145089901960392,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CED,O2,Old,paired_patient_within_physical_domain,2000,2026090901,0.029367723636617056,0.08861448754409057,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
T_UCTX,T_CED,O2,Forget,paired_patient_within_physical_domain,2000,2026090901,-0.08861448754409058,-0.029367723636617098,False,fixed trained models and development cohort; shared weights across methods/seeds/orders/stages
