arm,stage,epoch,branch,class_id,pixels,reliable,conflicts,projected,drop_kl_mass,drop_gradient_l2_sum,r_q_norm_sum,r_p_norm_sum,nondegenerate,eta_sum,eta_max,residual_max,smoothing_l1_sum,conflict_rate,predicted_pixels,pas_accepted_pixels,prototype_valid_steps,log_eta_max,log_eta_logsumexp,finite_positive_eta_count,boundary_infinite_eta_count,analytical_brackets,iterations,compensated_v_difference_max
U0,1,35,labeled,1,721124,721124,237028,0,491246.8016124301,200862.76119107034,0.0,200862.76119107034,0,0.0,0.0,0.0,0.009300294562802415,0.32869243015070915,,,,,,,,,,
U0,1,35,labeled,2,174632,174632,30309,0,36521.22387262746,20255.180936169687,0.0,20255.180936169687,0,0.0,0.0,0.0,0.002279964371341002,0.17355925603554903,,,,,,,,,,
U0,1,35,unlabeled,0,8310223,7532155,6393375,0,12111.374829483664,1403.474549439151,0.0,1403.474549439151,0,0.0,0.0,0.0,0.11055856541094028,0.8488108648852818,8310223,7532155,32,,,,,,,
U0,1,35,unlabeled,1,756472,723066,197029,0,429966.9989987939,165729.28185598282,0.0,165729.28185598282,0,0.0,0.0,0.0,0.009741706655551982,0.2724910312474933,756472,723066,32,,,,,,,
U0,1,35,unlabeled,2,223033,215115,26721,0,32241.527445496464,19395.98370128967,0.0,19395.98370128967,0,0.0,0.0,0.0,0.0029011708384443793,0.1242172791297678,223033,215115,32,,,,,,,
U0,1,40,labeled,0,8541428,8541428,5078190,0,365651.7038774302,202494.40144108716,0.0,202494.40144108716,0,0.0,0.0,0.0,0.11360376921675903,0.5945364170955957,,,,,,,,,,
U0,1,40,labeled,1,721124,721124,245851,0,573254.529958095,222973.1764666358,0.0,222973.1764666358,0,0.0,0.0,0.0,0.009310898214354803,0.34092749651932264,,,,,,,,,,
U0,1,40,labeled,2,174632,174632,29093,0,40483.80031567823,20245.84485120867,0.0,20245.84485120867,0,0.0,0.0,0.0,0.002281354048629271,0.16659604196252692,,,,,,,,,,
U0,1,40,unlabeled,0,8280444,7460824,6128365,0,1970.4199764076113,220.22136087826038,0.0,220.22136087826038,0,0.0,0.0,0.0,0.1101801398127301,0.8214059197750812,8280444,7460824,32,,,,,,,
U0,1,40,unlabeled,1,812366,780466,229928,0,479411.4701244052,197658.52373439042,0.0,197658.52373439042,0,0.0,0.0,0.0,0.01045326745124578,0.29460348048473606,812366,780466,32,,,,,,,
U0,1,40,unlabeled,2,196918,190232,22211,0,29808.22098307172,14393.6046690337,0.0,14393.6046690337,0,0.0,0.0,0.0,0.0025697072963587575,0.11675743302914336,196918,190232,32,,,,,,,
U0,1,45,labeled,0,8541428,8541428,6494417,0,416835.12160035013,206098.4982195941,0.0,206098.4982195941,0,0.0,0.0,0.0,0.11360563107408453,0.7603432353465954,,,,,,,,,,
U0,1,45,labeled,1,721124,721124,255933,0,669379.9706869952,226471.9828366456,0.0,226471.9828366456,0,0.0,0.0,0.0,0.009304972148235226,0.35490844847765435,,,,,,,,,,
U0,1,45,labeled,2,174632,174632,32134,0,52460.683204467074,22422.341848993394,0.0,22422.341848993394,0,0.0,0.0,0.0,0.002282169662406583,0.18400980347244492,,,,,,,,,,
U0,1,45,unlabeled,0,8308903,7611000,6024850,0,4803.4501103726,1431.2221402385726,0.0,1431.2221402385726,0,0.0,0.0,0.0,0.11054287365274466,0.7915976875574826,8308903,7611000,32,,,,,,,
