protocol_id,seed,transition,update_batch,variant,class_id,region,margin_agreement_before,margin_agreement_after,margin_agreement_delta,margin_abs_error_after,metric_function,hidden_gt_usage
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,0,all,0.9880842600079781,0.9880987135162549,1.4453508276779381e-05,0.01190128648374511,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,0,boundary,0.8314975591203475,0.831426111125711,-7.144799463654206e-05,0.16857388887428904,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,0,interior,0.9910673158695831,0.9910834205395735,1.610466999046878e-05,0.008916579460426455,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,1,all,0.8027018820212352,0.802759974060652,5.8092039416868246e-05,0.19724002593934797,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,1,boundary,0.7485211104847956,0.7485739730134603,5.286252866465446e-05,0.2514260269865397,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,1,interior,0.8240149546477754,0.8240751223815046,6.016773372918838e-05,0.1759248776184954,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,2,all,0.8127206869826048,0.8119170852683243,-0.0008036017142805107,0.1880829147316757,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,2,boundary,0.7305873604513775,0.730543681374523,-4.367907685454142e-05,0.26945631862547703,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X0,2,interior,0.8394034996510095,0.83835302359415,-0.001050476056859484,0.16164697640585002,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,0,all,0.9880842600079781,0.9880324051405827,-5.185486739545109e-05,0.011967594859417341,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,0,boundary,0.8314975591203475,0.8311121211055859,-0.00038543801476165207,0.16888787889441415,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,0,interior,0.9910673158695831,0.9910218222787984,-4.5493590784650983e-05,0.008978177721201575,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,1,all,0.8027018820212352,0.8024075218915571,-0.0002943601296780951,0.19759247810844294,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,3,X1,1,boundary,0.7485211104847956,0.7478329066006207,-0.0006882038841748983,0.25216709339937926,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
