panel_id,seed,stage_index,domain,class_id,K,role,stratum,null_mass,registered_count,null_count,Q_null_worst_case,R95_null_worst_case,Q_directional_conditional,R95_directional
C0-student,0,1,RIM_ONE_r3,2,1,val,interior,0.0,17173,0,0.02666859943570455,0.3237430425253682,0.02666859943570455,0.3237430425253682
C0-student,0,1,RIM_ONE_r3,2,2,train_labeled,boundary,0.0,4931,0,0.0024518030127213806,0.11816928431775853,0.0024518030127213806,0.11816928431775853
C0-student,0,1,RIM_ONE_r3,2,2,train_labeled,interior,0.0,12909,0,0.002571971018768984,0.1068286162492933,0.002571971018768984,0.1068286162492933
C0-student,0,1,RIM_ONE_r3,2,2,val,boundary,0.0,5027,0,0.032666787416478354,0.42996197229529864,0.032666787416478354,0.42996197229529864
C0-student,0,1,RIM_ONE_r3,2,2,val,interior,0.0,17173,0,0.02202854393635658,0.28876881437671226,0.02202854393635658,0.28876881437671226
C0-student,0,1,RIM_ONE_r3,2,3,train_labeled,boundary,0.0,4931,0,0.0021556335320300074,0.1102537151539316,0.0021556335320300074,0.1102537151539316
C0-student,0,1,RIM_ONE_r3,2,3,train_labeled,interior,0.0,12909,0,0.0016375799120398745,0.09250944967207235,0.0016375799120398745,0.09250944967207235
C0-student,0,1,RIM_ONE_r3,2,3,val,boundary,0.0,5027,0,0.03157624188427703,0.4224123604545831,0.03157624188427703,0.4224123604545831
C0-student,0,1,RIM_ONE_r3,2,3,val,interior,0.0,17173,0,0.021404289153116964,0.2796442554515472,0.021404289153116964,0.2796442554515472
C0-student,0,1,RIM_ONE_r3,2,5,train_labeled,boundary,0.0,4931,0,0.0011989850231607783,0.08760633290122732,0.0011989850231607783,0.08760633290122732
C0-student,0,1,RIM_ONE_r3,2,5,train_labeled,interior,0.0,12909,0,0.0009432521541422231,0.07899979822205597,0.0009432521541422231,0.07899979822205597
C0-student,0,1,RIM_ONE_r3,2,5,val,boundary,0.0,5027,0,0.02760473170721128,0.38822790776283633,0.02760473170721128,0.38822790776283633
C0-student,0,1,RIM_ONE_r3,2,5,val,interior,0.0,17173,0,0.019560181189763253,0.2433068425369766,0.019560181189763253,0.2433068425369766
C0-student,0,2,Drishti_GS,0,1,train_labeled,boundary,0.0,862,0,0.2351580242945616,0.9475311452295345,0.2351580242945616,0.9475311452295345
C0-student,0,2,Drishti_GS,0,1,train_labeled,interior,0.0,15098,0,0.1598851610617963,0.7928407429059526,0.1598851610617963,0.7928407429059526
C0-student,0,2,Drishti_GS,0,1,val,boundary,0.0,651,0,0.23235190581436213,0.9754510922542553,0.23235190581436213,0.9754510922542553
C0-student,0,2,Drishti_GS,0,1,val,interior,0.0,12074,0,0.16370368457508527,0.7865216050570302,0.16370368457508527,0.7865216050570302
C0-student,0,2,Drishti_GS,0,2,train_labeled,boundary,0.0,862,0,0.10284441359392459,0.7592186158368358,0.10284441359392459,0.7592186158368358
C0-student,0,2,Drishti_GS,0,2,train_labeled,interior,0.0,15098,0,0.03513920036939842,0.5204989571007159,0.03513920036939842,0.5204989571007159
C0-student,0,2,Drishti_GS,0,2,val,boundary,0.0,651,0,0.09875832606372993,0.7987944613584143,0.09875832606372993,0.7987944613584143
C0-student,0,2,Drishti_GS,0,2,val,interior,0.0,12074,0,0.03384194836474504,0.5156351188167261,0.03384194836474504,0.5156351188167261
C0-student,0,2,Drishti_GS,0,3,train_labeled,boundary,0.0,862,0,0.04462868900134495,0.513357665267288,0.04462868900134495,0.513357665267288
C0-student,0,2,Drishti_GS,0,3,train_labeled,interior,0.0,15098,0,0.02247036531337336,0.42819197678795684,0.02247036531337336,0.42819197678795684
C0-student,0,2,Drishti_GS,0,3,val,boundary,0.0,651,0,0.0445877107031186,0.5144374853849775,0.0445877107031186,0.5144374853849775
C0-student,0,2,Drishti_GS,0,3,val,interior,0.0,12074,0,0.02259292594343338,0.42136339314956495,0.02259292594343338,0.42136339314956495
