panel_id,seed,stage_index,domain,class_id,K,role,slot,occupancy_active_conditional,null_mass
B0-EMA,0,1,RIM_ONE_r3,1,2,val,0,0.7282432432435173,0.0
B0-EMA,0,1,RIM_ONE_r3,1,2,val,1,0.2717567567567542,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,train_labeled,0,0.36255605381163003,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,train_labeled,1,0.12141255605381672,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,train_labeled,2,0.5160313901344777,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,val,0,0.33414414414414095,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,val,1,0.20689189189188997,0.0
B0-EMA,0,1,RIM_ONE_r3,1,3,val,2,0.45896396396395955,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,0,0.397141255605347,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,1,0.27449551569505093,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,2,0.07701793721973146,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,3,0.0908071748878943,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,4,0.1605381165919285,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,val,0,0.3536036036036002,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,val,1,0.24306306306306077,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,val,2,0.13130630630630513,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,val,3,0.08666666666666592,0.0
B0-EMA,0,1,RIM_ONE_r3,1,5,val,4,0.18536036036035863,0.0
B0-EMA,0,1,RIM_ONE_r3,2,1,train_labeled,0,0.9999999999998782,0.0
B0-EMA,0,1,RIM_ONE_r3,2,1,val,0,1.0000000000006062,0.0
B0-EMA,0,1,RIM_ONE_r3,2,2,train_labeled,0,0.6126121076232529,0.0
B0-EMA,0,1,RIM_ONE_r3,2,2,train_labeled,1,0.3873878923766489,0.0
B0-EMA,0,1,RIM_ONE_r3,2,2,val,0,0.6198198198199614,0.0
B0-EMA,0,1,RIM_ONE_r3,2,2,val,1,0.3801801801801766,0.0
B0-EMA,0,1,RIM_ONE_r3,2,3,train_labeled,0,0.374999999999969,0.0
B0-EMA,0,1,RIM_ONE_r3,2,3,train_labeled,1,0.3667600896860689,0.0
B0-EMA,0,1,RIM_ONE_r3,2,3,train_labeled,2,0.2582399103138874,0.0
B0-EMA,0,1,RIM_ONE_r3,2,3,val,0,0.29522522522522243,0.0
B0-EMA,0,1,RIM_ONE_r3,2,3,val,1,0.41963963963963563,0.0
B0-EMA,0,1,RIM_ONE_r3,2,3,val,2,0.28513513513513244,0.0
B0-EMA,0,1,RIM_ONE_r3,2,5,train_labeled,0,0.31973094170401295,0.0
B0-EMA,0,1,RIM_ONE_r3,2,5,train_labeled,1,0.2728139013452754,0.0
B0-EMA,0,1,RIM_ONE_r3,2,5,train_labeled,2,0.25936098654707107,0.0
B0-EMA,0,1,RIM_ONE_r3,2,5,train_labeled,3,0.06978699551569485,0.0
B0-EMA,0,1,RIM_ONE_r3,2,5,train_labeled,4,0.07830717488789303,0.0
B0-EMA,0,1,RIM_ONE_r3,2,5,val,0,0.3662162162162127,0.0
B0-EMA,0,1,RIM_ONE_r3,2,5,val,1,0.22211711711711504,0.0
B0-EMA,0,1,RIM_ONE_r3,2,5,val,2,0.23509009009008788,0.0
B0-EMA,0,1,RIM_ONE_r3,2,5,val,3,0.10954954954954858,0.0
B0-EMA,0,1,RIM_ONE_r3,2,5,val,4,0.06702702702702648,0.0
B0-EMA,0,2,Drishti_GS,0,1,train_labeled,0,0.9999999999997287,0.0
B0-EMA,0,2,Drishti_GS,0,1,val,0,1.0000000000000835,0.0
B0-EMA,0,2,Drishti_GS,0,2,train_labeled,0,0.5161027568921416,0.0
B0-EMA,0,2,Drishti_GS,0,2,train_labeled,1,0.4838972431076925,0.0
B0-EMA,0,2,Drishti_GS,0,2,val,0,0.5179567779961058,0.0
B0-EMA,0,2,Drishti_GS,0,2,val,1,0.4820432220039608,0.0
B0-EMA,0,2,Drishti_GS,0,3,train_labeled,0,0.27330827067669416,0.0
B0-EMA,0,2,Drishti_GS,0,3,train_labeled,1,0.426253132832025,0.0
B0-EMA,0,2,Drishti_GS,0,3,train_labeled,2,0.3004385964912203,0.0
B0-EMA,0,2,Drishti_GS,0,3,val,0,0.2609823182711292,0.0
B0-EMA,0,2,Drishti_GS,0,3,val,1,0.436385068762306,0.0
B0-EMA,0,2,Drishti_GS,0,3,val,2,0.30263261296661476,0.0
B0-EMA,0,2,Drishti_GS,0,5,train_labeled,0,0.27149122807017856,0.0
