arm,baseline,order,seed,domain,n,mean,q00,q05,q25,q50,q75,q95,q100,harm_below_minus005,harm_below_minus001
ISO_COND_LU,ISO_COND_L,O1,63,Drishti_GS,25,0.0005880312939338595,-0.0009953212733236905,-0.0003650943236702009,0.00010649394409045776,0.00041869611450540134,0.0009656748716495578,0.00260920925863341,0.00360976677791236,0,0
ISO_COND_LU,ISO_COND_L,O2,61,RIM_ONE_r3,40,-0.0003116621666224465,-0.021568959192896364,-0.0036725290039592907,-0.0009234193751379571,-0.00017056334168108478,0.0005985588987689472,0.004288215525071472,0.007910393073829347,0,1
ISO_COND_LU,ISO_COND_L,O2,61,Drishti_GS,25,-0.003218656093866903,-0.02300357151262372,-0.012440890305820894,-0.007042706772103502,-0.002621971866222872,0.0015943731294530972,0.004075551469397571,0.012432199918594788,0,2
ISO_COND_LU,ISO_COND_L,O2,62,RIM_ONE_r3,40,6.4426454989909706e-06,-0.005368136034676674,-0.0029182772633708277,-0.0011023797656845025,3.264441003450469e-05,0.00112725210912306,0.0030036976294062754,0.004669202283048568,0,0
ISO_COND_LU,ISO_COND_L,O2,62,Drishti_GS,25,0.0009668798038498172,-0.0019097428846922004,-0.0018144713080519236,1.6016320854794763e-05,0.0005991862711431373,0.0018888217190640433,0.00443738474104153,0.006186395981202131,0,0
ISO_COND_LU,ISO_COND_L,O2,63,RIM_ONE_r3,40,0.0011781813100559552,-0.004169714148854586,-0.0014154212932402542,-0.00019764112432674175,0.0008724774362898757,0.0022893757465767828,0.005502568853827444,0.00853091448601817,0,0
ISO_COND_LU,ISO_COND_L,O2,63,Drishti_GS,25,0.003963523929262359,-0.0034135747775663194,-0.002189704957023969,-0.0007854200824053414,0.0024576433413816545,0.0060558219721825735,0.013333348794549981,0.02156714820725053,0,0
ISO_COND_LU,ISO_RANDOM_LU,O1,61,RIM_ONE_r3,40,-0.06475213721449499,-0.2825262004879153,-0.17406041764620195,-0.13357383207289025,-0.0825480307672897,-0.004112501661375112,0.1114851052251756,0.14690094768436768,22,26
ISO_COND_LU,ISO_RANDOM_LU,O1,61,Drishti_GS,25,0.07592408124200721,-0.17043635481577502,-0.1468512967025813,-0.007568461690093287,0.09412087500418687,0.15101995901254373,0.19460243004844563,0.35463167772424786,3,4
ISO_COND_LU,ISO_RANDOM_LU,O1,62,RIM_ONE_r3,40,0.016086820861335338,-0.05670161432909315,-0.029631227105494828,-0.0011054416487156493,0.015081514240164379,0.032254535629772915,0.05782652952974559,0.1279900621074216,2,8
ISO_COND_LU,ISO_RANDOM_LU,O1,62,Drishti_GS,25,-0.0010517632039822279,-0.10576389985714596,-0.08138272636368517,-0.024802006040066105,0.005944205943530623,0.020839848008071926,0.056502399370707855,0.10189607683643664,4,10
ISO_COND_LU,ISO_RANDOM_LU,O1,63,RIM_ONE_r3,40,0.020427507097771285,-0.1368588837433592,-0.08362706496962545,-0.024392658968872827,0.022077956017859002,0.05262864201353107,0.14040231287538588,0.22329595677525588,7,14
ISO_COND_LU,ISO_RANDOM_LU,O1,63,Drishti_GS,25,-0.0004539617208276536,-0.12077911059712032,-0.04038400453973419,-0.016451484750888312,0.0007644489820058942,0.010617353717750189,0.052789915157111546,0.10429519094145823,1,9
ISO_COND_LU,ISO_RANDOM_LU,O2,61,RIM_ONE_r3,40,-0.00021012314752470937,-0.06815158006458921,-0.05305971149262657,-0.019158896099358586,-0.0004988328492591676,0.019124362069440237,0.04685629722684384,0.05389996823848742,3,12
ISO_COND_LU,ISO_RANDOM_LU,O2,61,Drishti_GS,25,0.05115191213285271,-0.12489400148870228,-0.049744464829402896,-0.00558987546734635,0.03786807295632358,0.10080531619637012,0.16609017493495093,0.2204898415059653,2,4
ISO_COND_LU,ISO_RANDOM_LU,O2,62,RIM_ONE_r3,40,-0.0016918937189532158,-0.10669969153921241,-0.05304490577054143,-0.008416834567569753,0.002350969911269929,0.01421602827594004,0.03302919821948926,0.06966951219746031,3,9
ISO_COND_LU,ISO_RANDOM_LU,O2,62,Drishti_GS,25,-0.004356546093462528,-0.12912983415502943,-0.07219958620798834,-0.009597468003922915,0.0052942084476497175,0.016469908940497602,0.03161894420389629,0.03759973728589591,3,6
ISO_COND_LU,ISO_RANDOM_LU,O2,63,RIM_ONE_r3,40,0.012886131723262906,-0.09928618956758228,-0.041291661696854304,-0.012661403407678433,0.008800771314783129,0.03435810514770467,0.09614856105406232,0.12012240207619651,2,12
ISO_COND_LU,ISO_RANDOM_LU,O2,63,Drishti_GS,25,0.053015012928705814,-0.09877927874066467,-0.0747776881194135,0.010074544018078058,0.04907198868908136,0.09130866942277582,0.1711580988673296,0.2255963585367906,2,3
ISO_COND_LU,F_FULL,O1,61,RIM_ONE_r3,40,0.03865842415760591,-0.2127570810263819,-0.16130612978409267,-0.074656372205003,0.030141688284608226,0.14808443771795468,0.24075378408228662,0.31203025138837287,12,14
ISO_COND_LU,F_FULL,O1,61,Drishti_GS,25,-0.09883549158514693,-0.41846596630526595,-0.3448097785618669,-0.15573662620718653,-0.05324816755401485,-0.008602628004243607,0.06109551104187558,0.07785082281243794,13,18
