arm,baseline,metric,scope,order,seed,delta,sample_SD
ISO_COND_LU,ISO_GLOBAL_LU,Forget,seed_order,O2,63,-0.05772420491184421,
ISO_COND_LU,ISO_GLOBAL_LU,Forget,seed_order_average,both,61,-0.016906935416854063,
ISO_COND_LU,ISO_GLOBAL_LU,Forget,seed_order_average,both,62,-0.0034727937176533274,
ISO_COND_LU,ISO_GLOBAL_LU,Forget,seed_order_average,both,63,0.0021223122415614804,
ISO_COND_LU,ISO_GLOBAL_LU,Forget,overall,both,,-0.00608580563098197,0.00978002761017199
ISO_COND_LU,ISO_COND_L,Final,seed_order,O1,61,-8.202413661817509e-05,
ISO_COND_LU,ISO_COND_L,Final,seed_order,O1,62,-3.80566732752774e-05,
ISO_COND_LU,ISO_COND_L,Final,seed_order,O1,63,-0.002031536827463931,
ISO_COND_LU,ISO_COND_L,Final,seed_order,O2,61,-0.0017651591302446645,
ISO_COND_LU,ISO_COND_L,Final,seed_order,O2,62,0.00048666122467438955,
ISO_COND_LU,ISO_COND_L,Final,seed_order,O2,63,0.002570852619659114,
ISO_COND_LU,ISO_COND_L,Final,seed_order_average,both,61,-0.0009235916334314198,
ISO_COND_LU,ISO_COND_L,Final,seed_order_average,both,62,0.00022430227569955608,
ISO_COND_LU,ISO_COND_L,Final,seed_order_average,both,63,0.0002696578960975915,
ISO_COND_LU,ISO_COND_L,Final,overall,both,,-0.00014321048721142407,0.0006762102728494654
ISO_COND_LU,ISO_COND_L,Incoming,seed_order,O1,61,0.00041984281965368186,
ISO_COND_LU,ISO_COND_L,Incoming,seed_order,O1,62,0.00011787652333961063,
ISO_COND_LU,ISO_COND_L,Incoming,seed_order,O1,63,0.0005880312939339216,
ISO_COND_LU,ISO_COND_L,Incoming,seed_order,O2,61,-0.0003116621666224839,
ISO_COND_LU,ISO_COND_L,Incoming,seed_order,O2,62,6.442645498982991e-06,
ISO_COND_LU,ISO_COND_L,Incoming,seed_order,O2,63,0.0011781813100558702,
ISO_COND_LU,ISO_COND_L,Incoming,seed_order_average,both,61,5.4090326515598974e-05,
ISO_COND_LU,ISO_COND_L,Incoming,seed_order_average,both,62,6.215958441929681e-05,
ISO_COND_LU,ISO_COND_L,Incoming,seed_order_average,both,63,0.0008831063019948959,
ISO_COND_LU,ISO_COND_L,Incoming,overall,both,,0.0003331187376432639,0.00047632029028465663
ISO_COND_LU,ISO_COND_L,Old,seed_order,O1,61,-0.000583891092890032,
ISO_COND_LU,ISO_COND_L,Old,seed_order,O1,62,-0.00019398986989016542,
ISO_COND_LU,ISO_COND_L,Old,seed_order,O1,63,-0.004651104948861895,
ISO_COND_LU,ISO_COND_L,Old,seed_order,O2,61,-0.003218656093866845,
ISO_COND_LU,ISO_COND_L,Old,seed_order,O2,62,0.0009668798038497961,
ISO_COND_LU,ISO_COND_L,Old,seed_order,O2,63,0.003963523929262414,
ISO_COND_LU,ISO_COND_L,Old,seed_order_average,both,61,-0.0019012735933784386,
ISO_COND_LU,ISO_COND_L,Old,seed_order_average,both,62,0.00038644496697981534,
ISO_COND_LU,ISO_COND_L,Old,seed_order_average,both,63,-0.0003437905097997407,
ISO_COND_LU,ISO_COND_L,Old,overall,both,,-0.0006195397120661213,0.001168521403212119
ISO_COND_LU,ISO_COND_L,Forget,seed_order,O1,61,0.000583891092890032,
ISO_COND_LU,ISO_COND_L,Forget,seed_order,O1,62,0.00019398986989016542,
ISO_COND_LU,ISO_COND_L,Forget,seed_order,O1,63,0.004651104948861895,
ISO_COND_LU,ISO_COND_L,Forget,seed_order,O2,61,0.003218656093866845,
ISO_COND_LU,ISO_COND_L,Forget,seed_order,O2,62,-0.0009668798038497961,
ISO_COND_LU,ISO_COND_L,Forget,seed_order,O2,63,-0.003963523929262414,
ISO_COND_LU,ISO_COND_L,Forget,seed_order_average,both,61,0.0019012735933784386,
ISO_COND_LU,ISO_COND_L,Forget,seed_order_average,both,62,-0.00038644496697981534,
ISO_COND_LU,ISO_COND_L,Forget,seed_order_average,both,63,0.0003437905097997407,
ISO_COND_LU,ISO_COND_L,Forget,overall,both,,0.0006195397120661213,0.001168521403212119
ISO_COND_LU,ISO_RANDOM_LU,Final,seed_order,O1,61,0.005585972013756102,
ISO_COND_LU,ISO_RANDOM_LU,Final,seed_order,O1,62,0.007517528828676623,
ISO_COND_LU,ISO_RANDOM_LU,Final,seed_order,O1,63,0.009986772688471923,
ISO_COND_LU,ISO_RANDOM_LU,Final,seed_order,O2,61,0.02547089449266393,
ISO_COND_LU,ISO_RANDOM_LU,Final,seed_order,O2,62,-0.0030242199062078257,
ISO_COND_LU,ISO_RANDOM_LU,Final,seed_order,O2,63,0.03295057232598436,
ISO_COND_LU,ISO_RANDOM_LU,Final,seed_order_average,both,61,0.015528433253210017,
ISO_COND_LU,ISO_RANDOM_LU,Final,seed_order_average,both,62,0.0022466544612343986,
ISO_COND_LU,ISO_RANDOM_LU,Final,seed_order_average,both,63,0.021468672507228143,
ISO_COND_LU,ISO_RANDOM_LU,Final,overall,both,,0.013081253407224186,0.009841900799087375
ISO_COND_LU,ISO_RANDOM_LU,Incoming,seed_order,O1,61,0.07592408124200734,
ISO_COND_LU,ISO_RANDOM_LU,Incoming,seed_order,O1,62,-0.0010517632039821478,
ISO_COND_LU,ISO_RANDOM_LU,Incoming,seed_order,O1,63,-0.00045396172082767805,
ISO_COND_LU,ISO_RANDOM_LU,Incoming,seed_order,O2,61,-0.00021012314752477668,
ISO_COND_LU,ISO_RANDOM_LU,Incoming,seed_order,O2,62,-0.0016918937189531746,
ISO_COND_LU,ISO_RANDOM_LU,Incoming,seed_order,O2,63,0.012886131723262917,
ISO_COND_LU,ISO_RANDOM_LU,Incoming,seed_order_average,both,61,0.03785697904724128,
ISO_COND_LU,ISO_RANDOM_LU,Incoming,seed_order_average,both,62,-0.0013718284614676612,
ISO_COND_LU,ISO_RANDOM_LU,Incoming,seed_order_average,both,63,0.006216085001217619,
ISO_COND_LU,ISO_RANDOM_LU,Incoming,overall,both,,0.014233745195663746,0.020807137979165686
ISO_COND_LU,ISO_RANDOM_LU,Old,seed_order,O1,61,-0.06475213721449513,
ISO_COND_LU,ISO_RANDOM_LU,Old,seed_order,O1,62,0.016086820861335283,
ISO_COND_LU,ISO_RANDOM_LU,Old,seed_order,O1,63,0.020427507097771302,
ISO_COND_LU,ISO_RANDOM_LU,Old,seed_order,O2,61,0.051151912132852695,
ISO_COND_LU,ISO_RANDOM_LU,Old,seed_order,O2,62,-0.004356546093462532,
ISO_COND_LU,ISO_RANDOM_LU,Old,seed_order,O2,63,0.05301501292870586,
ISO_COND_LU,ISO_RANDOM_LU,Old,seed_order_average,both,61,-0.006800112540821218,
ISO_COND_LU,ISO_RANDOM_LU,Old,seed_order_average,both,62,0.005865137383936375,
ISO_COND_LU,ISO_RANDOM_LU,Old,seed_order_average,both,63,0.03672126001323858,
ISO_COND_LU,ISO_RANDOM_LU,Old,overall,both,,0.01192876161878458,0.02238533272911967
ISO_COND_LU,ISO_RANDOM_LU,Forget,seed_order,O1,61,0.06475213721449513,
ISO_COND_LU,ISO_RANDOM_LU,Forget,seed_order,O1,62,-0.016086820861335283,
ISO_COND_LU,ISO_RANDOM_LU,Forget,seed_order,O1,63,-0.020427507097771302,
