task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O2_s61_SCALE_LU,61,O2,SCALE_LU,RIM_ONE_r3,current,40,40,0.9804416712230403,0.6599875619620524,0.6240048185629792,0.6419961902625158
O2_s61_AFFINE_LU,61,O2,AFFINE_LU,Drishti_GS,old,25,25,0.9751382481092763,0.5246917236302848,0.4609506231398363,0.49282117338506054
O2_s61_AFFINE_LU,61,O2,AFFINE_LU,RIM_ONE_r3,current,40,40,0.9828941352991549,0.6618587112642574,0.632316449259479,0.6470875802618682
O2_s61_ISO_GLOBAL_LU,61,O2,ISO_GLOBAL_LU,Drishti_GS,old,25,25,0.9718526254190946,0.4842574554163776,0.44131112328916017,0.46278428935276894
O2_s61_ISO_GLOBAL_LU,61,O2,ISO_GLOBAL_LU,RIM_ONE_r3,current,40,40,0.9810715867398919,0.6452946385205929,0.618225378315335,0.6317600084179639
O2_s61_ISO_COND_L,61,O2,ISO_COND_L,Drishti_GS,old,25,25,0.9764577432842536,0.5490542103130565,0.46196644727984043,0.5055103287964484
O2_s61_ISO_COND_L,61,O2,ISO_COND_L,RIM_ONE_r3,current,40,40,0.9820501506050553,0.6596186453331464,0.6283791118001704,0.6439988785666584
O2_s61_ISO_COND_LU,61,O2,ISO_COND_LU,Drishti_GS,old,25,25,0.976296455529248,0.5463265429432632,0.4582568024618998,0.5022916727025816
O2_s61_ISO_COND_LU,61,O2,ISO_COND_LU,RIM_ONE_r3,current,40,40,0.9820353099330518,0.6595779665680295,0.6277964662320423,0.6436872164000359
O2_s61_ISO_RANDOM_LU,61,O2,ISO_RANDOM_LU,Drishti_GS,old,25,25,0.9807294060532677,0.5917917965245464,0.3104877246149113,0.4511397605697289
O2_s61_ISO_RANDOM_LU,61,O2,ISO_RANDOM_LU,RIM_ONE_r3,current,40,40,0.9823902083320775,0.6570195840033666,0.6307750950917548,0.6438973395475607
O1_s62_SCALE_LU,62,O1,SCALE_LU,RIM_ONE_r3,old,40,40,0.9863749792014154,0.6635876715370733,0.6453452925663063,0.6544664820516898
O1_s62_SCALE_LU,62,O1,SCALE_LU,Drishti_GS,current,25,25,0.974625858377852,0.5550187782564306,0.681780776504394,0.6183997773804123
O1_s62_AFFINE_LU,62,O1,AFFINE_LU,RIM_ONE_r3,old,40,40,0.9845925181794873,0.6275943881457156,0.633615568695373,0.6306049784205443
O1_s62_AFFINE_LU,62,O1,AFFINE_LU,Drishti_GS,current,25,25,0.9777692532411661,0.5914689338864068,0.7061941356790711,0.6488315347827388
O1_s62_ISO_GLOBAL_LU,62,O1,ISO_GLOBAL_LU,RIM_ONE_r3,old,40,40,0.9855559457116365,0.630022464205337,0.6296331717020581,0.6298278179536976
O1_s62_ISO_GLOBAL_LU,62,O1,ISO_GLOBAL_LU,Drishti_GS,current,25,25,0.9772941788790205,0.5865535581196454,0.707038664983928,0.6467961115517866
