node_id,family,seed,order,stage,domain,origin,rim,cup,disc_union,macro_Dice
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O1__STAGE1,B0_PARENT_LCTX,162,1,1,RIM_ONE_r3,historical_import,0.7092620440394606,0.6581969492222672,0.8735307214734593,0.6837294966308639
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O1__STAGE2,B0_PARENT_LCTX,162,1,2,REFUGE,historical_import,0.6256784598190525,0.6579338008779313,0.8716841066289107,0.6418061303484919
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O1__STAGE2,B0_PARENT_LCTX,162,1,2,RIM_ONE_r3,historical_import,0.5153017848792315,0.5622361403866865,0.8238815622839958,0.538768962632959
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O1__STAGE2,B0_PARENT_LCTX,162,1,2,Drishti_GS,historical_import,0.7167670732366298,0.7431909858740832,0.9296024322193478,0.7299790295553565
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O2__STAGE1,B0_PARENT_LCTX,162,2,1,REFUGE,historical_import,0.6477703828774878,0.6657442981422094,0.8873600076857094,0.6567573405098486
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O2__STAGE1,B0_PARENT_LCTX,162,2,1,Drishti_GS,historical_import,0.6807319439169527,0.7481698933054064,0.9303637377170982,0.7144509186111796
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O2__STAGE2,B0_PARENT_LCTX,162,2,2,REFUGE,historical_import,0.665226557059713,0.7488852622889357,0.8328028012308525,0.7070559096743243
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O2__STAGE2,B0_PARENT_LCTX,162,2,2,Drishti_GS,historical_import,0.4891669037557764,0.403847716036134,0.7909556029246787,0.4465073098959552
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O2__STAGE2,B0_PARENT_LCTX,162,2,2,RIM_ONE_r3,historical_import,0.714075247924723,0.6542365908675281,0.865545721809713,0.6841559193961255
D__F5__SELECTED_AFTER_C__S162__O1__STAGE1,F5,162,1,1,REFUGE,historical_import,0.6276713157770178,0.7304405958372265,0.7952138385260968,0.6790559558071222
D__F5__SELECTED_AFTER_C__S162__O1__STAGE1,F5,162,1,1,RIM_ONE_r3,historical_import,0.7058011117171639,0.6463649360343546,0.8747533973228693,0.6760830238757592
D__F5__SELECTED_AFTER_C__S162__O1__STAGE2,F5,162,1,2,REFUGE,historical_import,0.6896340922167619,0.685840677747634,0.8955339017252948,0.6877373849821979
D__F5__SELECTED_AFTER_C__S162__O1__STAGE2,F5,162,1,2,RIM_ONE_r3,historical_import,0.5125896560606817,0.5804455224335165,0.8229451751056484,0.5465175892470991
D__F5__SELECTED_AFTER_C__S162__O1__STAGE2,F5,162,1,2,Drishti_GS,historical_import,0.7378184835355259,0.7474593857900769,0.9379644305810716,0.7426389346628014
D__F5__SELECTED_AFTER_C__S162__O2__STAGE1,F5,162,2,1,REFUGE,historical_import,0.6460038967905558,0.6628769736462339,0.8877002639030303,0.6544404352183948
D__F5__SELECTED_AFTER_C__S162__O2__STAGE1,F5,162,2,1,Drishti_GS,historical_import,0.6981450794874775,0.7573395925910422,0.9366651251196106,0.7277423360392599
D__F5__SELECTED_AFTER_C__S162__O2__STAGE2,F5,162,2,2,REFUGE,historical_import,0.6844099893397515,0.7324062598598978,0.8451229080475763,0.7084081245998246
D__F5__SELECTED_AFTER_C__S162__O2__STAGE2,F5,162,2,2,Drishti_GS,historical_import,0.45260106409290857,0.43214737458314195,0.7880886157931397,0.44237421933802523
D__F5__SELECTED_AFTER_C__S162__O2__STAGE2,F5,162,2,2,RIM_ONE_r3,historical_import,0.7242048424392011,0.6844232101986469,0.8835391387140454,0.704314026318924
