run_name,checkpoint,checkpoint_name,checkpoint_sha256,method_name,site_id,site_index,region,class_id,pixel_count,pixel_fraction,pseudo_valid_coverage,pseudo_label_accuracy,admission_fraction,assim_effective_sample_size,compatibility_available,old_relation_accuracy,rejection_fraction,consolidation_weight_mean,cons_effective_sample_size,raw_l_mean,raw_l_p10,raw_l_p50,raw_l_p90,raw_c_mean,raw_c_p10,raw_c_p50,raw_c_p90,calibrated_c_mean,calibrated_c_p10,calibrated_c_p50,calibrated_c_p90
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,interior,2,16476,0.02837714947089947,0.8106336489439184,0.690251572327044,1.0,13355.999999999998,True,0.6277615926195679,0.0,1.0,16476.0,0.4662734396050477,0.0,0.6278997361660004,0.7302698194980621,0.7974795957801818,0.3616921752691269,0.9567655920982361,0.9958091378211975,0.7974795957801818,0.3616921752691269,0.9567655920982361,0.9958091378211975
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,all,0,325014,0.8601530741869918,0.9830499609247602,0.9724323563011533,1.0,319505.0,True,0.95103595537423,0.0,1.0,325014.0,0.5677874602583248,0.18209444135427474,0.6937216222286224,0.7302425503730774,0.9600611781760463,0.9462232053279878,0.9978199601173401,0.9995241165161133,0.9600611781760463,0.9462232053279878,0.9978199601173401,0.9995241165161133
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,all,1,31818,0.08420668191056911,0.865579231881325,0.6352347409317018,1.0,27541.0,True,0.47680558174618143,0.0,1.0,31818.0,0.5100311758879471,0.0,0.6599785685539246,0.7284608900547027,0.6355680694359389,0.0,0.8183539509773254,0.9889855086803436,0.6355680694359389,0.0,0.8183539509773254,0.9889855086803436
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,all,2,21024,0.055640243902439025,0.8979737442922374,0.8792308914667091,1.0,18879.0,True,0.6965848554033486,0.0,1.0,21024.0,0.5486804827910605,0.0,0.6952605545520782,0.7302970945835113,0.6875587651061137,0.0,0.9170010387897491,0.996063619852066,0.6875587651061137,0.0,0.9170010387897491,0.996063619852066
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,boundary,0,9181,0.02429761602303523,0.8068837817231238,0.5658747300215983,1.0,7407.999999999999,True,0.5172639146062521,0.0,1.0,9180.999999999998,0.22009979935305926,0.0,0.11968933045864105,0.6890149712562561,0.7982421025938944,0.37984251976013184,0.9353834390640259,0.996614396572113,0.7982421025938944,0.37984251976013184,0.9353834390640259,0.996614396572113
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,boundary,1,6233,0.016495702066395664,0.8182255735600834,0.6025490196078431,1.0,5099.999999999999,True,0.46590726776832986,0.0,1.0,6232.999999999999,0.45281163545033437,0.0,0.577038586139679,0.727099084854126,0.5432262087816673,0.0,0.7050286531448364,0.9833710670471192,0.5432262087816673,0.0,0.7050286531448364,0.9833710670471192
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,boundary,2,2469,0.006534235264227643,0.7962737950587282,0.5462868769074263,1.0,1965.999999999999,True,0.46780072904009723,0.0,1.0,2468.999999999999,0.3948993802646989,0.0,0.4232282340526581,0.7237237095832825,0.6144116674170785,0.0,0.8229851126670837,0.9923199057579041,0.6144116674170785,0.0,0.8229851126670837,0.9923199057579041
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,interior,0,315833,0.8358554581639567,0.9881709637688272,0.9820824935837256,1.0,312097.0,True,0.9636453442167221,0.0,1.0,315833.0,0.5778944484918889,0.20591118335723876,0.697600781917572,0.730258584022522,0.964765122769929,0.9582117319107055,0.9979100227355957,0.9995311498641968,0.964765122769929,0.9582117319107055,0.9979100227355957,0.9995311498641968
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,interior,1,25585,0.06771097984417344,0.8771154973617354,0.6426629829330244,1.0,22441.0,True,0.4794606214578855,0.0,1.0,25585.0,0.523970960744216,0.0,0.6753972172737122,0.7286521196365356,0.6580643296453614,0.0,0.840592086315155,0.9896663546562194,0.6580643296453614,0.0,0.840592086315155,0.9896663546562194
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,interior,2,18555,0.04910600863821138,0.9115063325249259,0.9179329509844498,1.0,16913.0,True,0.7270277553220156,0.0,1.0,18555.0,0.5691431905322402,0.10539394319057467,0.7059802412986755,0.730366337299347,0.6972920005787209,0.0,0.9262444376945496,0.9963290095329285,0.6972920005787209,0.0,0.9262444376945496,0.9963290095329285
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,small_component,0,24,6.351626016260163e-05,0.9166666666666666,0.09090909090909091,1.0,21.999999999999,True,0.08333333333333333,0.0,1.0,23.999999999999,0.09959185558060805,0.07311943471431732,0.11298796534538269,0.12400531619787215,0.9413052846988043,0.871751356124878,0.9699634313583374,0.9860579133033752,0.9413052846988043,0.871751356124878,0.9699634313583374,0.9860579133033752
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,small_component,2,1,2.646510840108401e-06,0.0,nan,nan,0.0,True,0.0,0.0,1.0,0.9999999999989999,0.0,0.0,0.0,0.0,0.7314794063568115,0.7314794063568115,0.7314794063568115,0.7314794063568115,0.7314794063568115,0.7314794063568115,0.7314794063568115,0.7314794063568115
