run_name,checkpoint,checkpoint_name,checkpoint_sha256,method_name,site_id,site_index,route,scope,class_id,valid_count,weighted_pixel_count,effective_pixel_count,effective_fraction_of_valid,weight_mean_over_valid
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,consolidation,class,1,37967,37967.0,37967.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site1_RIM_ONE_r3.pt,checkpoint_final_site1_RIM_ONE_r3.pt,d1fa3d4c4872e549b5278dbeef966ff304fe5786aa76b0d8b482674879e073c3,lcrseg_v0_2,RIM_ONE_r3,1,consolidation,class,2,31592,31592.0,31592.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,assimilation,global,,365925,365925.0,365925.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,assimilation,class,0,319505,319505.0,319505.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,assimilation,class,1,27541,27541.0,27541.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,assimilation,class,2,18879,18879.0,18879.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,consolidation,global,,377856,377856.0,377856.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,consolidation,class,0,326041,326041.0,326041.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,consolidation,class,1,33542,33542.0,33542.0,1.0,1.0
fundus_seed0_lcrseg_v0_2_r0_uniform_full200e,/home/jiangsuiyang/SSL_CL/runs/fundus_seed0_lcrseg_v0_2_r0_uniform_full200e/checkpoint_final_site2_Drishti_GS.pt,checkpoint_final_site2_Drishti_GS.pt,e86aceefa2324a59d58df3ee434647bf24728d53fcd0717424812cd947f21467,lcrseg_v0_2,Drishti_GS,2,consolidation,class,2,18273,18273.0,18273.0,1.0,1.0
