task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O2_s63_F_FULL,63,O2,F_FULL,RIM_ONE_r3,current,40,40,0.9883778854968917,0.7424819752569652,0.6755174226037026,0.7089996989303339
O2_s63_F_CONV,63,O2,F_CONV,Drishti_GS,old,25,25,0.9693312401285376,0.4548875065474844,0.4669539860679926,0.46092074630773844
O2_s63_F_CONV,63,O2,F_CONV,RIM_ONE_r3,current,40,40,0.9883589291088419,0.7299427162752543,0.6815050832825534,0.7057238997789039
O2_s63_LR_FREE,63,O2,LR_FREE,Drishti_GS,old,25,25,0.9722364889687738,0.48907540094578184,0.4448426170899588,0.46695900901787035
O2_s63_LR_FREE,63,O2,LR_FREE,RIM_ONE_r3,current,40,40,0.9862686375367066,0.7026127091794406,0.6459977312739921,0.6743052202267164
O2_s63_LR_RAND,63,O2,LR_RAND,Drishti_GS,old,25,25,0.9623025939503562,0.4352192543049079,0.41398806951722295,0.42460366191106547
O2_s63_LR_RAND,63,O2,LR_RAND,RIM_ONE_r3,current,40,40,0.9850516148509498,0.6802029565931098,0.6300562861055785,0.6551296213493443
O2_s63_LR_SRC_A,63,O2,LR_SRC_A,Drishti_GS,old,25,25,0.969369236489586,0.46809297583753634,0.4506811712817001,0.45938707355961816
O2_s63_LR_SRC_A,63,O2,LR_SRC_A,RIM_ONE_r3,current,40,40,0.9851450547437919,0.6777265449165601,0.6123976505806452,0.6450620977486027
O2_s63_LR_SRC_AB,63,O2,LR_SRC_AB,Drishti_GS,old,25,25,0.9619969904253294,0.4069755683989328,0.4177363698175131,0.41235596910822303
O2_s63_LR_SRC_AB,63,O2,LR_SRC_AB,RIM_ONE_r3,current,40,40,0.9850107446547076,0.6797906000030857,0.6459668093786759,0.6628787046908808
O1_s61_STATIC_SOURCE,61,O1,STATIC_SOURCE,Drishti_GS,current,25,25,0.96680033811174,0.4130254639374586,0.40386802010549266,0.4084467420214757
O1_s61_STATIC_SOURCE,61,O1,STATIC_SOURCE,RIM_ONE_r3,old,40,40,0.9870295243146344,0.7330696983532834,0.6843997261414897,0.7087347122473866
O2_s61_STATIC_SOURCE,61,O2,STATIC_SOURCE,RIM_ONE_r3,current,40,40,0.9695949581797787,0.3758596472815504,0.5231675051186173,0.449513576200084
O2_s61_STATIC_SOURCE,61,O2,STATIC_SOURCE,Drishti_GS,old,25,25,0.9821261576384483,0.6503829136719266,0.7484186011624524,0.6994007574171895
O1_s62_STATIC_SOURCE,62,O1,STATIC_SOURCE,Drishti_GS,current,25,25,0.9718779139382362,0.4956278691886478,0.47049081087526917,0.4830593400319585
O1_s62_STATIC_SOURCE,62,O1,STATIC_SOURCE,RIM_ONE_r3,old,40,40,0.9865761254490637,0.7218951195876834,0.6675720556087968,0.6947335875982402
O2_s62_STATIC_SOURCE,62,O2,STATIC_SOURCE,RIM_ONE_r3,current,40,40,0.9688549864618551,0.3018931402038553,0.47201220713037306,0.38695267366711417
O2_s62_STATIC_SOURCE,62,O2,STATIC_SOURCE,Drishti_GS,old,25,25,0.9822998674965064,0.651530646158902,0.7189161741429807,0.6852234101509416
O1_s63_STATIC_SOURCE,63,O1,STATIC_SOURCE,Drishti_GS,current,25,25,0.9618283036842211,0.3506009993967057,0.49873930161269137,0.42467015050469853
O1_s63_STATIC_SOURCE,63,O1,STATIC_SOURCE,RIM_ONE_r3,old,40,40,0.9881517883445639,0.7231632762247024,0.6465945539123543,0.6848789150685283
O2_s63_STATIC_SOURCE,63,O2,STATIC_SOURCE,RIM_ONE_r3,current,40,40,0.9608498788839348,0.28154445389947913,0.434212943318402,0.35787869860894056
O2_s63_STATIC_SOURCE,63,O2,STATIC_SOURCE,Drishti_GS,old,25,25,0.9808198078250472,0.578734016718385,0.6931475476371536,0.6359407821777693
