seed,stage_index,domain,partition,method,registered_count,counts,mass,source_null_mass,target_null_mass,full_null_aware_support_error,AA_conditional_error,support_constant_term,minimum_raw_output_norm,all_original_rows_used,finite
1,2,Drishti_GS,holdout,T0,18432,"{'AA': 18432, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.0047484395556555824,0.0047484395556555824,0.0,0.9999999999999998,18432,True
1,2,Drishti_GS,holdout,T1,18432,"{'AA': 18432, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.0038495962161886085,0.0038495962161886085,0.0,0.9999999999999983,18432,True
1,2,Drishti_GS,holdout,T2,18432,"{'AA': 18432, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.0027742500129166446,0.0027742500129166446,0.0,0.9247699534517125,18432,True
2,1,RIM_ONE_r3,fit,T0,102400,"{'AA': 102400, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.03428930159471742,0.03428930159471742,0.0,0.9999999999999998,102400,True
2,1,RIM_ONE_r3,fit,T1,102400,"{'AA': 102400, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.025796718197470838,0.025796718197470838,0.0,0.999999999999999,102400,True
2,1,RIM_ONE_r3,fit,T2,102400,"{'AA': 102400, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.017867209206386448,0.017867209206386448,0.0,0.850855504658371,102400,True
2,1,RIM_ONE_r3,holdout,T0,26624,"{'AA': 26624, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.034900255032890605,0.034900255032890605,0.0,0.9999999999999997,26624,True
2,1,RIM_ONE_r3,holdout,T1,26624,"{'AA': 26624, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.02627613868425726,0.02627613868425726,0.0,0.9999999999999991,26624,True
2,1,RIM_ONE_r3,holdout,T2,26624,"{'AA': 26624, 'A_NULL': 0, 'NULL_A': 0, 'NULL_NULL': 0}","{'AA': 1.0, 'A_NULL': 0.0, 'NULL_A': 0.0, 'NULL_NULL': 0.0}",0.0,0.0,0.018249191601239466,0.018249191601239466,0.0,0.8618918220748466,26624,True
2,2,Drishti_GS,fit,T0,65536,"{'AA': 65535, 'A_NULL': 0, 'NULL_A': 1, 'NULL_NULL': 0}","{'AA': 0.9999847412109375, 'A_NULL': 0.0, 'NULL_A': 1.52587890625e-05, 'NULL_NULL': 0.0}",1.52587890625e-05,0.0,0.0037558883041860836,0.003725427571574566,3.0517578125e-05,0.9999999999999998,65536,True
2,2,Drishti_GS,fit,T1,65536,"{'AA': 65535, 'A_NULL': 0, 'NULL_A': 1, 'NULL_NULL': 0}","{'AA': 0.9999847412109375, 'A_NULL': 0.0, 'NULL_A': 1.52587890625e-05, 'NULL_NULL': 0.0}",1.52587890625e-05,0.0,0.0028845055797920693,0.002854031550732479,3.0517578125e-05,0.9999999999999992,65536,True
2,2,Drishti_GS,fit,T2,65536,"{'AA': 65535, 'A_NULL': 0, 'NULL_A': 1, 'NULL_NULL': 0}","{'AA': 0.9999847412109375, 'A_NULL': 0.0, 'NULL_A': 1.52587890625e-05, 'NULL_NULL': 0.0}",1.52587890625e-05,0.0,0.0021100499623124126,0.0020795641158175976,3.0517578125e-05,0.9512236826763673,65536,True
2,2,Drishti_GS,holdout,T0,18432,"{'AA': 18431, 'A_NULL': 0, 'NULL_A': 1, 'NULL_NULL': 0}","{'AA': 0.9999457465277779, 'A_NULL': 0.0, 'NULL_A': 5.4253472222222206e-05, 'NULL_NULL': 0.0}",5.4253472222222206e-05,0.0,0.0034133289100849126,0.0033050012734352503,0.00010850694444444441,0.9999999999999998,18432,True
2,2,Drishti_GS,holdout,T1,18432,"{'AA': 18431, 'A_NULL': 0, 'NULL_A': 1, 'NULL_NULL': 0}","{'AA': 0.9999457465277779, 'A_NULL': 0.0, 'NULL_A': 5.4253472222222206e-05, 'NULL_NULL': 0.0}",5.4253472222222206e-05,0.0,0.0026096418219811964,0.0025012705801506926,0.00010850694444444441,0.9999999999999992,18432,True
2,2,Drishti_GS,holdout,T2,18432,"{'AA': 18431, 'A_NULL': 0, 'NULL_A': 1, 'NULL_NULL': 0}","{'AA': 0.9999457465277779, 'A_NULL': 0.0, 'NULL_A': 5.4253472222222206e-05, 'NULL_NULL': 0.0}",5.4253472222222206e-05,0.0,0.0018818902674450164,0.0017734795404235545,0.00010850694444444441,0.9514948627895449,18432,True
