seed,source_stage,target_stage,source_domain,kind,method,foreground_macro_angular_error,class_id,mean_angular_error,matched_angles,matching,inactive_oracle_slots,units
1,0,1,REFUGE,immediate,T1,0.0331571061609006,2,0.04159763918755373,"[0.047771529306251774, 0.035423749068855676]","[[0, 1], [1, 0]]",0,radians
1,0,1,REFUGE,immediate,T2,0.03316018005638433,0,0.019542852912427126,"[0.01681389464447531, 0.022271811180378947]","[[0, 0], [1, 1]]",0,radians
1,0,1,REFUGE,immediate,T2,0.03316018005638433,1,0.024726903916031193,"[0.011352218982020587, 0.0381015888500418]","[[0, 0], [1, 1]]",0,radians
1,0,1,REFUGE,immediate,T2,0.03316018005638433,2,0.041593456196737474,"[0.04777857373388624, 0.03540833865958871]","[[0, 1], [1, 0]]",0,radians
1,1,2,RIM_ONE_r3,immediate,T0,0.2655170303358798,0,0.052832127480261074,"[0.05909595350301373, 0.04656830145750842]","[[0, 0], [1, 1]]",0,radians
1,1,2,RIM_ONE_r3,immediate,T0,0.2655170303358798,1,0.4378231562280013,"[0.5002062739285782, 0.37544003852742436]","[[0, 1], [1, 0]]",0,radians
1,1,2,RIM_ONE_r3,immediate,T0,0.2655170303358798,2,0.09321090444375839,"[0.07533474217726266, 0.11108706671025412]","[[0, 1], [1, 0]]",0,radians
1,1,2,RIM_ONE_r3,immediate,T1,0.27185811747578115,0,0.04004926345346881,"[0.043428110126769906, 0.03667041678016772]","[[0, 0], [1, 1]]",0,radians
1,1,2,RIM_ONE_r3,immediate,T1,0.27185811747578115,1,0.44627499061159764,"[0.5191153492085386, 0.37343463201465665]","[[0, 1], [1, 0]]",0,radians
1,1,2,RIM_ONE_r3,immediate,T1,0.27185811747578115,2,0.09744124433996464,"[0.08717410980174937, 0.1077083788781799]","[[0, 1], [1, 0]]",0,radians
1,1,2,RIM_ONE_r3,immediate,T2,0.26263941884233727,0,0.04706348273231746,"[0.05708847336547782, 0.03703849209915709]","[[0, 0], [1, 1]]",0,radians
1,1,2,RIM_ONE_r3,immediate,T2,0.26263941884233727,1,0.4368696292816458,"[0.5580195942270207, 0.31571966433627086]","[[0, 1], [1, 0]]",0,radians
1,1,2,RIM_ONE_r3,immediate,T2,0.26263941884233727,2,0.08840920840302877,"[0.12292262530607405, 0.05389579149998347]","[[0, 1], [1, 0]]",0,radians
2,0,1,REFUGE,immediate,T0,0.5295668687412691,0,0.07728775016371932,"[0.0788752329263771, 0.07570026740106153]","[[0, 1], [1, 0]]",0,radians
2,0,1,REFUGE,immediate,T0,0.5295668687412691,1,0.4913160168328625,"[0.4499473464493729, 0.5326846872163522]","[[0, 0], [1, 1]]",0,radians
2,0,1,REFUGE,immediate,T0,0.5295668687412691,2,0.5678177206496756,"[0.6995538330661225, 0.4360816082332288]","[[0, 0], [1, 1]]",0,radians
2,0,1,REFUGE,immediate,T1,0.4998014893943342,0,0.05509364267139125,"[0.05947156870707802, 0.05071571663570449]","[[0, 1], [1, 0]]",0,radians
2,0,1,REFUGE,immediate,T1,0.4998014893943342,1,0.4754030348036613,"[0.49474009953429293, 0.45606597007302974]","[[0, 0], [1, 1]]",0,radians
2,0,1,REFUGE,immediate,T1,0.4998014893943342,2,0.5241999439850071,"[0.6398325529286333, 0.4085673350413811]","[[0, 0], [1, 1]]",0,radians
2,0,1,REFUGE,immediate,T2,0.4813454907513909,0,0.07979196269315816,"[0.06362588146351783, 0.0959580439227985]","[[0, 1], [1, 0]]",0,radians
2,0,1,REFUGE,immediate,T2,0.4813454907513909,1,0.4711743720505267,"[0.5096679920314555, 0.4326807520695979]","[[0, 0], [1, 1]]",0,radians
2,0,1,REFUGE,immediate,T2,0.4813454907513909,2,0.4915166094522551,"[0.6270171122837175, 0.35601610662079275]","[[0, 0], [1, 1]]",0,radians
2,1,2,RIM_ONE_r3,immediate,T0,0.2741447157186616,0,0.04636219557880633,"[0.042301882815442324, 0.050422508342170345]","[[0, 0], [1, 1]]",0,radians
2,1,2,RIM_ONE_r3,immediate,T0,0.2741447157186616,1,0.10965529299256307,"[0.11927271439825239, 0.10003787158687374]","[[0, 1], [1, 0]]",0,radians
2,1,2,RIM_ONE_r3,immediate,T0,0.2741447157186616,2,0.4386341384447602,"[0.619271535130542, 0.25799674175897835]","[[0, 0], [1, 1]]",0,radians
2,1,2,RIM_ONE_r3,immediate,T1,0.26645597993024084,0,0.032600471607537554,"[0.027020487215225614, 0.0381804559998495]","[[0, 0], [1, 1]]",0,radians
2,1,2,RIM_ONE_r3,immediate,T1,0.26645597993024084,1,0.09473580946346015,"[0.09858127497984101, 0.09089034394707929]","[[0, 1], [1, 0]]",0,radians
2,1,2,RIM_ONE_r3,immediate,T1,0.26645597993024084,2,0.4381761503970215,"[0.611266872886107, 0.265085427907936]","[[0, 0], [1, 1]]",0,radians
2,1,2,RIM_ONE_r3,immediate,T2,0.2556891540760843,0,0.05351587947152431,"[0.03862399847737731, 0.0684077604656713]","[[0, 0], [1, 1]]",0,radians
2,1,2,RIM_ONE_r3,immediate,T2,0.2556891540760843,1,0.09114941715451266,"[0.09575955752054643, 0.08653927678847889]","[[0, 1], [1, 0]]",0,radians
2,1,2,RIM_ONE_r3,immediate,T2,0.2556891540760843,2,0.42022889099765587,"[0.591985687764746, 0.2484720942305657]","[[0, 0], [1, 1]]",0,radians
