candidate,seed,stage_index,point_kind,class_id,requested_coverage,achieved_coverage,reason,predicted_retained_fraction,true_retained_fraction,true_class_recall,predicted_composition,true_composition,predicted_full_mass,true_full_mass
R0,0,1,registered,1,0.4,0.4000001695367976,,0.0001471886959081543,0.02256115177195685,4.5743451463790437e-05,2.9669855045803976e-05,0.003971945880488987,0.08063083224826385,0.07042100694444445
R0,0,1,registered,2,0.4,0.4000001695367976,,7.226879544595408e-05,0.005468627206555851,0.0,5.510115937077882e-06,0.0004276697677316602,0.030497911241319432,0.031281704372829844
R0,0,1,registered,0,0.5,0.5000001695353424,,0.5624289498540469,0.5536248580460456,0.5535946600965995,0.9998535156746704,0.9946390805938446,0.8888712565104139,0.8982972886827228
R0,0,1,registered,1,0.5,0.5000001695353424,,0.0007864081752807101,0.03406442604006162,0.0003924306625577812,0.0001268174483176516,0.004797700738626879,0.08063083224826385,0.07042100694444445
R0,0,1,registered,2,0.5,0.5000001695353424,,0.00032243001045117976,0.009002368473824846,0.0,1.9666877011828324e-05,0.000563218667528394,0.030497911241319432,0.031281704372829844
R1,0,1,matched_global,0,0.35607961018413814,0.35607961018413814,,0.35259049785838664,0.35144128206904285,0.3451425560261614,0.880161486075659,0.886595979608074,0.8888712565104139,0.8982972886827228
R1,0,1,matched_global,1,0.35607961018413814,0.35607961018413814,,0.38123133857605446,0.371887037750385,0.2763867488443759,0.08632620130146865,0.07354720382355774,0.08063083224826385,0.07042100694444445
R1,0,1,matched_global,2,0.35607961018413814,0.35607961018413814,,0.39127437682061783,0.4536901038984973,0.24651639233199832,0.03351231262287278,0.039856816568368626,0.030497911241319432,0.031281704372829844
R1,0,1,registered,0,0.05,0.050000169541890765,,0.04947073840270895,0.0493090992272535,0.04842014709043716,0.87945936598251,0.885881598980038,0.8888712565104139,0.8982972886827228
R1,0,1,registered,1,0.05,0.050000169541890765,,0.053564069136633176,0.05229680277349767,0.038809707241910615,0.08637801656759786,0.07365562047112197,0.08063083224826385,0.07042100694444445
