phase,batch_id,seed,stage_index,domain,pair_index,candidate,normalization,draw_index,teacher_kind,block,class_id,cosine,zero_gradient,supervised_zero,unsupervised_zero,supervised_norm,unsupervised_norm,norm_ratio,negative_cosine,undefined_reason,dot_background,dot_rim,dot_cup,dot_total,projection_fraction,component_vector_sha256,total_vector_sha256,component_sum_max_abs_error,component_sum_pass,nonadditive_norm_sum,total_norm
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,pixel_normalized,0,stochastic,classifier.mu,2,-0.9497070481650562,False,False,False,0.829207198203823,0.08183966359225081,0.04934813866155937,True,,0.0420220201265466,-0.0020963361189250875,0.006697730536892783,0.046623414544514276,0.09954641094752614,159b47c16f3204293628302f49932a2ef2411607934511385c9dfedeee1f048f,c5e90b3a745b358751127b179e6556875a18cbf71672063fc080320ddcf3c878,3.0531133177191805e-16,True,0.7419993805458649,0.6843672761308884
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,global,0,-0.5429950944724948,False,False,False,1.0271621968922553,0.30494559709278574,0.14844081977287427,True,,0.09299181718627562,-0.15694844897488486,0.09605263192744656,0.03209600013883742,0.011224979632088546,f0b664af37a754d5ca7bc1993040323ded79efe676c819238d0d1b1c98f4dc8f,f01200c9360ed78964dae7f4fff2bdd4d8325463850a80767c60677081c90cd1,8.881784197001252e-16,True,2.9354345442451386,1.690957435663579
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,global,1,0.7304472589278151,False,False,False,1.0271621968922553,2.1012538061540162,1.0228442073274764,False,,-0.15694844897488486,4.4152675578767395,-0.9036102631048599,3.3547088457969974,1.1732470807193411,c2ef4bd0cd9576135c1dd092b4216a6e1d9f4f7849710d4796f12d9112e8f785,f01200c9360ed78964dae7f4fff2bdd4d8325463850a80767c60677081c90cd1,8.881784197001252e-16,True,2.9354345442451386,1.690957435663579
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,global,2,-0.7800042242327317,False,False,False,1.0271621968922553,0.5292351409983365,0.25762004413692946,True,,0.09605263192744656,-0.9036102631048599,0.2800898344675291,-0.5274677967098853,-0.18447206035142882,8c861bcc0c4616781dc40f5cd96a4e4269b4687929436befe040c56df92fe826,f01200c9360ed78964dae7f4fff2bdd4d8325463850a80767c60677081c90cd1,8.881784197001252e-16,True,2.9354345442451386,1.690957435663579
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,encoder,0,-0.1697690590504412,False,False,False,0.3421462687844098,0.13146277180406937,0.1921148698641889,True,,0.017282460370408814,-0.04643935157687453,0.021869090053578413,-0.007287801152887364,-0.015055310250632005,67e215da0e027d8cfb2dbf3667478f1c798271c1c0c9dafcfa7a99038a243bde,817032538241def285479d0ca7946538a2796f0c2c132d1fa12f23070603e277,2.2898349882893854e-16,True,1.3897914966055325,0.695750300223725
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,encoder,1,0.6449000298546642,False,False,False,0.3421462687844098,0.9402849594846693,1.3740979301416165,False,,-0.04643935157687453,0.8841358050330862,-0.23468054937619148,0.6030159040800211,1.245724373035783,c752224316bf26dd53ce15a80176985aeaa321721b5304cbfd5dd7b9334baeee,817032538241def285479d0ca7946538a2796f0c2c132d1fa12f23070603e277,2.2898349882893854e-16,True,1.3897914966055325,0.695750300223725
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,encoder,2,-0.527515300262514,False,False,False,0.3421462687844098,0.3180437653167937,0.46477748602483904,True,,0.021869090053578413,-0.23468054937619148,0.10115183665688372,-0.11165962266572935,-0.230669062785149,a5a73889bbc3213d5072ed3d4fb6c9952ee2b10006975870442a3df908f2d6ce,817032538241def285479d0ca7946538a2796f0c2c132d1fa12f23070603e277,2.2898349882893854e-16,True,1.3897914966055325,0.695750300223725
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,bottleneck,0,-0.6301849236967628,False,False,False,0.05273349924161261,0.018789100114241265,0.17815146334357584,True,,0.00035303028310298116,-0.00033387901465339247,0.0002552989655416618,0.00027445023399125186,0.29282102512129604,f131796a3ae1e4d36231b4b245ce413631709b6d8b7aa11d98c66d7140576c3c,08f82e4ae876a1635d044e9ef4610db91752133b63d6f9c1af1189dcba9762e5,3.903127820947816e-18,True,0.0692974798343226,0.030614746969339322
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,bottleneck,1,0.3048065807436752,False,False,False,0.05273349924161261,0.032112155023757236,0.3044758596108597,False,,-0.00033387901465339247,0.0010311905002698169,-0.00031410951811515557,0.00038320196750126715,0.40885224005965076,48e9ed70d1daa22c1dc7bf8308caff42336c064245f41c3e89b2096fdb9bbf01,08f82e4ae876a1635d044e9ef4610db91752133b63d6f9c1af1189dcba9762e5,3.903127820947816e-18,True,0.0692974798343226,0.030614746969339322
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,bottleneck,2,-0.8935981485346991,False,False,False,0.05273349924161261,0.01839622469632411,0.17442636048137913,True,,0.0002552989655416618,-0.00031410951811515557,0.000338421083077645,0.0002796105305041513,0.29832673481905214,2ad09b6e80eff91fd81487e23c94cd0c1353a6bbd3c8ff25c0b8901ef3e92098,08f82e4ae876a1635d044e9ef4610db91752133b63d6f9c1af1189dcba9762e5,3.903127820947816e-18,True,0.0692974798343226,0.030614746969339322
