candidate,seed,stage_index,class_id,requested_coverage,precision,achieved_coverage,reason,point_kind
R1,0,1,0,0.35300555028872554,0.9890993454597302,0.35300555028872554,,maximum_support
R1,0,1,1,0.05,0.6498417661819283,0.05000020476126072,,registered
R1,0,1,1,0.1,0.6506816816098512,0.10000063340122393,,registered
R1,0,1,1,0.2,0.6512472154552642,0.2000012679776666,,registered
R1,0,1,1,0.3,0.6492966492678797,0.3000017520144595,,registered
R1,0,1,1,0.4,0.6493116377823587,0.4000009098376494,,registered
R1,0,1,1,0.5,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,1,1,0.40500197672424626,0.6494996626775632,0.40500197672424626,,maximum_support
R1,0,1,2,0.05,0.6512830932399266,0.05000064254493782,,registered
R1,0,1,2,0.1,0.6496762900859938,0.10000377323225733,,registered
R1,0,1,2,0.2,0.6517182348308245,0.20000135299313812,,registered
R1,0,1,2,0.3,0.6514642545487105,0.30000088482103165,,registered
R1,0,1,2,0.4,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,1,2,0.5,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,1,2,0.3641043721105768,0.6509853924536178,0.3641043721105768,,maximum_support
R1,0,1,foreground_macro,0.05,0.6505624297109275,0.05000042365309927,,registered
R1,0,1,foreground_macro,0.1,0.6501789858479226,0.10000220331674063,,registered
R1,0,1,foreground_macro,0.2,0.6514827251430444,0.20000131048540237,,registered
R1,0,1,foreground_macro,0.3,0.6503804519082951,0.3000013184177456,,registered
R1,0,1,foreground_macro,0.4,,,FOREGROUND_CLASS_UNSUPPORTED,registered
R1,0,1,foreground_macro,0.5,,,FOREGROUND_CLASS_UNSUPPORTED,registered
R2,0,1,overall,0.05,0.9989318883874337,0.050000169541890765,,registered
R2,0,1,overall,0.1,0.9981875980163701,0.10000016954116317,,registered
R2,0,1,overall,0.2,0.9971279592489026,0.20000016953970798,,registered
R2,0,1,overall,0.3,0.9968668637498338,0.3000001695382528,,registered
R2,0,1,overall,0.4,0.9965451573074566,0.4000001695367976,,registered
R2,0,1,overall,0.5,0.9961137572856494,0.5000001695353424,,registered
R2,0,1,overall,0.9999999999859658,0.9107126871745254,0.9999999999859658,,maximum_support
R2,0,1,0,0.05,0.9990521906377461,0.050000005710666484,,registered
R2,0,1,0,0.1,0.9982112372605678,0.10000001105437606,,registered
R2,0,1,0,0.2,0.9972661171024926,0.2000000803547909,,registered
R2,0,1,0,0.3,0.9969254209837494,0.3000001632912826,,registered
R2,0,1,0,0.4,0.9966393457057363,0.40000006080960676,,registered
R2,0,1,0,0.5,0.9962952010173509,0.5000000748564175,,registered
R2,0,1,0,1.0,0.9686675798439771,1.0000000000052278,,maximum_support
R2,0,1,1,0.05,0.2689220969609507,0.05000092203110199,,registered
R2,0,1,1,0.1,0.27818216860630074,0.10000194119746521,,registered
R2,0,1,1,0.2,0.3357464772430454,0.20000033074665,,registered
R2,0,1,1,0.3,0.41493401399199126,0.3000010625704389,,registered
R2,0,1,1,0.4,0.4623033113208965,0.4000005471773038,,registered
R2,0,1,1,0.5,0.4882874499936062,0.5000022041930692,,registered
R2,0,1,1,1.0,0.5004726877990087,1.0000000000001699,,maximum_support
