candidate,seed,stage_index,class_id,maximum_supported_coverage,common_upper_bound,common_support_AURC,reference_common_support_AURC,full_support_AURC,actual_shared_points,reliability_ECE_15,probability_ECE_15,multiclass_Brier,calibration_probability_available_mass,positive_pixel_count,full_valid_pixel_count,null_count,null_case_balanced_mass,case_count,ranked_coverage_sha256,ranked_risk_sha256,full_curve_storage
R2,1,2,overall,1.0,0.3783192274355587,0.002879961451424582,0.044916541806503486,0.02887998368348066,"[0.05, 0.1, 0.2, 0.3]",0.08831323632822324,0.1270061695868444,0.3164935933309355,1.000000000000004,3686400,3686400,0,0.0,25,be3fa21b7ed4817a005d1838bd123c7496335ecf2d2650f4661c4ed07ce5a42c,cc911d0cf293c50e8849d7113d7c0ffe4e274fc1fa1a2dc8e41ba0eb053f749c,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R2,1,2,0,0.9999999999896342,0.42182037960155605,0.0027485853234340885,0.012213406464211941,0.007174266808495397,"[0.05, 0.1, 0.2, 0.3, 0.4]",0.08383721912157935,0.04146270920726401,0.14468552154589084,0.9999999999999998,2999306,2999306,0,0.0,25,f9f02fadb22a1c301b701c47b04263bff5ba2dfc6d19239a688e2d562124fefb,8551f46479513b70a0d6a3e02039c0b180160dc21694e71c0f7273a5937e8213,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R2,1,2,1,1.0,0.29478232898902307,0.2659730128948869,0.35692702626680023,0.3891119413174985,"[0.05, 0.1, 0.2]",0.1823423979535254,0.42271086902963695,0.982062795995089,1.0000000000000002,482981,482981,0,0.0,25,24611869f3437c6eebd761bd3da7eabea66f63fd86638d96501d8ea9de3a277e,60ce661b750f677e7b8e48b2375fc11b9844a811aa41503d4fe5acea22f0f86a,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R2,1,2,2,1.0,0.05397773614129288,0.0313180090923013,0.11398688886535142,0.4228055136099528,[0.05],0.06235219973736015,0.468635805920782,0.9420540875917929,1.0000000000000002,204113,204113,0,0.0,25,676bcc1c5a1edd8790bf86f5ef3e82d158dc492ccb6f1309231addebe78c7e38,7cd1a6179744d421dbb44e7f41df5c843e9a880356163d7b0f23b64f205ccdd2,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R2,1,2,foreground_macro,1.0,,0.1486455109935941,0.23545695756607582,0.40595872746372563,[0.05],0.12234729884544276,0.4456733374752095,0.962058441793441,1.0000000000000002,687094,687094,0,0.0,25,,,equal rim/cup macro; class-specific common-support bounds and raw curve hashes are reported separately
R3,1,2,overall,1.0,0.3783192274355587,0.002829061949529642,0.044916541806503486,0.02849448888356111,"[0.05, 0.1, 0.2, 0.3]",0.09615925520436076,0.1270061695868444,0.3164935933309355,1.000000000000004,3686400,3686400,0,0.0,25,be3fa21b7ed4817a005d1838bd123c7496335ecf2d2650f4661c4ed07ce5a42c,ddeacdc503a6e4501d5e7a822bbe689fa7adff5c1efef769a90a62467c651868,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,2,0,0.9999999999896392,0.42182037960155605,0.002742016604193516,0.012213406464211941,0.00717675771663554,"[0.05, 0.1, 0.2, 0.3, 0.4]",0.08417107397187626,0.04146270920726401,0.14468552154589084,0.9999999999999998,2999306,2999306,0,0.0,25,e9a96b15a6707af48ff148c4f03b157217c16c63b6673e024558c8f9233aae4d,b758ab6c59b3619288a0234784b2b647b4544d5448b4ab01156f49af290324ce,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,2,1,1.0,0.29478232898902307,0.25358726766527634,0.35692702626680023,0.38277127893149443,"[0.05, 0.1, 0.2]",0.21333273531026453,0.42271086902963695,0.982062795995089,1.0000000000000002,482981,482981,0,0.0,25,5a283c34159e0063d3ff364d857d8aacdb1c346480d8216c949f47090c732354,0c918a5ed23220e75470147272a2dbd63e896fb4f04ad26c7f71765def2def4a,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,2,2,1.0,0.05397773614129288,0.022677407692290378,0.11398688886535142,0.4196875363093018,[0.05],0.10931989907293685,0.468635805920782,0.9420540875917929,1.0000000000000002,204113,204113,0,0.0,25,4446af927b7b69bd8ee5c8aeb508c3d8ff85bcdee6063194275ec8271ff2a620,1d3186135da7bbc51e282ca5af0168d2023c24ff40fd792d7e59c454f228c6aa,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R3,1,2,foreground_macro,1.0,,0.13813233767878336,0.23545695756607582,0.4012294076203981,[0.05],0.16132631719160068,0.4456733374752095,0.962058441793441,1.0000000000000002,687094,687094,0,0.0,25,,,equal rim/cup macro; class-specific common-support bounds and raw curve hashes are reported separately
R0,2,0,overall,0.9999999997552335,0.24137946235922106,0.011668425824783231,0.009027025436447688,0.042324938398726045,"[0.05, 0.1, 0.2]",0.0842294705281661,0.0842294705281661,0.22513321715302806,0.9999999999999684,14745600,14745600,86,5.832248263888887e-06,100,5774ed8874f968377d2431020f35100ea922d2522cda6d9d3b06a19ddb28bf88,25a098355a7a900c1ef58427200ab377d5480aba642faddd32b0f3920d013c2f,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
R0,2,0,0,1.0,0.26834666801240437,0.009330634604765348,0.0025476618188912175,0.02333405928411088,"[0.05, 0.1, 0.2]",0.03887242746037624,0.03887242746037624,0.12921875308315245,0.9999999999999996,13078553,13078553,85,6.274718326661365e-06,100,e82d35703d259b8c277a8ba575ba369265b957b59ebd0bc46f9ae39b3362cc63,10829ded5ca0364ccdf7310e7fc5b7a8ca7660899b05e935ad74a5381ace1ce6,exact ranked steps reconstructible from immutable per-pixel caches and full SHA tie rule
