node_id,arm,seed,order,origin,domain,rim,cup,disc_union,macro_Dice,domain_role,delta_A0_rim_pp,delta_A0_cup_pp,delta_A0_disc_union_pp,delta_A0_macro_Dice_pp
AGMS__A2__S163__O2__STAGE2,A2,163,2,new_execution,REFUGE,0.6883014416434909,0.7519059236884316,0.8445491160512607,0.7201036826659613,source,4.01735286089131,-1.1289892223440012,3.057530767691974,1.44418181927366
AGMS__A2__S163__O2__STAGE2,A2,163,2,new_execution,Drishti_GS,0.552217720926151,0.4396516065095967,0.8654590938084626,0.49593466371787387,first_target,3.290952197956376,-8.264265807067645,2.939268034801046,-2.4866568045556314
AGMS__A2__S163__O2__STAGE2,A2,163,2,new_execution,RIM_ONE_r3,0.7437558029419766,0.6563914708444927,0.8884888771527955,0.7000736368932347,incoming,-0.44668068029420915,-2.1811091570408503,-0.5887523928537419,-1.3138949186675242
AGMS__A3__S163__O2__STAGE2,A3,163,2,new_execution,REFUGE,0.6882581644570693,0.7537938823181131,0.8446925771098185,0.7210260233875911,source,4.013025142249149,-0.9401933593758516,3.071876873547752,1.5364158914366488
AGMS__A3__S163__O2__STAGE2,A3,163,2,new_execution,Drishti_GS,0.5522006358357894,0.4414864345899003,0.8663408940801739,0.49684353521284486,first_target,3.289243688920218,-8.08078299903729,3.027448061972171,-2.395769655058533
AGMS__A3__S163__O2__STAGE2,A3,163,2,new_execution,RIM_ONE_r3,0.7437764390023227,0.6564414119164605,0.8885700397905429,0.7001089254593916,incoming,-0.4446170742596012,-2.176115049844063,-0.580636129078993,-1.3103660620518265
AGMS__A4__S163__O2__STAGE2,A4,163,2,new_execution,REFUGE,0.6876176193381055,0.7532836234869437,0.8444016851424603,0.7204506214125246,source,3.948970630352766,-0.9912192424927913,3.042787676811931,1.478875693929993
AGMS__A4__S163__O2__STAGE2,A4,163,2,new_execution,Drishti_GS,0.5524445229897741,0.4412260197839059,0.8664015538716492,0.49683527138684,first_target,3.3136324043186893,-8.106824479636726,3.0335140411197004,-2.3965960376590156
AGMS__A4__S163__O2__STAGE2,A4,163,2,new_execution,RIM_ONE_r3,0.743823863077037,0.656742673219477,0.8886010245805233,0.7002832681482569,incoming,-0.4398746667881759,-2.1459889195424187,-0.5775376500809615,-1.2929317931652973
AGMS__A5__S163__O2__STAGE2,A5,163,2,new_execution,REFUGE,0.6879508212856932,0.7535080308044253,0.8445807299703801,0.7207294260450592,source,3.982290825111534,-0.9687785107446278,3.060692159603917,1.5067561571834531
AGMS__A5__S163__O2__STAGE2,A5,163,2,new_execution,Drishti_GS,0.5523310115723183,0.44148852693922913,0.8663036005645872,0.49690976925577374,first_target,3.3022812625731146,-8.080573764104404,3.0237187104135033,-2.389146250765645
AGMS__A5__S163__O2__STAGE2,A5,163,2,new_execution,RIM_ONE_r3,0.7437433074010231,0.6566242946807621,0.8885407662900418,0.7001838010408926,incoming,-0.4479302343895597,-2.1578267734139067,-0.5835634791291122,-1.3028785039017277
