peak_allocated,peak_reserved,task,training_seconds,updates_per_second
1553088000,1593835520,s262__DINOV2_VITS14_QUERY__Drishti_GS__B2,263.1468201428652,3.800159923867176
1552032256,1591738368,s262__DINOV2_VITS14_QUERY__Drishti_GS__B3,282.2711869212799,3.542692440227281
701194240,782237696,s263__UNET_QUERY_128__RIM_ONE_r3__QUERY_PREFIX,198.19115285715088,10.091267804681113
701194240,782237696,s263__UNET_QUERY_128__RIM_ONE_r3__B0,193.52965920511633,5.1671666457084475
712139264,780140544,s263__UNET_QUERY_128__RIM_ONE_r3__B1,203.5921358880587,4.911781074637535
708243456,784334848,s263__UNET_QUERY_128__RIM_ONE_r3__B2,169.80345723684877,5.889161600550684
719974912,794820608,s263__UNET_QUERY_128__RIM_ONE_r3__B3,154.55379277979955,6.470239144663046
701194240,782237696,s263__UNET_QUERY_128__Drishti_GS__QUERY_PREFIX,369.3854600992054,5.414398280492314
701194240,782237696,s263__UNET_QUERY_128__Drishti_GS__B0,189.54649072512984,5.27575053578885
712139264,780140544,s263__UNET_QUERY_128__Drishti_GS__B1,184.99775966769084,5.4054708651406775
708243456,784334848,s263__UNET_QUERY_128__Drishti_GS__B2,172.438928052783,5.799154583551477
717091328,803209216,s263__UNET_QUERY_128__Drishti_GS__B3,186.978592753876,5.34820583079434
1541901312,1574961152,s263__DINOV2_VITS14_QUERY__RIM_ONE_r3__QUERY_PREFIX,467.7595686139539,4.275700881814815
1545133568,1593835520,s263__DINOV2_VITS14_QUERY__RIM_ONE_r3__B0,275.699543450959,3.6271369458320426
1546940928,1577058304,s263__DINOV2_VITS14_QUERY__RIM_ONE_r3__B1,264.8316011209972,3.775984420919301
1553088000,1593835520,s263__DINOV2_VITS14_QUERY__RIM_ONE_r3__B2,327.1906056976877,3.056322469490349
1555071488,1593835520,s263__DINOV2_VITS14_QUERY__RIM_ONE_r3__B3,236.51269003609195,4.228102939624083
1541850112,1574961152,s263__DINOV2_VITS14_QUERY__Drishti_GS__QUERY_PREFIX,484.366590666119,4.129103944286342
1546205696,1593835520,s263__DINOV2_VITS14_QUERY__Drishti_GS__B0,293.9879960617982,3.4014994264928884
1544890880,1577058304,s263__DINOV2_VITS14_QUERY__Drishti_GS__B1,267.5245745750144,3.737974358387768
1551939072,1593835520,s263__DINOV2_VITS14_QUERY__Drishti_GS__B2,324.40985643910244,3.0825203986603222
1550941184,1591738368,s263__DINOV2_VITS14_QUERY__Drishti_GS__B3,250.52643595682457,3.991594724048758
