backbone,contrast,delta,domain,metric,seed
DINOV2_VITS14_QUERY,B3-B1,-0.0002469134330749245,Drishti_GS,rim,262
DINOV2_VITS14_QUERY,B3-B1,-0.00028380692005158803,Drishti_GS,cup,262
DINOV2_VITS14_QUERY,B1-B0,0.005205742120742762,Drishti_GS,macro,262
DINOV2_VITS14_QUERY,B1-B0,0.006563704013824445,Drishti_GS,rim,262
DINOV2_VITS14_QUERY,B1-B0,0.0038477802276611905,Drishti_GS,cup,262
DINOV2_VITS14_QUERY,B3-B2,0.004639727175235753,Drishti_GS,macro,262
DINOV2_VITS14_QUERY,B3-B2,0.005702295303344762,Drishti_GS,rim,262
DINOV2_VITS14_QUERY,B3-B2,0.0035771590471267434,Drishti_GS,cup,262
DINOV2_VITS14_QUERY,B2-B1,-0.0049050873517990645,Drishti_GS,macro,262
DINOV2_VITS14_QUERY,B2-B1,-0.005949208736419687,Drishti_GS,rim,262
DINOV2_VITS14_QUERY,B2-B1,-0.0038609659671783314,Drishti_GS,cup,262
UNET_QUERY_128,B2-B0,0.0016731566283851862,RIM_ONE_r3,macro,263
UNET_QUERY_128,B2-B0,-0.00042713554576045976,RIM_ONE_r3,rim,263
UNET_QUERY_128,B2-B0,0.003773448802530721,RIM_ONE_r3,cup,263
UNET_QUERY_128,B3-B1,-0.002989045809954405,RIM_ONE_r3,macro,263
UNET_QUERY_128,B3-B1,-0.0013144974596798198,RIM_ONE_r3,rim,263
UNET_QUERY_128,B3-B1,-0.00466359416022899,RIM_ONE_r3,cup,263
UNET_QUERY_128,B1-B0,0.007228705938905566,RIM_ONE_r3,macro,263
UNET_QUERY_128,B1-B0,0.0005989525467157142,RIM_ONE_r3,rim,263
UNET_QUERY_128,B1-B0,0.013858459331095196,RIM_ONE_r3,cup,263
UNET_QUERY_128,B3-B2,0.0025665035005659753,RIM_ONE_r3,macro,263
UNET_QUERY_128,B3-B2,-0.00028840936720364585,RIM_ONE_r3,rim,263
UNET_QUERY_128,B3-B2,0.0054214163683354855,RIM_ONE_r3,cup,263
UNET_QUERY_128,B2-B1,-0.00555554931052038,RIM_ONE_r3,macro,263
UNET_QUERY_128,B2-B1,-0.001026088092476174,RIM_ONE_r3,rim,263
UNET_QUERY_128,B2-B1,-0.010085010528564475,RIM_ONE_r3,cup,263
UNET_QUERY_128,B2-B0,-0.00035894602537156484,Drishti_GS,macro,263
UNET_QUERY_128,B2-B0,7.864922285083509e-05,Drishti_GS,rim,263
UNET_QUERY_128,B2-B0,-0.0007965412735938537,Drishti_GS,cup,263
UNET_QUERY_128,B3-B1,0.0020291939377784507,Drishti_GS,macro,263
UNET_QUERY_128,B3-B1,0.0019128108024596413,Drishti_GS,rim,263
UNET_QUERY_128,B3-B1,0.00214557707309726,Drishti_GS,cup,263
UNET_QUERY_128,B1-B0,0.006744470149278703,Drishti_GS,macro,263
UNET_QUERY_128,B1-B0,0.009238441288471289,Drishti_GS,rim,263
