seed,transition,update_batch,variant,relation_mode,relation_loss,relation_gradient_norm,relation_gradient_norm_ratio_to_b0,cos_relation_with_sup,cos_relation_with_assim,sup_gradient_norm,assim_gradient_norm,total_gradient_norm,old_winner_count_class0,old_winner_count_class1,old_winner_count_class2,per_class_loss0,per_class_loss1,per_class_loss2,boundary_relation_loss,interior_relation_loss,valid_count,pair_count,present_class_count,probability_sum_error,b0_r0_loss_abs_error,all_finite,hidden_gt_usage,optimizer_step_called
1,REFUGE->RIM_ONE_r3,21,B1,categorical_class_balanced,0.020239252597093582,0.486528217792511,4.240259716647247,0.03152422606945038,0.48938775062561035,0.22869062423706055,1.203725814819336,1.5255191326141357,32448,2858,798,0.0014346136013045907,0.036848001182079315,0.022435138002038002,0.0499604307115078,0.07436615228652954,36104,36104,3,1.1920928955078125e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,21,B2,top2_pairwise_class_balanced,0.019685937091708183,0.4821799099445343,4.202362727471544,0.027221133932471275,0.504143238067627,0.22869062423706055,1.203725814819336,1.5277163982391357,32448,2858,798,0.001429618219844997,0.03527116775512695,0.022357022389769554,0.04906827211380005,0.07382729649543762,36104,36104,3,1.1920928955078125e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,21,B3,all_pairwise_class_balanced,0.010137069970369339,0.24336355924606323,2.1209966021149897,0.031643785536289215,0.4888799488544464,0.22869062423706055,1.203725814819336,1.3636023998260498,32448,2858,798,0.0007216485100798309,0.018471404910087585,0.011218156665563583,0.025196269154548645,0.03766495734453201,36104,72208,3,1.1920928955078125e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,22,B0,categorical_pixel_mean,0.004839521832764149,0.1154116615653038,1.0,0.1414235383272171,-0.11585137248039246,0.32498714327812195,0.19653697311878204,0.34187188744544983,31718,3391,672,0.0014006344135850668,0.031510062515735626,0.032569948583841324,0.02171027660369873,0.02820422500371933,35781,35781,3,1.7881393432617188e-07,4.656612873077393e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,22,B1,categorical_class_balanced,0.021826883777976036,0.6211910247802734,5.3823939137102075,-0.0332486629486084,0.06406527757644653,0.32498714327812195,0.19653697311878204,0.6973591446876526,31718,3391,672,0.0014006344135850668,0.031510062515735626,0.032569948583841324,0.08378072828054428,0.03035147674381733,35781,35781,3,1.7881393432617188e-07,4.656612873077393e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,22,B2,top2_pairwise_class_balanced,0.021261563524603844,0.60211580991745,5.217114126519637,-0.050886206328868866,0.07284750044345856,0.32498714327812195,0.19653697311878204,0.6768235564231873,31718,3391,672,0.0013950375141575933,0.030400501564145088,0.03198914974927902,0.08312802016735077,0.029633667320013046,35781,35781,3,1.7881393432617188e-07,4.656612873077393e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,22,B3,all_pairwise_class_balanced,0.010936355218291283,0.3125151991844177,2.7078303435358317,-0.0343286506831646,0.06604833900928497,0.32498714327812195,0.19653697311878204,0.4438594877719879,31718,3391,672,0.0007043349905870855,0.015786362811923027,0.016318367794156075,0.04261677712202072,0.015195685438811779,35781,71562,3,1.7881393432617188e-07,4.656612873077393e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,23,B0,categorical_pixel_mean,0.00827465858310461,0.09086454659700394,1.0,-0.2125391811132431,-0.09654326736927032,0.4515782594680786,0.2885996997356415,0.5326350927352905,32278,3698,508,0.0036640968173742294,0.04213918745517731,0.05470908060669899,0.05358971282839775,0.03271277993917465,36484,36484,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,23,B1,categorical_class_balanced,0.033504121005535126,1.295721411705017,14.259922711678845,0.032731398940086365,0.1368057131767273,0.4515782594680786,0.2885996997356415,1.455156683921814,32278,3698,508,0.0036640968173742294,0.04213918745517731,0.05470908060669899,0.051846787333488464,0.036632075905799866,36484,36484,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,23,B2,top2_pairwise_class_balanced,0.032727599143981934,1.278723955154419,14.072859030769457,0.02898433618247509,0.13386660814285278,0.4515782594680786,0.2885996997356415,1.437122106552124,32278,3698,508,0.003609933191910386,0.03997741639614105,0.05459544435143471,0.05116049572825432,0.03590179979801178,36484,36484,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,23,B3,all_pairwise_class_balanced,0.016952713951468468,0.6573790311813354,7.234714262064134,0.03901282325387001,0.1500779390335083,0.4515782594680786,0.2885996997356415,0.900105357170105,32278,3698,508,0.0018494251416996121,0.02110181748867035,0.02790689840912819,0.025980684906244278,0.018332703039050102,36484,72968,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,24,B0,categorical_pixel_mean,0.008126715198159218,0.14042161405086517,1.0,0.1468222588300705,0.6891232132911682,0.4321989417076111,0.6338459849357605,0.9354934692382812,33005,2025,713,0.0035708865616470575,0.06575433164834976,0.055348582565784454,0.060227710753679276,0.04001269489526749,35743,35743,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,24,B1,categorical_class_balanced,0.04155793413519859,1.4225581884384155,10.130621258370665,-0.010170228779315948,-0.027547314763069153,0.4321989417076111,0.6338459849357605,1.6359682083129883,33005,2025,713,0.0035708865616470575,0.06575433164834976,0.055348582565784454,0.06687667220830917,0.03966104984283447,35743,35743,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,24,B2,top2_pairwise_class_balanced,0.03687271475791931,1.1617398262023926,8.27322655457851,-0.00339516787789762,-0.08950772881507874,0.4321989417076111,0.6338459849357605,1.389005184173584,33005,2025,713,0.0035454249009490013,0.06268144398927689,0.04439127445220947,0.06150894612073898,0.0344310998916626,35743,35743,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,24,B3,all_pairwise_class_balanced,0.0215589739382267,0.8024941086769104,5.71489021901017,-0.04907510429620743,-0.031492654234170914,0.4321989417076111,0.6338459849357605,1.1370372772216797,33005,2025,713,0.0018063471652567387,0.03317409008741379,0.029696479439735413,0.035666726529598236,0.020524539053440094,35743,71486,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,25,B0,categorical_pixel_mean,0.0093711381778121,0.27401480078697205,1.0,0.4046231508255005,-0.4439554810523987,0.2143101543188095,0.39116230607032776,0.42696186900138855,32548,3352,584,0.004489265847951174,0.04075523093342781,0.10131583362817764,0.044635504484176636,0.06269661337137222,36484,36484,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,25,B1,categorical_class_balanced,0.04885344207286835,1.7826220989227295,6.505568654696859,-0.20589987933635712,-0.1857163906097412,0.2143101543188095,0.39116230607032776,1.7076810598373413,32548,3352,584,0.004489265847951174,0.04075523093342781,0.10131583362817764,0.05727504938840866,0.1053726002573967,36484,36484,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
