seed,transition,update_batch,variant,virtual_step_norm,previous_val_loss_before,previous_val_loss_after,previous_val_loss_delta,previous_val_dice_before,previous_val_dice_after,previous_val_dice_delta,current_val_loss_before,current_val_loss_after,current_val_loss_delta,current_val_dice_before,current_val_dice_after,current_val_dice_delta,old_model_gradient_nonnull,checkpoint_or_model_mutated,hidden_gt_usage
1,REFUGE->RIM_ONE_r3,4,B0,0.001,0.8373872507363558,0.8356777187436819,-0.001709531992673874,0.6578316576778889,0.658313225954771,0.00048156827688217163,0.5367860458791256,0.5368162710219622,3.022514283657074e-05,0.7522060461342335,0.7521014548838139,-0.0001045912504196167,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,4,B1,0.001,0.8373872507363558,0.8350482489913702,-0.0023390017449855804,0.6578316576778889,0.6585199311375618,0.0006882734596729279,0.5367860458791256,0.5366060175001621,-0.00018002837896347046,0.7522060461342335,0.7522629424929619,5.6896358728408813e-05,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,4,B2,0.001,0.8373872507363558,0.8350578378885984,-0.0023294128477573395,0.6578316576778889,0.6585171967744827,0.0006855390965938568,0.5367860458791256,0.5366060230880976,-0.00018002279102802277,0.7522060461342335,0.7522628605365753,5.681440234184265e-05,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,4,B3,0.001,0.8373872507363558,0.8350763563066721,-0.0023108944296836853,0.6578316576778889,0.6585091054439545,0.0006774477660655975,0.5367860458791256,0.5366496574133635,-0.00013638846576213837,0.7522060461342335,0.7522255554795265,1.9509345293045044e-05,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,5,B0,0.001,0.8373872507363558,0.8344069793820381,-0.002980271354317665,0.6578316576778889,0.6587061509490013,0.000874493271112442,0.5367860458791256,0.5360922291874886,-0.0006938166916370392,0.7522060461342335,0.7526817843317986,0.00047573819756507874,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,5,B1,0.001,0.8373872507363558,0.8356033284217119,-0.0017839223146438599,0.6578316576778889,0.6583972200751305,0.0005655623972415924,0.5367860458791256,0.5355485994368792,-0.001237446442246437,0.7522060461342335,0.7528770714998245,0.0006710253655910492,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,5,B2,0.001,0.8373872507363558,0.8354697600007057,-0.0019174907356500626,0.6578316576778889,0.6584380716085434,0.0006064139306545258,0.5367860458791256,0.5355492979288101,-0.0012367479503154755,0.7522060461342335,0.7528820298612118,0.000675983726978302,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,5,B3,0.001,0.8373872507363558,0.8356700129806995,-0.0017172377556562424,0.6578316576778889,0.6583677232265472,0.000536065548658371,0.5367860458791256,0.5355798080563545,-0.0012062378227710724,0.7522060461342335,0.752867728471756,0.0006616823375225067,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,6,B0,0.001,0.8373872507363558,0.8386166393756866,0.001229388639330864,0.6578316576778889,0.657460629940033,-0.00037102773785591125,0.5367860458791256,0.5370479114353657,0.0002618655562400818,0.7522060461342335,0.7520898766815662,-0.00011616945266723633,0,False,none_visible_update_and_val_only
1,REFUGE->RIM_ONE_r3,6,B1,0.001,0.8373872507363558,0.836190976202488,-0.001196274533867836,0.6578316576778889,0.6582120135426521,0.0003803558647632599,0.5367860458791256,0.5362118985503912,-0.0005741473287343979,0.7522060461342335,0.7524706572294235,0.0002646110951900482,0,False,none_visible_update_and_val_only
