seed,variant,site_step,successful_site_step_before_step,noise_warmup_multiplier,effective_sigma,noise_scale_p10,noise_scale_p50,noise_scale_p90,perturbation_weight_ratio,classifier_angular_drift,raw_noise_checksum
0,L2,600,599,1.0,0.31622776601683794,5.4946781347098295e-06,0.00018955743871629238,0.07987289875745773,0.7029698491096497,0.046034812927246094,fda6e35ca7f53fa6c653761928086d758dedd8a39c2d9509e71aaa3913a9f94d
0,L2,650,649,1.0,0.31622776601683794,0.00012180100020486861,0.0013727223267778754,0.01175371278077364,0.4702858626842499,0.04686463996767998,9c67b7c9af6a9f6b8521c9f60f58e097ed8b96aaf46d9161c385a36b12f6bea3
0,L2,700,699,1.0,0.31622776601683794,0.00010385466157458723,0.005390915088355541,0.44917595386505127,0.5731172561645508,0.047946497797966,8ff974cad42f4209d164765a73692ff1016ce16e591e2d2f32f48ddb9141e18a
0,L2,750,749,1.0,0.31622776601683794,1.651465572649613e-05,0.0017876983620226383,0.24428538978099823,0.26297885179519653,0.04998146742582321,e5163918c35b55b3e9b74e7cef4d3b4fc0a33316dbc7b78e1e7d4f36b73acd31
0,L2,800,799,1.0,0.31622776601683794,3.085667412960902e-05,0.0012082501780241728,0.06378858536481857,0.2218904197216034,0.05080091953277588,c7963dd3c0eea46c37225c5598f1e4740556680b403c3a6bc7f53384d60d23fd
0,L2,850,849,1.0,0.31622776601683794,0.00017672908143140376,0.0048897843807935715,0.3801792562007904,0.5560457110404968,0.05088651180267334,0d953393a753f5473c72bf2339bbaaa8b51015a35b54f488b73bc13d7ac80d1d
0,L2,900,899,1.0,0.31622776601683794,4.035697929793969e-05,0.0048944465816020966,0.11004655808210373,0.4847815930843353,0.05094490200281143,bdad134a9e6dd194bc043430d28a6d99773fffc63fc5cfc2887272b80725565d
0,L2,950,949,1.0,0.31622776601683794,0.00027759408112615347,0.005028287880122662,0.21876192092895508,0.271575927734375,0.050981879234313965,518c912751a00cbbebeb82bedb1a89bb73e3cff7de5e892e60f174fa9ce18ef7
0,L2,1000,999,1.0,0.31622776601683794,0.00015138484013732523,0.0020625039469450712,0.07021103799343109,0.555570125579834,0.05098564922809601,1c58d86001f9dfb9a5a68333d9e571eb2925f742cdad864a7330a0ff85fb2cf1
0,L3,1,0,0.0,0.0,1.0,1.0,1.0,0.0,0.00032552084303461015,f8185d5b6b087fcae63c6beb32ec0090726291cbfaf15a04fb61ad077fe9a478
0,L3,2,1,0.005,0.0015811388300841897,1.5952138710417785e-05,0.0004657946992665529,0.036807578057050705,0.0018135012360289693,0.0036822210531681776,760ab79ed9dc45fd21f94942b201bdc8c6960f37f79d85a5cbacf2bd546d0866
0,L3,50,49,0.245,0.0774758026741253,1.4350561627907155e-07,1.1940042895730585e-05,0.005742923356592655,0.08932826668024063,0.030994445085525513,15d857c78388ecc85ba36cca1f2fe7d92d16d6631c4e49e455b4121676111c16
0,L3,100,99,0.495,0.1565327441783348,6.356867288559442e-06,5.410970334196463e-05,0.004677165765315294,0.2642761170864105,0.027350690215826035,e113d07e74325b21911656f0f7eb09178a8f423925f0cce391c18f2f638508d6
0,L3,150,149,0.745,0.23558968568254426,2.69514748652e-06,0.00014470807218458503,0.02908315509557724,0.06836403906345367,0.027701912447810173,0af84da5efb64acbd1ac5350783942eedf36b349e2e1e1095574b42c87f82dc6
0,L3,200,199,0.995,0.31464662718675374,2.1304981601133477e-07,1.1416501365602016e-05,0.0048612975515425205,0.47647470235824585,0.029820164665579796,fc6f2d884b61d8024e1452e31eba8cc48cbaf9f32e3ee9ee8cb2bfd7ebf0e321
0,L3,201,200,1.0,0.31622776601683794,1.5827943116164533e-06,5.5343676649499685e-05,0.036450862884521484,0.32609882950782776,0.029576674103736877,a90da8dd6b684954a66b40d132e1c1fc1a9fac8d1340ed8bdac271f8627aa070
0,L3,250,249,1.0,0.31622776601683794,1.862193130364176e-05,0.00038742320612072945,0.00942660216242075,0.5532737970352173,0.03150789067149162,fa8636e71afbcb2ac38ac7dada75f8e4238b06d0830e2068b05c7277af8d5dd8
0,L3,300,299,1.0,0.31622776601683794,4.223606538289459e-06,0.0003912749234586954,0.10508866608142853,0.23010525107383728,0.0339779332280159,96a9f6016d3413c073e5594caeaaa6a2cd4cb8f417d24a23bdf31fe43596c46d
0,L3,350,349,1.0,0.31622776601683794,0.00018207293760497123,0.0029880492947995663,0.12080112844705582,0.3743714690208435,0.0358477383852005,3db33f2a73b1203622beceee801edb0cc7cbce12c834a4ffc6bcaa303d43b274
0,L3,400,399,1.0,0.31622776601683794,7.48694617414003e-07,5.8553137932904065e-05,0.017342833802103996,0.11424640566110611,0.038475167006254196,850765ba251ccd18cc6ca3aeb0b4e43fce429c2dfb27b4b404dd93baef5b05fc
0,L3,450,449,1.0,0.31622776601683794,8.518999493389856e-06,0.0002603998873382807,0.02142609842121601,0.4518032968044281,0.04127312824130058,5305d3d4799d908554aba06feee0693421e484001347ca308affb018f71518a6
0,L3,500,499,1.0,0.31622776601683794,1.3620372556033544e-05,0.000398303905967623,0.04516689106822014,0.5746615529060364,0.04330267757177353,17871e93ecdc1d2d0bdb05d2fe8796d7890abba10785c999e97512ba49b904aa
0,L3,550,549,1.0,0.31622776601683794,9.906402738124598e-06,0.0004908342380076647,0.014129638671875,0.3401912450790405,0.044982291758060455,ff35c3fe6002d7ae559f6c2cd6869d8d01787983d8e109f6412dc9c7549d6ef1
