seed,stage_index,domain,case_id,class_id,candidate,level,valid_pixels,full_pixels,full_mass,R1_full_mass,full_mass_difference,selected_nonignore_mass,error_mass,case_fraction_selected,case_fraction_error,precision,weighted_error,ignored_pixels,selected_ignore_mass,null_pixels,selected_null_mass,cases,valid_stratum_cases,weighted_selected_mass,weighted_error_mass,case_error_defined,case_error_undefined,case_error_quantiles,reference_error,relative_error_reduction,precision_drop
0,0,REFUGE,REFUGE_test_n0045,2,Q1,case,1183,1183,519.0,519,0.0,519.0,147.0,0.43871513102282333,0.1242603550295858,0.7167630057803468,0.2832369942196532,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0045,2,Q2,case,1183,1183,519.0,519,0.0,519.0,147.0,0.43871513102282333,0.1242603550295858,0.7167630057803468,0.2832369942196532,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0045,2,Q0,case,1183,1183,519.0,519,0.0,519.0,90.0,0.43871513102282333,0.0760777683854607,0.8265895953757225,0.17341040462427745,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0045,2,Q3,case,1183,1183,700.5576654787592,519,181.5576654787592,700.5576654787592,294.0529958641859,0.5921873757216899,0.2485655079156263,0.5802586848247091,0.41974131517529095,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,0,Q1,case,143406,143406,26627.0,26627,0.0,26627.0,1.0,0.18567563421335231,6.973208931285999e-06,0.9999624441356518,3.7555864348217974e-05,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,0,Q2,case,143406,143406,26627.0,26627,0.0,26627.0,1.0,0.18567563421335231,6.973208931285999e-06,0.9999624441356518,3.7555864348217974e-05,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,0,Q0,case,143406,143406,26627.0,26627,0.0,26627.0,606.0,0.18567563421335231,0.004225764612359316,0.9772411462049799,0.022758853795020094,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,0,Q3,case,143406,143406,103650.79225190287,26627,77023.79225190287,103650.79225190287,849.4707913788131,0.7227786302658387,0.005923537309309326,0.9918044930200404,0.008195506979959608,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,1,Q1,case,1984,1984,718.0,718,0.0,718.0,152.0,0.36189516129032256,0.07661290322580645,0.7883008356545961,0.2116991643454039,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,1,Q2,case,1984,1984,718.0,718,0.0,718.0,152.0,0.36189516129032256,0.07661290322580645,0.7883008356545961,0.2116991643454039,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,1,Q0,case,1984,1984,718.0,718,0.0,718.0,176.0,0.36189516129032256,0.08870967741935484,0.754874651810585,0.24512534818941503,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,1,Q3,case,1984,1984,658.8900560245489,718,-59.109943975451074,658.8900560245489,140.77705607865352,0.33210184275430893,0.07095617745899875,0.7863421146040054,0.21365788539599456,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,2,Q1,case,2066,2066,840.0,840,0.0,840.0,253.0,0.40658276863504356,0.12245885769603097,0.6988095238095238,0.3011904761904762,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,2,Q2,case,2066,2066,840.0,840,0.0,840.0,253.0,0.40658276863504356,0.12245885769603097,0.6988095238095238,0.3011904761904762,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,2,Q0,case,2066,2066,840.0,840,0.0,840.0,290.0,0.40658276863504356,0.1403678606001936,0.6547619047619048,0.34523809523809523,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0064,2,Q3,case,2066,2066,928.7309321226226,840,88.73093212262256,928.7309321226226,350.09064401732405,0.44953094488026263,0.16945336109260603,0.6230440573168067,0.3769559426831934,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,0,Q1,case,121004,121004,28222.0,28222,0.0,28222.0,5.0,0.23323195927407359,4.132094806783247e-05,0.9998228332506555,0.00017716674934448303,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,0,Q2,case,121004,121004,28222.0,28222,0.0,28222.0,5.0,0.23323195927407359,4.132094806783247e-05,0.9998228332506555,0.00017716674934448303,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,0,Q0,case,121004,121004,28222.0,28222,0.0,28222.0,716.0,0.23323195927407359,0.005917159763313609,0.9746297214938701,0.02537027850612997,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,0,Q3,case,121004,121004,86762.4778038149,28222,58540.477803814894,86762.4778038149,306.48485143440473,0.7170215679135805,0.0025328489259396777,0.9964675415088142,0.003532458491185792,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,1,Q1,case,4054,4054,1183.0,1183,0.0,1183.0,260.0,0.2918105574740997,0.06413418845584608,0.7802197802197802,0.21978021978021978,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,1,Q2,case,4054,4054,1183.0,1183,0.0,1183.0,260.0,0.2918105574740997,0.06413418845584608,0.7802197802197802,0.21978021978021978,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,1,Q0,case,4054,4054,1183.0,1183,0.0,1183.0,369.0,0.2918105574740997,0.09102121361618155,0.6880811496196112,0.31191885038038886,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,1,Q3,case,4054,4054,776.7002642972686,1183,-406.29973570273137,776.7002642972686,175.37815777683738,0.19158861970825572,0.043260522391918445,0.7742009809466031,0.22579901905339692,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,2,Q1,case,22398,22398,1212.0,1212,0.0,1212.0,472.0,0.054111974283418164,0.02107331011697473,0.6105610561056105,0.38943894389438943,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,2,Q2,case,22398,22398,1212.0,1212,0.0,1212.0,472.0,0.054111974283418164,0.02107331011697473,0.6105610561056105,0.38943894389438943,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,2,Q0,case,22398,22398,1212.0,1212,0.0,1212.0,330.0,0.054111974283418164,0.014733458344495045,0.7277227722772277,0.2722772277227723,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0107,2,Q3,case,22398,22398,1900.7227816008321,1212,688.7227816008321,1900.7227816008321,952.084557508725,0.08486127250651095,0.042507570207550895,0.49909341502875154,0.5009065849712485,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0128,0,Q1,case,128755,128755,39314.0,39314,0.0,39314.0,28.0,0.30533959846219566,0.000217467282823968,0.9992877855216971,0.0007122144783028947,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0128,0,Q2,case,128755,128755,39314.0,39314,0.0,39314.0,28.0,0.30533959846219566,0.000217467282823968,0.9992877855216971,0.0007122144783028947,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0128,0,Q0,case,128755,128755,39314.0,39314,0.0,39314.0,147.0,0.30533959846219566,0.001141703234825832,0.9962608739889098,0.003739126011090197,0,0.0,0,0.0,,,,,,,,,,
